File,Formula,Energy,Bandgap,Application,Type,Space_Group,Stability,E_Above_Hull,Is_Viable,Decomposition
Na3In5_id2289_Final_E-2.25.cif,Na3In5,-2.25,0.0,Metal (Conductor),Metal,I-42d (122),Unstable,0.0708,False,"NaIn3 (0.50), NaIn (0.50)"
LiTe_id522_Final_E-3.44.cif,LiTe,-3.44,0.0,Metal (Conductor),Metal,Pbca (61),Unstable,0.0718,False,"LiTe3 (0.40), Li2Te (0.60)"
SrN10_id1581_Final_E-7.86.cif,SrN10,-7.86,0.0,Metal (Conductor),Metal,Fdd2 (43),Unstable,0.0724,False,"SrN2 (0.27), N2 (0.73)"
Ge2O3_id247_Final_E-6.61.cif,Ge2O3,-6.61,0.0,Metal (Conductor),Metal,P2_1/c (14),Unstable,0.0774,False,"GeO2 (0.90), Ge (0.10)"
MgN2_id2298_Final_E-6.51.cif,MgN2,-6.51,0.0,Metal (Conductor),Metal,P-6m2 (187),Unstable,0.0786,False,"Mg3N2 (0.56), N2 (0.44)"
K2BaS8_id1103_Final_E-4.43.cif,K2BaS8,-4.43,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.0847,False,"BaS2 (0.27), KS3 (0.73)"
NaO8_id3327_Final_E-4.76.cif,NaO8,-4.76,0.0,Metal (Conductor),Metal,Pba2 (32),Unstable,0.0895,False,"NaO2 (0.33), O2 (0.67)"
K3Ge(Se4S3)2_id3235_Final_E-4.02.cif,K3Ge(Se4S3)2,-4.02,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.0898,False,"K2GeSe4 (0.38), Ge4Se9 (0.01), KSe3 (0.24), SeS7 (0.38)"
Li2SeS2_id1596_Final_E-4.05.cif,Li2SeS2,-4.05,0.0,Metal (Conductor),Metal,P4_32_12 (96),Unstable,0.0965,False,"Li2S (0.15), Li2Se (0.45), SeS7 (0.40)"
LiSeS_id3343_Final_E-3.95.cif,LiSeS,-3.95,0.0,Metal (Conductor),Metal,Pcc2 (27),Unstable,0.0971,False,"Li2Se (0.50), SeS7 (0.38), Se (0.12)"
K(CaSi2)2_id2763_Final_E-4.03.cif,K(CaSi2)2,-4.03,0.0,Metal (Conductor),Metal,Ibam (72),Unstable,0.0984,False,"K4Si23 (0.20), CaSi (0.57), KSi (0.23)"
K2Li9Mg_id639_Final_E-1.66.cif,K2Li9Mg,-1.66,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1014,False,"Li5Mg (0.50), K (0.17), Li (0.33)"
NaO2_id408_Final_E-4.55.cif,NaO2,-4.55,0.0,Metal (Conductor),Metal,Pbca (61),Unstable,0.1027,False,NaO2 (1.00)
Li5S6_id2423_Final_E-4.12.cif,Li5S6,-4.12,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1028,False,"LiS4 (0.45), Li2S (0.55)"
K2GaSnAs_id2172_Final_E-3.05.cif,K2GaSnAs,-3.05,0.0,Metal (Conductor),Metal,P2/c (13),Unstable,0.1073,False,"K3Ga3As4 (0.41), KGa3 (0.08), K30Ga9As19 (0.11), KSn (0.40)"
SnSb2Se5_id1142_Final_E-4.19.cif,SnSb2Se5,-4.19,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1103,False,"SnSe2 (0.38), Sb2Se3 (0.62)"
K2MgZnSi4_id231_Final_E-3.29.cif,K2MgZnSi4,-3.29,0.0,Metal (Conductor),Metal,P3_121 (152),Unstable,0.1107,False,"K4Si23 (0.31), Mg2Si (0.09), MgZn2 (0.19), KSi (0.41)"
AsS_id785_Final_E-4.67.cif,AsS,-4.67,0.0,Metal (Conductor),Metal,Pca2_1 (29),Unstable,0.113,False,AsS (1.00)
Sb2Te3As_id514_Final_E-3.93_REFINED_P-1.cif,Sb2Te3As,-3.93,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.1138,False,"Sb2Te3 (0.83), As (0.17)"
KNaO19_id503_Final_E-4.75.cif,KNaO19,-4.75,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1141,False,"NaO2 (0.14), O2 (0.71), KO2 (0.14)"
Li2S_id2313_Final_E-4.04.cif,Li2S,-4.04,0.0,Metal (Conductor),Metal,Pbcn (60),Unstable,0.1152,False,Li2S (1.00)
GeAs2Se7_id1066_Final_E-4.11.cif,GeAs2Se7,-4.11,0.0,Metal (Conductor),Metal,P2/m (10),Unstable,0.1153,False,"Ge4Se9 (0.33), As2Se3 (0.50), Se (0.17)"
MgN14_id1582_Final_E-7.87.cif,MgN14,-7.87,0.0,Metal (Conductor),Metal,Cc (9),Unstable,0.1169,False,"Mg3N2 (0.11), N2 (0.89)"
BaLi4O8_id1616_Final_E-5.19.cif,BaLi4O8,-5.19,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.1181,False,"LiO8 (0.20), Li2O2 (0.57), BaO2 (0.23)"
K2Ga2SnSe3_id2456_Final_E-3.68.cif,K2Ga2SnSe3,-3.68,0.0,Metal (Conductor),Metal,Pmc2_1 (26),Unstable,0.1195,False,"GaSe (0.25), K3GaSe3 (0.58), Sn (0.12), Ga (0.04)"
K3(ZnGa2)2_id1441_Final_E-2.00.cif,K3(ZnGa2)2,-2.0,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.1204,False,"KZn13 (0.24), K2Ga3 (0.74), K (0.02)"
KLiGa3_id1014_Final_E-2.52.cif,KLiGa3,-2.52,0.0,Metal (Conductor),Metal,P6_5 (170),Unstable,0.1245,False,"K2Ga3 (0.27), KGa3 (0.37), Li5Ga4 (0.36)"
ZnSe2_id1555_Final_E-3.27.cif,ZnSe2,-3.27,0.0,Metal (Conductor),Metal,Pnnn (48),Unstable,0.1247,False,ZnSe2 (1.00)
LiAs4(Se2S)2_id3237_Final_E-4.32.cif,LiAs4(Se2S)2,-4.32,0.0,Metal (Conductor),Metal,I4/m (87),Unstable,0.127,False,"Li3AsS3 (0.21), AsS (0.18), As2Se3 (0.61)"
KCaO8_id3371_Final_E-5.10.cif,KCaO8,-5.1,0.0,Metal (Conductor),Metal,P4/nbm (125),Unstable,0.1281,False,"CaO2 (0.30), O2 (0.40), KO2 (0.30)"
LiO2_id1950_Final_E-4.93.cif,LiO2,-4.93,0.0,Metal (Conductor),Metal,P2_1/c (14),Unstable,0.1309,False,"LiO8 (0.43), Li2O2 (0.57)"
K3As(SeS)3_id632_Final_E-3.91.cif,K3As(SeS)3,-3.91,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1327,False,"K2Se3 (0.22), K3AsS4 (0.13), KAsSe2 (0.33), KS3 (0.31)"
Ca2N5_id2630_Final_E-7.03.cif,Ca2N5,-7.03,0.0,Metal (Conductor),Metal,Pccn (56),Unstable,0.1341,False,"CaN2 (0.86), N2 (0.14)"
Na2Se_id2010_Final_E-3.13.cif,Na2Se,-3.13,0.0,Metal (Conductor),Metal,I4/m (87),Unstable,0.1362,False,Na2Se (1.00)
ZnInTe2Se3_id300_Final_E-3.47.cif,ZnInTe2Se3,-3.47,0.0,Metal (Conductor),Metal,Pm (6),Unstable,0.1376,False,"Zn(InSe2)2 (0.23), TeSe2 (0.28), ZnSe (0.22), In2Te5 (0.27)"
Li4GeAs_id3189_Final_E-3.25.cif,Li4GeAs,-3.25,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1378,False,"LiGe (0.33), Li3As (0.67)"
BaInGaO3_id3354_Final_E-5.93.cif,BaInGaO3,-5.93,0.0,Metal (Conductor),Metal,Pcc2 (27),Unstable,0.1414,False,"Ba2InGaO5 (0.30), In2O3 (0.06), Ba3Ga4O9 (0.53), In (0.11)"
AsPSe2_id1874_Final_E-4.45_REFINED_Cc.cif,AsPSe2,-4.45,0.0,Metal (Conductor),Metal,Cc (9),Unstable,0.1452,False,"As2Se3 (0.62), PSe (0.25), P (0.12)"
K2Na3In2Ga_id900_Final_E-1.80.cif,K2Na3In2Ga,-1.8,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.1488,False,"K8In11 (0.17), Na2In (0.46), Na7Ga13 (0.19), K (0.18)"
Sr3Ca3N4_id2093_Final_E-5.10.cif,Sr3Ca3N4,-5.1,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1506,False,"Sr2N (0.30), Ca3N2 (0.50), SrN (0.20)"
KAs4_id1694_Final_E-4.05.cif,KAs4,-4.05,0.0,Metal (Conductor),Metal,P4_122 (91),Unstable,0.1515,False,"K3As11 (0.93), As (0.07)"
K2NaO2_id3181_Final_E-3.86.cif,K2NaO2,-3.86,0.0,Metal (Conductor),Metal,Pbca (61),Unstable,0.1519,False,"K2O2 (0.40), K2O (0.30), Na2O (0.30)"
Li2Ti2O5_id2311_Final_E-7.93.cif,Li2Ti2O5,-7.93,0.0,Metal (Conductor),Metal,Pbcn (60),Unstable,0.1528,False,"Li2TiO3 (0.67), TiO2 (0.33)"
SrGaTe2_id213_Final_E-3.86.cif,SrGaTe2,-3.86,0.0,Metal (Conductor),Metal,I4_1/amd (141),Unstable,0.1556,False,"GaTe (0.50), SrTe (0.50)"
LiTeSe_id2297_Final_E-3.55.cif,LiTeSe,-3.55,0.0,Metal (Conductor),Metal,P4_32_12 (96),Unstable,0.1575,False,"LiTe3 (0.31), TeSe2 (0.31), Li2Se (0.38)"
Cd3In4_id56_Final_E-1.81.cif,Cd3In4,-1.81,0.0,Metal (Conductor),Metal,C2/m (12),Unstable,0.1579,False,"In (0.57), Cd (0.43)"
Sn(GeS)2_id2983_Final_E-4.62.cif,Sn(GeS)2,-4.62,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1663,False,"SnGeS3 (0.50), Ge (0.30), SnS (0.20)"
SiS9_id28_Final_E-4.40.cif,SiS9,-4.4,0.0,Metal (Conductor),Metal,P2 (3),Unstable,0.1687,False,"SiS2 (0.30), S (0.70)"
PS_id1223_Final_E-5.01.cif,PS,-5.01,0.0,Metal (Conductor),Metal,P2_1/c (14),Unstable,0.1738,False,"P4S7 (0.34), P4S3 (0.66)"
Mg4AlS3_id1511_Final_E-3.91.cif,Mg4AlS3,-3.91,0.0,Metal (Conductor),Metal,P6_3 (173),Unstable,0.174,False,"Mg17Al12 (0.16), MgAl2 (0.09), MgS (0.75)"
As2Se_id3038_Final_E-4.32.cif,As2Se,-4.32,0.0,Metal (Conductor),Metal,Cmcm (63),Unstable,0.1744,False,"As2Se3 (0.56), As (0.44)"
Sc3SnTe4_id2764_Final_E-5.56.cif,Sc3SnTe4,-5.56,0.0,Metal (Conductor),Metal,Pm-3m (221),Unstable,0.1798,False,"ScSn2 (0.12), Sc2Te3 (0.83), Sn (0.04)"
BaP_id316_Final_E-4.47.cif,BaP,-4.47,0.0,Metal (Conductor),Metal,P6_3/mmc (194),Unstable,0.1805,False,"Ba3P4 (0.44), Ba5P4 (0.56)"
LiTiN_id1437_Final_E-7.13.cif,LiTiN,-7.13,0.0,Metal (Conductor),Metal,Pnma (62),Unstable,0.1816,False,"TiN (0.67), Li (0.33)"
KNaInSn_id338_Final_E-2.33.cif,KNaInSn,-2.33,0.0,Metal (Conductor),Metal,F-43m (216),Unstable,0.1819,False,"NaIn (0.50), KSn (0.50)"
KNaZn_id2881_Final_E-1.07.cif,KNaZn,-1.07,0.0,Metal (Conductor),Metal,P4_322 (95),Unstable,0.185,False,"K (0.31), Na (0.33), KZn13 (0.36)"
B2As2S3_id2138_Final_E-5.35.cif,B2As2S3,-5.35,0.0,Metal (Conductor),Metal,P4_2mc (105),Unstable,0.1876,False,"B2S3 (0.71), As (0.29)"
Ba3SbSe3_id2434_Final_E-4.68_REFINED_P-1.cif,Ba3SbSe3,-4.68,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.188,False,"Sb (0.14), BaSe (0.86)"
Ge(AsS2)2_id730_Final_E-4.67.cif,Ge(AsS2)2,-4.67,0.0,Metal (Conductor),Metal,I-42d (122),Unstable,0.19,False,"AsS (0.57), GeS2 (0.43)"
GeS10_id999_Final_E-4.17_REFINED_Pm.cif,GeS10,-4.17,0.0,Metal (Conductor),Metal,Pm (6),Unstable,0.1918,False,"GeS2 (0.27), S (0.73)"
Li7Sc2_id2510_Final_E-2.70.cif,Li7Sc2,-2.7,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1919,False,"Sc (0.22), Li (0.78)"
Sn2SbS4_id2610_Final_E-4.55.cif,Sn2SbS4,-4.55,0.0,Metal (Conductor),Metal,Fdd2 (43),Unstable,0.1935,False,"SnS2 (0.21), Sb2S3 (0.36), SnS (0.43)"
Mg5N12_id2310_Final_E-6.60.cif,Mg5N12,-6.6,0.0,Metal (Conductor),Metal,P-42_1c (114),Unstable,0.1942,False,"Mg3N2 (0.49), N2 (0.51)"
Li2AlGaSe4_id434_Final_E-4.11.cif,Li2AlGaSe4,-4.11,0.0,Metal (Conductor),Metal,I-42d (122),Unstable,0.1978,False,"LiGaSe2 (0.50), LiAlSe2 (0.50)"
AlGa2SiSe_id2785_Final_E-3.92.cif,AlGa2SiSe,-3.92,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.199,False,"Al2Se3 (0.33), Al (0.07), Si (0.20), Ga (0.40)"
Zn8(InGa3)3_id2123_Final_E-2.08.cif,Zn8(InGa3)3,-2.08,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.1993,False,"Zn (0.40), In (0.15), Ga (0.45)"
Mg7ZnCd28_id3350_Final_E-0.92.cif,Mg7ZnCd28,-0.92,0.0,Metal (Conductor),Metal,P222_1 (17),Unstable,0.1999,False,"MgCd3 (0.72), MgZn2 (0.04), Cd (0.24)"
LiGeAs_id806_Final_E-3.86.cif,LiGeAs,-3.86,0.0,Metal (Conductor),Metal,P6_522 (179),Unstable,0.2059,False,"Li3As (0.44), GeAs (0.44), Ge (0.11)"
K2Ca(GaGe)4_id1166_Final_E-3.21.cif,K2Ca(GaGe)4,-3.21,0.0,Metal (Conductor),Metal,Fdd2 (43),Unstable,0.2083,False,"K3Ge17 (0.26), CaGaGe (0.27), KGa3 (0.36), KGe (0.10)"
Li2O2_id2344_Final_E-4.87.cif,Li2O2,-4.87,0.0,Metal (Conductor),Metal,P4_2/mmc (131),Unstable,0.2086,False,Li2O2 (1.00)
Cd28Sb3_id2550_Final_E-1.05_REFINED_C2_c.cif,Cd28Sb3,-1.05,0.0,Metal (Conductor),Metal,C2/c (15),Unstable,0.209,False,"CdSb (0.19), Cd (0.81)"
KNaAs_id1426_Final_E-2.57.cif,KNaAs,-2.57,0.0,Metal (Conductor),Metal,P-6m2 (187),Unstable,0.2092,False,"K2NaAs (0.19), K5As4 (0.43), Na3As (0.38)"
Ba(N4O)3_id2670_Final_E-7.66.cif,Ba(N4O)3,-7.66,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.2097,False,"Ba(NO3)2 (0.23), N2 (0.70), BaO (0.08)"
TiGaO_id2817_Final_E-7.08.cif,TiGaO,-7.08,0.0,Metal (Conductor),Metal,P2_1/c (14),Unstable,0.212,False,"Ti2O3 (0.56), TiGa3 (0.44)"
Li4O11_id204_Final_E-4.84.cif,Li4O11,-4.84,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2139,False,"LiO8 (0.60), Li2O2 (0.40)"
AlSi3_id2624_Final_E-4.79.cif,AlSi3,-4.79,0.0,Metal (Conductor),Metal,C2/c (15),Unstable,0.2154,False,"Si (0.75), Al (0.25)"
Mg(GaGe)2_id612_Final_E-3.25.cif,Mg(GaGe)2,-3.25,0.0,Metal (Conductor),Metal,P4_332 (212),Unstable,0.2162,False,"Mg2Ga5 (0.56), Mg2Ge (0.06), Ge (0.38)"
NaMgS12_id1557_Final_E-4.00.cif,NaMgS12,-4.0,0.0,Metal (Conductor),Metal,Fd-3 (203),Unstable,0.2171,False,"MgS2 (0.21), Na2S5 (0.25), S (0.54)"
K7S9_id2208_Final_E-3.72.cif,K7S9,-3.72,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2189,False,"K2S3 (0.62), KS (0.38)"
CaSn2(GeO2)2_id2709_Final_E-6.01.cif,CaSn2(GeO2)2,-6.01,0.0,Metal (Conductor),Metal,P4_2/m (84),Unstable,0.2202,False,"CaGeO3 (0.56), SnO (0.22), Ge (0.11), Sn (0.11)"
NaCaSc2O6_id741_Final_E-7.28_REFINED_C2_m.cif,NaCaSc2O6,-7.28,0.0,Metal (Conductor),Metal,C2/m (12),Unstable,0.2216,False,"CaO2 (0.15), NaScO2 (0.40), CaSc2O4 (0.35), O2 (0.10)"
NaSi3(GeTe)3_id652_Final_E-4.19.cif,NaSi3(GeTe)3,-4.19,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.2243,False,"Na4Si2Te5 (0.27), Ge (0.12), Si (0.25), GeTe (0.35)"
AlSi_id1487_Final_E-4.36.cif,AlSi,-4.36,0.0,Metal (Conductor),Metal,Pbca (61),Unstable,0.2254,False,"Si (0.50), Al (0.50)"
InSiS19_id120_Final_E-4.15.cif,InSiS19,-4.15,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2257,False,"In2S3 (0.12), SiS2 (0.14), S (0.74)"
NaMg2InSe4_id1258_Final_E-3.69.cif,NaMg2InSe4,-3.69,0.0,Metal (Conductor),Metal,I-42d (122),Unstable,0.2267,False,"NaInSe2 (0.50), MgSe (0.50)"
Na2O_id794_Final_E-3.74.cif,Na2O,-3.74,0.0,Metal (Conductor),Metal,Cmce (64),Unstable,0.2295,False,Na2O (1.00)
As4P_id1772_Final_E-4.58.cif,As4P,-4.58,0.0,Metal (Conductor),Metal,I4_1/a (88),Unstable,0.23,False,"P (0.20), As (0.80)"
CdPS_id1747_Final_E-3.85.cif,CdPS,-3.85,0.0,Metal (Conductor),Metal,P2_1/m (11),Unstable,0.2301,False,"P (0.33), CdS (0.67)"
Li2SbSe2_id449_Final_E-3.79.cif,Li2SbSe2,-3.79,0.0,Metal (Conductor),Metal,I4/mmm (139),Unstable,0.2304,False,"LiSbSe2 (0.53), Sb (0.07), Li2Se (0.40)"
Na9Te4SeS4_id536_Final_E-3.27.cif,Na9Te4SeS4,-3.27,0.0,Metal (Conductor),Metal,I4 (79),Unstable,0.2402,False,"Na2S (0.40), Na2TeS3 (0.18), NaTe3 (0.26), Na2Se (0.17)"
KZn_id327_Final_E-0.98.cif,KZn,-0.98,0.0,Metal (Conductor),Metal,Fd-3m (227),Unstable,0.2413,False,"KZn13 (0.54), K (0.46)"
Al9Ga2_id2773_Final_E-3.37.cif,Al9Ga2,-3.37,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2451,False,"Ga (0.18), Al (0.82)"
Ba4LiIn3O6_id1476_Final_E-5.36.cif,Ba4LiIn3O6,-5.36,0.0,Metal (Conductor),Metal,Im-3m (229),Unstable,0.2476,False,"Ba3In2O6 (0.39), Li2O (0.11), BaO (0.36), In (0.14)"
NaLi2TiO4_id1572_Final_E-6.42.cif,NaLi2TiO4,-6.42,0.0,Metal (Conductor),Metal,Pnn2 (34),Unstable,0.253,False,"Li2O2 (0.12), Na4TiO4 (0.28), LiO8 (0.04), Li2TiO3 (0.56)"
Li3Ca2O2_id2_Final_E-4.44_REFINED_P-1.cif,Li3Ca2O2,-4.44,0.0,Metal (Conductor),Metal,P-1 (2),Unstable,0.254,False,"Li (0.43), CaO (0.57)"
NaSn5(GeO2)2_id2614_Final_E-5.16.cif,NaSn5(GeO2)2,-5.16,0.0,Metal (Conductor),Metal,P-4m2 (115),Unstable,0.2546,False,"SnO (0.42), Na2GeO3 (0.25), Ge (0.12), Sn (0.21)"
KNaCdSn3_id1721_Final_E-2.50.cif,KNaCdSn3,-2.5,0.0,Metal (Conductor),Metal,P-4n2 (118),Unstable,0.258,False,"Na2CdSn (0.05), Na26Cd141 (0.18), K4Sn9 (0.54), NaSn (0.22)"
Te4AsO4_id2525_Final_E-4.93.cif,Te4AsO4,-4.93,0.0,Metal (Conductor),Metal,I4_1/a (88),Unstable,0.2591,False,"TeO2 (0.42), Te (0.31), As2O3 (0.28)"
Li2Be2Si5P_id3065_Final_E-4.35.cif,Li2Be2Si5P,-4.35,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2602,False,"LiBeP (0.15), Li3P (0.20), Si (0.50), Be (0.15)"
Na6CdIn_id680_Final_E-1.25.cif,Na6CdIn,-1.25,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.2616,False,"Na3Cd (0.50), Na2In (0.38), Na (0.12)"
ZnO_id2693_Final_E-4.63.cif,ZnO,-4.63,0.0,Metal (Conductor),Metal,P4_2/ncm (138),Unstable,0.2648,False,ZnO (1.00)
ZnCd(S2N3)4_id2737_Final_E-6.07.cif,ZnCd(S2N3)4,-6.07,0.0,Metal (Conductor),Metal,R-3 (148),Unstable,0.2671,False,"CdS2 (0.14), S (0.23), N2 (0.55), ZnS (0.09)"
Li2As2N2O_id813_Final_E-5.58.cif,Li2As2N2O,-5.58,0.0,Metal (Conductor),Metal,P2_1/c (14),Unstable,0.2688,False,"Li2O (0.43), N2 (0.29), As (0.29)"
MgTiGeAs2_id2803_Final_E-5.00.cif,MgTiGeAs2,-5.0,0.0,Metal (Conductor),Metal,Pmmm (47),Unstable,0.2699,False,"Mg3As2 (0.33), TiAs (0.40), Ge (0.13), GeAs (0.13)"
