file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms,harvest_mode
KTi4O5_id1238_E-7.53.cif,KTi4O5,-7.5284,0.0,Metal,I4_1/a,88,40,LIGHT
Ti2B_id4800_E-7.52.cif,Ti2B,-7.5233,0.0,Metal,P6_422,181,9,LIGHT
KSc3O7_id4652_E-7.44.cif,KSc3O7,-7.4444,0.456,Semiconductor,Pm-3n,223,22,LIGHT
Ti7Al_id164_E-7.44.cif,Ti7Al,-7.4353,0.0,Metal,Pm-3,200,8,LIGHT
Ti6GeO12_id3181_E-7.42.cif,Ti6GeO12,-7.4167,2.337,Semiconductor,Im-3,204,38,LIGHT
Ti2B_id1553_E-7.40.cif,Ti2B,-7.4043,0.0,Metal,Pa-3,205,12,LIGHT
Sc3SnO_id4693_E-7.36.cif,Sc3SnO,-7.3572,0.0,Metal,Pm-3m,221,5,LIGHT
TiN3_id4774_E-7.35.cif,TiN3,-7.3482,0.294,Semiconductor,Cmcm,63,32,LIGHT
Ti5Sn2O5_id272_E-7.34.cif,Ti5Sn2O5,-7.3362,0.849,Semiconductor,P4/mnc,128,24,LIGHT
Sc2BC4_id1080_E-7.31.cif,Sc2BC4,-7.3106,2.233,Semiconductor,P2_1/m,11,14,LIGHT
C_id1257_E-7.29.cif,C,-7.2931,0.435,Semiconductor,C2/c,15,60,LIGHT
Ti2CSe_id3485_E-7.29.cif,Ti2CSe,-7.2897,0.0,Metal,P6_3/mmc,194,8,LIGHT
Sc4N_id2303_E-7.25.cif,Sc4N,-7.2461,0.0,Metal,I422,97,10,LIGHT
Sc5O4_id403_E-7.17.cif,Sc5O4,-7.1687,1.257,Semiconductor,P4_2/n,86,18,LIGHT
C2N5_id372_E-7.14.cif,C2N5,-7.1415,2.55,Semiconductor,Pbcn,60,28,LIGHT
Ti6BeP_id363_E-7.11.cif,Ti6BeP,-7.1129,0.0,Metal,I4/mmm,139,16,LIGHT
Ti_id3518_E-7.11.cif,Ti,-7.1069,0.0,Metal,P-1,2,48,LIGHT
Ti_id634_E-7.08.cif,Ti,-7.078,0.0,Metal,P4_12_12,92,32,LIGHT
KSc3N7_id4195_E-7.01.cif,KSc3N7,-7.0102,0.482,Semiconductor,Pm-3n,223,22,LIGHT
Ti3O10_id3682_E-6.99.cif,Ti3O10,-6.993,0.741,Semiconductor,P31c,159,26,LIGHT
Ti3Ga_id696_E-6.98.cif,Ti3Ga,-6.9782,0.0,Metal,Pm-3n,223,8,LIGHT
Ca2ScO4_id4795_E-6.95.cif,Ca2ScO4,-6.9508,0.0,Metal,Cmce,64,28,LIGHT
TiInO2_id2723_E-6.94.cif,TiInO2,-6.935,0.008,Metal,I4_122,98,16,LIGHT
Ti7O2_id4944_E-6.91.cif,Ti7O2,-6.9138,0.0,Metal,Cmcm,63,36,LIGHT
ZnN8_id49_E-6.91.cif,ZnN8,-6.9054,1.505,Semiconductor,Ccce,68,36,LIGHT
Ti_id1833_E-6.90.cif,Ti,-6.8984,0.0,Metal,P-4c2,116,16,LIGHT
TiO_id2295_E-6.88.cif,TiO,-6.879,0.0,Metal,Cmmm,65,16,LIGHT
C2N3O5_id3634_E-6.88.cif,C2N3O5,-6.8784,1.796,Semiconductor,C222_1,20,40,LIGHT
ScTi3O_id3378_E-6.87.cif,ScTi3O,-6.8705,0.0,Metal,Cmme,67,20,LIGHT
Sc2P_id1371_E-6.86.cif,Sc2P,-6.8644,0.652,Semiconductor,Pa-3,205,12,LIGHT
C_id2181_E-6.86.cif,C,-6.8598,0.0,Metal,Cc,9,40,LIGHT
Sc2Ti2Ga2O5_id3_E-6.86.cif,Sc2Ti2Ga2O5,-6.8571,0.124,Semiconductor,P321,150,33,LIGHT
Sc3AlGa3N8_id2978_E-6.85.cif,Sc3AlGa3N8,-6.8483,0.17,Semiconductor,Pm-3m,221,15,LIGHT
Ti7Al_id480_E-6.84.cif,Ti7Al,-6.8374,0.0,Metal,P6_322,182,16,LIGHT
Sc6C5_id980_E-6.83.cif,Sc6C5,-6.8331,0.0,Metal,P4/mmm,123,11,LIGHT
Ti_id984_E-6.82.cif,Ti,-6.8246,0.0,Metal,P-4c2,116,40,LIGHT
LiTiN2O_id3427_E-6.82.cif,LiTiN2O,-6.824,1.956,Semiconductor,C2/m,12,20,LIGHT
Sc3Ti3C_id139_E-6.82.cif,Sc3Ti3C,-6.8153,0.0,Metal,R-3,148,42,LIGHT
MgTi3O5_id3516_E-6.76.cif,MgTi3O5,-6.7552,1.579,Semiconductor,Cccm,66,36,LIGHT
Sc6TiN2_id1462_E-6.74.cif,Sc6TiN2,-6.7408,0.0,Metal,Cmce,64,36,LIGHT
Sc4AsS3_id4894_E-6.74.cif,Sc4AsS3,-6.7353,0.0,Metal,P-43m,215,8,LIGHT
N2_id517_E-6.73.cif,N2,-6.7271,0.0,Metal,Ia-3,206,56,LIGHT
Sc2B_id2627_E-6.70.cif,Sc2B,-6.7041,0.0,Metal,Pa-3,205,12,LIGHT
TiO2_id1620_E-6.69.cif,TiO2,-6.6927,1.01,Semiconductor,Pcca,54,24,LIGHT
InN4_id1482_E-6.69.cif,InN4,-6.6888,0.82,Semiconductor,Ccce,68,20,LIGHT
Sc10N_id1794_E-6.69.cif,Sc10N,-6.6885,0.0,Metal,P4/mmm,123,11,LIGHT
Sc2NO5_id3840_E-6.68.cif,Sc2NO5,-6.6809,0.094,Semiconductor,I4_122,98,32,LIGHT
CaScGaO6_id2410_E-6.67.cif,CaScGaO6,-6.6712,4.104,Insulator,P-31c,163,18,LIGHT
Ti3Ga_id2778_E-6.67.cif,Ti3Ga,-6.6661,0.0,Metal,P6_3/mmc,194,8,LIGHT
Sc2B_id2257_E-6.66.cif,Sc2B,-6.658,0.0,Metal,Fm-3m,225,12,LIGHT
Sc3Ti2O3_id610_E-6.65.cif,Sc3Ti2O3,-6.6544,0.0,Metal,Pn-3m,224,16,LIGHT
SrBN2_id1247_E-6.64.cif,SrBN2,-6.6374,1.858,Semiconductor,P6_222,180,12,LIGHT
Sc5N7_id3009_E-6.64.cif,Sc5N7,-6.6373,0.0,Metal,Pn-3m,224,24,LIGHT
Sc5C2_id345_E-6.60.cif,Sc5C2,-6.5979,1.546,Semiconductor,P4_22_12,94,28,LIGHT
Al2C7_id4879_E-6.59.cif,Al2C7,-6.5918,0.357,Semiconductor,Cmce,64,36,LIGHT
CaB2(CN)2_id2620_E-6.55.cif,CaB2(CN)2,-6.5511,0.028,Metal,Pa-3,205,28,LIGHT
Sc3TiInS4_id1588_E-6.55.cif,Sc3TiInS4,-6.5487,0.0,Metal,P-43m,215,9,LIGHT
Ti4Al_id2174_E-6.55.cif,Ti4Al,-6.5463,0.0,Metal,Im-3m,229,10,LIGHT
ScC2_id3418_E-6.53.cif,ScC2,-6.5331,0.0,Metal,Ibca,73,48,LIGHT
BaScO4_id50_E-6.51.cif,BaScO4,-6.506,0.042,Metal,P4/nbm,125,12,LIGHT
PO2_id122_E-6.47.cif,PO2,-6.4717,5.335,Insulator,Pbca,61,24,LIGHT
Ti3ZnC_id3591_E-6.47.cif,Ti3ZnC,-6.4676,0.0,Metal,Cmcm,63,20,LIGHT
Sc2S3_id4201_E-6.46.cif,Sc2S3,-6.464,0.0,Metal,P4/mnc,128,20,LIGHT
ScSnN2O_id3792_E-6.46.cif,ScSnN2O,-6.4568,0.0,Metal,Pca2_1,29,20,LIGHT
Sc7O2_id4442_E-6.44.cif,Sc7O2,-6.4362,0.0,Metal,Cmce,64,36,LIGHT
Sc2CSe_id3036_E-6.43.cif,Sc2CSe,-6.4336,0.0,Metal,P6_3/mmc,194,8,LIGHT
AsPCNO2_id3195_E-6.43.cif,AsPCNO2,-6.428,2.64,Semiconductor,C222_1,20,48,LIGHT
TiCdO4_id3902_E-6.42.cif,TiCdO4,-6.4217,0.822,Semiconductor,P4/nbm,125,12,LIGHT
Ca2Ti(NO)2_id624_E-6.40.cif,Ca2Ti(NO)2,-6.4047,1.411,Semiconductor,Cmce,64,28,LIGHT
Ca4GaO6_id1810_E-6.40.cif,Ca4GaO6,-6.3981,1.061,Semiconductor,Im-3m,229,22,LIGHT
Sc5N2O_id1302_E-6.37.cif,Sc5N2O,-6.3731,0.537,Semiconductor,Pn-3m,224,16,LIGHT
KTi4Te3O4_id4010_E-6.37.cif,KTi4Te3O4,-6.3662,0.467,Semiconductor,I4_1/a,88,48,LIGHT
Ti2Si2B_id1701_E-6.35.cif,Ti2Si2B,-6.3529,0.0,Metal,P6_422,181,15,LIGHT
BaB4SbO4_id4161_E-6.34.cif,BaB4SbO4,-6.3409,0.0,Metal,I222,23,20,LIGHT
Sc2SN_id296_E-6.31.cif,Sc2SN,-6.307,0.0,Metal,Pnma,62,16,LIGHT
MgSc2As(NO)2_id1615_E-6.30.cif,MgSc2As(NO)2,-6.3016,0.002,Metal,I4_122,98,32,LIGHT
Sc5Se2_id2118_E-6.30.cif,Sc5Se2,-6.2962,0.0,Metal,Cmce,64,28,LIGHT
Ca(SiO2)4_id3268_E-6.29.cif,Ca(SiO2)4,-6.2858,1.607,Semiconductor,P-42_1c,114,26,LIGHT
ScGa3O4_id1667_E-6.28.cif,ScGa3O4,-6.2827,1.065,Semiconductor,P-6,174,8,LIGHT
Sc_id3796_E-6.27.cif,Sc,-6.2731,0.0,Metal,Fd-3m,227,32,LIGHT
Sc_id2904_E-6.26.cif,Sc,-6.2608,0.0,Metal,Im-3m,229,16,LIGHT
Sc_id4430_E-6.26.cif,Sc,-6.2608,0.0,Metal,Im-3m,229,16,LIGHT
Ca4N9_id166_E-6.26.cif,Ca4N9,-6.2589,0.289,Semiconductor,I4/m,87,26,LIGHT
Ca3O4_id3601_E-6.25.cif,Ca3O4,-6.2474,0.0,Metal,I-43d,220,28,LIGHT
ScPN_id2157_E-6.24.cif,ScPN,-6.2391,0.488,Semiconductor,Pca2_1,29,12,LIGHT
Sc2GaN_id2232_E-6.23.cif,Sc2GaN,-6.2294,0.45,Semiconductor,I4_122,98,16,LIGHT
MgTiO6_id3948_E-6.23.cif,MgTiO6,-6.2287,2.482,Semiconductor,P-31c,163,16,LIGHT
Sr2TiPO2_id3092_E-6.22.cif,Sr2TiPO2,-6.223,0.929,Semiconductor,P3_221,154,18,LIGHT
K2Ti3O6_id1770_E-6.20.cif,K2Ti3O6,-6.1962,0.469,Semiconductor,Im-3,204,44,LIGHT
Sc_id3784_E-6.16.cif,Sc,-6.1649,0.0,Metal,Im-3m,229,14,LIGHT
BaCaTi2(PO)2_id288_E-6.14.cif,BaCaTi2(PO)2,-6.1449,1.036,Semiconductor,P-3m1,164,8,LIGHT
MgSc12Cd_id1605_E-6.14.cif,MgSc12Cd,-6.1418,0.0,Metal,Fm-3m,225,56,LIGHT
ScCdO4_id1141_E-6.14.cif,ScCdO4,-6.141,0.285,Semiconductor,P4/nbm,125,12,LIGHT
Ti2Ga_id2676_E-6.14.cif,Ti2Ga,-6.1389,0.0,Metal,Cmm2,35,18,LIGHT
P3CN3_id3942_E-6.13.cif,P3CN3,-6.1342,4.422,Insulator,P6_3mc,186,14,LIGHT
AlGeO3_id3120_E-6.13.cif,AlGeO3,-6.1283,0.0,Metal,P-31m,162,15,LIGHT
Ti2S3_id2258_E-6.12.cif,Ti2S3,-6.1196,0.0,Metal,P6/mcc,192,60,LIGHT
BaPN2_id736_E-6.12.cif,BaPN2,-6.1185,1.345,Semiconductor,I4_122,98,16,LIGHT
Sc_id905_E-6.09.cif,Sc,-6.0901,0.0,Metal,P6/mmm,191,6,LIGHT
BaCaO3_id2613_E-6.08.cif,BaCaO3,-6.083,0.0,Metal,Pm-3m,221,5,LIGHT
Ti2Be2B_id1872_E-6.08.cif,Ti2Be2B,-6.0824,0.0,Metal,I4_1/amd,141,40,LIGHT
Ca2Si2C17S2(N2O)2_id3958_E-6.06.cif,Ca2Si2C17S2(N2O)2,-6.0558,0.979,Semiconductor,P2/c,13,58,LIGHT
ScCdO3_id2875_E-6.06.cif,ScCdO3,-6.0551,0.0,Metal,P4/nmm,129,10,LIGHT
Ti2Al_id4148_E-6.05.cif,Ti2Al,-6.0489,0.0,Metal,Pa-3,205,12,LIGHT
Ti4Cd_id1845_E-6.04.cif,Ti4Cd,-6.0446,0.0,Metal,I4_1/a,88,20,LIGHT
BaBN2_id2382_E-6.04.cif,BaBN2,-6.0355,2.05,Semiconductor,P6_222,180,12,LIGHT
Sc_id4330_E-6.03.cif,Sc,-6.0318,0.0,Metal,Pn-3m,224,16,LIGHT
ZnIn(N4O3)3_id484_E-6.02.cif,ZnIn(N4O3)3,-6.0218,2.166,Semiconductor,P6_322,182,46,LIGHT
Sc2Ti4Ga3_id862_E-6.02.cif,Sc2Ti4Ga3,-6.0163,0.0,Metal,P6/mmm,191,9,LIGHT
SrO_id1489_E-6.02.cif,SrO,-6.0158,0.0,Metal,Pm-3m,221,4,LIGHT
Li2Be(N3O)2_id2105_E-6.01.cif,Li2Be(N3O)2,-6.0137,2.598,Semiconductor,Pbcn,60,44,LIGHT
Si2GeO2_id3871_E-6.01.cif,Si2GeO2,-6.0118,0.0,Metal,P4_2mc,105,10,LIGHT
CaGaO2_id3684_E-5.99.cif,CaGaO2,-5.9897,0.02,Metal,I4_122,98,16,LIGHT
LiTi4GaSi_id4631_E-5.99.cif,LiTi4GaSi,-5.9868,0.0,Metal,I-4m2,119,14,LIGHT
Ca3(Si4O3)2_id1242_E-5.98.cif,Ca3(Si4O3)2,-5.9843,0.0,Metal,P6cc,184,34,LIGHT
Ti4AlGa3_id3351_E-5.98.cif,Ti4AlGa3,-5.9768,0.0,Metal,Im-3m,229,16,LIGHT
Ti2GeSe2_id1073_E-5.97.cif,Ti2GeSe2,-5.9734,0.0,Metal,Pa-3,205,20,LIGHT
KScGaO6_id3451_E-5.97.cif,KScGaO6,-5.9653,3.494,Semiconductor,P-31c,163,18,LIGHT
Ti3Si3As4_id1607_E-5.96.cif,Ti3Si3As4,-5.9621,0.0,Metal,I-43d,220,40,LIGHT
Ge3N3O_id1218_E-5.96.cif,Ge3N3O,-5.9599,1.318,Semiconductor,P6_3mc,186,14,LIGHT
Ca2TiO6_id401_E-5.93.cif,Ca2TiO6,-5.9339,1.87,Semiconductor,Cmce,64,36,LIGHT
Ti2Si7_id1510_E-5.92.cif,Ti2Si7,-5.9241,0.344,Semiconductor,Immm,71,18,LIGHT
As2SeN4_id4118_E-5.92.cif,As2SeN4,-5.9189,1.527,Semiconductor,Pbcn,60,28,LIGHT
Ti2GaAsP_id588_E-5.92.cif,Ti2GaAsP,-5.9167,0.0,Metal,P6_3/mmc,194,10,LIGHT
ScB_id1778_E-5.92.cif,ScB,-5.9162,0.0,Metal,I-43d,220,24,LIGHT
Ti3Be2C_id687_E-5.91.cif,Ti3Be2C,-5.9118,0.0,Metal,Pn-3m,224,12,LIGHT
Sc2CdO10_id641_E-5.91.cif,Sc2CdO10,-5.9079,0.0,Metal,P-1,2,13,LIGHT
TiP6N_id1868_E-5.90.cif,TiP6N,-5.9048,1.05,Semiconductor,R-3,148,48,LIGHT
SeN_id173_E-5.90.cif,SeN,-5.8989,1.354,Semiconductor,P4/m,83,8,LIGHT
Sc8Sn_id4468_E-5.89.cif,Sc8Sn,-5.8942,0.0,Metal,I4mm,107,18,LIGHT
LiPO2_id2880_E-5.89.cif,LiPO2,-5.8939,3.746,Insulator,I4_122,98,16,LIGHT
LiGeO2_id3932_E-5.88.cif,LiGeO2,-5.8822,3.239,Semiconductor,I4_122,98,16,LIGHT
Ti4Al3_id1736_E-5.87.cif,Ti4Al3,-5.8685,0.0,Metal,I-43d,220,28,LIGHT
CaTiAlO_id2995_E-5.87.cif,CaTiAlO,-5.8675,0.0,Metal,P4/nmm,129,8,LIGHT
ScAlB4_id764_E-5.87.cif,ScAlB4,-5.8674,0.0,Metal,I4_1/a,88,24,LIGHT
Sc2Ga2TeSN2_id4345_E-5.86.cif,Sc2Ga2TeSN2,-5.8641,0.0,Metal,P-3m1,164,8,LIGHT
BaSbO4_id1182_E-5.85.cif,BaSbO4,-5.8543,0.342,Semiconductor,P4/nbm,125,12,LIGHT
Sc2Si_id4791_E-5.85.cif,Sc2Si,-5.854,0.0,Metal,P4_2/nmc,137,12,LIGHT
LiAlO2_id2496_E-5.85.cif,LiAlO2,-5.8525,4.151,Insulator,I-42d,122,32,LIGHT
Ti3Zn_id715_E-5.84.cif,Ti3Zn,-5.837,0.0,Metal,Im-3m,229,8,LIGHT
LiGeO2_id3436_E-5.83.cif,LiGeO2,-5.834,2.551,Semiconductor,I4_122,98,16,LIGHT
LiGeO2_id472_E-5.83.cif,LiGeO2,-5.8324,0.028,Metal,I4_122,98,16,LIGHT
Ti10Ga_id3223_E-5.83.cif,Ti10Ga,-5.8305,0.0,Metal,P2_12_12,18,44,LIGHT
Ti4Ge_id1479_E-5.83.cif,Ti4Ge,-5.8284,0.0,Metal,P4_2/nmc,137,10,LIGHT
Sc6SnN_id4548_E-5.83.cif,Sc6SnN,-5.8279,0.0,Metal,Pm-3m,221,8,LIGHT
Ti(GaO)4_id4003_E-5.82.cif,Ti(GaO)4,-5.8175,0.266,Semiconductor,P-43m,215,9,LIGHT
LiScO_id2882_E-5.82.cif,LiScO,-5.8161,0.0,Metal,P4_2/nbc,133,24,LIGHT
KMgScO6_id3869_E-5.81.cif,KMgScO6,-5.8148,1.019,Semiconductor,P-31c,163,18,LIGHT
Ti2Zn_id4587_E-5.81.cif,Ti2Zn,-5.8129,0.0,Metal,I4/mmm,139,12,LIGHT
Al2SnB2O5_id1937_E-5.79.cif,Al2SnB2O5,-5.7886,1.721,Semiconductor,C2/c,15,40,LIGHT
GaSiO2_id4361_E-5.79.cif,GaSiO2,-5.7881,2.788,Semiconductor,I4_122,98,16,LIGHT
Sc4Ti2Cd_id1884_E-5.78.cif,Sc4Ti2Cd,-5.7847,0.0,Metal,I4mm,107,14,LIGHT
ScSi2_id4180_E-5.78.cif,ScSi2,-5.7826,0.0,Metal,I4_1/amd,141,12,LIGHT
AsO3_id2126_E-5.78.cif,AsO3,-5.7816,2.482,Semiconductor,R-3c,167,24,LIGHT
TiSeSN_id3126_E-5.78.cif,TiSeSN,-5.7779,0.711,Semiconductor,P6_522,179,24,LIGHT
Ti4O15_id1212_E-5.78.cif,Ti4O15,-5.7766,1.837,Semiconductor,P4/n,85,38,LIGHT
NaMgScO6_id706_E-5.76.cif,NaMgScO6,-5.7642,2.558,Semiconductor,P-31c,163,18,LIGHT
Sc8AlO8_id3457_E-5.76.cif,Sc8AlO8,-5.7633,0.0,Metal,P4mm,99,17,LIGHT
SrCa2O4_id2386_E-5.75.cif,SrCa2O4,-5.7493,0.269,Semiconductor,Pban,50,14,LIGHT
LiGeO2_id258_E-5.75.cif,LiGeO2,-5.7492,2.88,Semiconductor,I4_122,98,16,LIGHT
Sc3B2_id4874_E-5.74.cif,Sc3B2,-5.7365,1.494,Semiconductor,I23,197,60,LIGHT
BaGe3O8_id2290_E-5.73.cif,BaGe3O8,-5.734,2.28,Semiconductor,I222,23,24,LIGHT
SrSnGeO3_id2810_E-5.73.cif,SrSnGeO3,-5.7338,1.446,Semiconductor,P-6m2,187,6,LIGHT
CaTiAl3N3O_id2735_E-5.73.cif,CaTiAl3N3O,-5.7263,0.0,Metal,P4/nmm,129,18,LIGHT
BeO2_id37_E-5.72.cif,BeO2,-5.7204,3.126,Semiconductor,Pbca,61,24,LIGHT
Ba2NaTi2O3_id843_E-5.72.cif,Ba2NaTi2O3,-5.7153,2.283,Semiconductor,I4_122,98,32,LIGHT
NaTiO4_id817_E-5.71.cif,NaTiO4,-5.7122,0.983,Semiconductor,I-42m,121,24,LIGHT
Ca3CNO3_id1304_E-5.71.cif,Ca3CNO3,-5.7096,2.504,Semiconductor,R32,155,24,LIGHT
SnN_id3354_E-5.70.cif,SnN,-5.7004,0.0,Metal,I4_122,98,16,LIGHT
LiAsO2_id4071_E-5.69.cif,LiAsO2,-5.6892,2.572,Semiconductor,I4_122,98,16,LIGHT
Sc_id601_E-5.67.cif,Sc,-5.6671,0.0,Metal,P6/mmm,191,12,LIGHT
Sn(GeN)3_id4606_E-5.67.cif,Sn(GeN)3,-5.6664,0.0,Metal,R-3c,167,42,LIGHT
Sr(SnC2)2_id3667_E-5.66.cif,Sr(SnC2)2,-5.6609,0.0,Metal,P4_2/m,84,14,LIGHT
KTi2O_id23_E-5.66.cif,KTi2O,-5.6604,0.0,Metal,I4_1/amd,141,16,LIGHT
SrCaO4_id163_E-5.66.cif,SrCaO4,-5.6556,0.86,Semiconductor,P4/nbm,125,12,LIGHT
KLi3(SnO3)4_id670_E-5.66.cif,KLi3(SnO3)4,-5.6554,0.481,Semiconductor,Im-3,204,40,LIGHT
SrSc3P_id729_E-5.65.cif,SrSc3P,-5.6529,0.0,Metal,Pm-3m,221,5,LIGHT
CaAl(Si3O2)2_id1118_E-5.65.cif,CaAl(Si3O2)2,-5.6525,2.605,Semiconductor,I-42m,121,24,LIGHT
BaO2_id4057_E-5.65.cif,BaO2,-5.6521,0.0,Metal,I4/mmm,139,6,LIGHT
SrCaO4_id2752_E-5.65.cif,SrCaO4,-5.6517,1.864,Semiconductor,P4/nbm,125,12,LIGHT
KNa2C2NO2_id738_E-5.65.cif,KNa2C2NO2,-5.6459,0.646,Semiconductor,Aea2,41,32,LIGHT
Mg3InO4_id252_E-5.64.cif,Mg3InO4,-5.6386,0.075,Semiconductor,Pm-3n,223,16,LIGHT
Sc2AlSn_id2565_E-5.64.cif,Sc2AlSn,-5.6386,0.0,Metal,Fm-3m,225,16,LIGHT
Sc_id4642_E-5.64.cif,Sc,-5.6379,0.0,Metal,I4/mmm,139,24,LIGHT
LiTi2Si_id513_E-5.64.cif,LiTi2Si,-5.637,0.0,Metal,I-42d,122,16,LIGHT
Sb3O4_id693_E-5.63.cif,Sb3O4,-5.6252,0.0,Metal,I4_1/a,88,28,LIGHT
TiSe_id4056_E-5.62.cif,TiSe,-5.623,0.0,Metal,P6_122,178,24,LIGHT
Si4O11_id565_E-5.60.cif,Si4O11,-5.6015,1.402,Semiconductor,Pba2,32,30,LIGHT
Ti6AlGa6Ge_id523_E-5.59.cif,Ti6AlGa6Ge,-5.595,0.0,Metal,Pm-3,200,14,LIGHT
Sc3Ti2_id2958_E-5.59.cif,Sc3Ti2,-5.595,0.0,Metal,P4_322,95,20,LIGHT
CaSc2PC_id4098_E-5.59.cif,CaSc2PC,-5.5949,0.0,Metal,Cmcm,63,20,LIGHT
SrCaO4_id3030_E-5.59.cif,SrCaO4,-5.5946,3.289,Semiconductor,P4/nbm,125,12,LIGHT
ScAs(PO)4_id2767_E-5.59.cif,ScAs(PO)4,-5.5917,0.948,Semiconductor,I4_1/a,88,40,LIGHT
ScInPSO2_id4698_E-5.59.cif,ScInPSO2,-5.5909,1.558,Semiconductor,P2_1/m,11,12,LIGHT
TiAlSi4_id18_E-5.59.cif,TiAlSi4,-5.5908,0.0,Metal,I422,97,12,LIGHT
Sc12C25_id938_E-5.59.cif,Sc12C25,-5.5879,0.005,Metal,Pm-3m,221,37,LIGHT
BaLiCa8B12(NO2)6_id3556_E-5.59.cif,BaLiCa8B12(NO2)6,-5.5857,1.123,Semiconductor,P321,150,40,LIGHT
KCaB6Sb(TeO2)3_id3007_E-5.58.cif,KCaB6Sb(TeO2)3,-5.5847,1.986,Semiconductor,P-31c,163,36,LIGHT
Sc7Si_id2856_E-5.57.cif,Sc7Si,-5.5744,0.0,Metal,Pbam,55,16,LIGHT
Sc2Ge_id1656_E-5.57.cif,Sc2Ge,-5.569,0.0,Metal,P4_2/nmc,137,12,LIGHT
GaO2_id2892_E-5.57.cif,GaO2,-5.566,1.358,Semiconductor,I4_122,98,12,LIGHT
ScAlO2_id587_E-5.57.cif,ScAlO2,-5.5656,1.167,Semiconductor,P3_221,154,12,LIGHT
TiSbP2_id3630_E-5.56.cif,TiSbP2,-5.5638,0.0,Metal,P6_522,179,24,LIGHT
Sc_id2942_E-5.56.cif,Sc,-5.5609,0.0,Metal,P6/mmm,191,34,LIGHT
Sc9Se2_id61_E-5.56.cif,Sc9Se2,-5.558,1.962,Semiconductor,Cmce,64,44,LIGHT
Be2AsN8_id2490_E-5.55.cif,Be2AsN8,-5.5546,1.7,Semiconductor,I422,97,22,LIGHT
Ti4Be4C_id543_E-5.55.cif,Ti4Be4C,-5.5516,0.041,Metal,I422,97,18,LIGHT
Si2GeN2_id3062_E-5.55.cif,Si2GeN2,-5.5491,0.183,Semiconductor,P4_12_12,92,20,LIGHT
BN24_id2321_E-5.54.cif,BN24,-5.5435,2.652,Semiconductor,I432,211,50,LIGHT
