Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
BEFORE,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,,,Sc3GeN_id866_E-7.75.cif
AFTER,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,0.0000,0.000,Sc3GeN_id866_Final_E-7.75.cif
,,,,,,,,
BEFORE,Sc2GaSiO4,-4.8197,2.698,Semiconductor,P-42c,,,Sc2GaSiO4_id2705_E-4.82.cif
AFTER,Sc2GaSiO4,-7.7082,3.459,Semiconductor,Ccc2,-2.8885,0.761,Sc2GaSiO4_id2705_Final_E-7.71.cif
,,,,,,,,
BEFORE,Ba(N4O)3,-6.2295,1.315,Semiconductor,P6_3/m,,,Ba(N4O)3_id2670_E-6.23.cif
AFTER,Ba(N4O)3,-7.6625,2.964,Semiconductor,P-1,-1.4330,1.649,Ba(N4O)3_id2670_Final_E-7.66.cif
,,,,,,,,
BEFORE,Mg2Sc2O5,-6.4702,0.059,Semiconductor,Pccn,,,Mg2Sc2O5_id2806_E-6.47.cif
AFTER,Mg2Sc2O5,-7.6156,3.564,Insulator,Pccn,-1.1454,3.505,Mg2Sc2O5_id2806_Final_E-7.62.cif
,,,,,,,,
BEFORE,Sc2CdBO4,-6.8442,0.669,Semiconductor,P-42c,,,Sc2CdBO4_id3039_E-6.84.cif
AFTER,Sc2CdBO4,-7.5383,0.003,Metal,P-42c,-0.6941,-0.666,Sc2CdBO4_id3039_Final_E-7.54.cif
,,,,,,,,
BEFORE,Ti3(SnO)2,-6.7842,0.683,Semiconductor,P4/mnc,,,Ti3(SnO)2_id3279_E-6.78.cif
AFTER,Ti3(SnO)2,-7.403,0.343,Semiconductor,P4/mnc,-0.6188,-0.340,Ti3(SnO)2_id3279_Final_E-7.40.cif
,,,,,,,,
BEFORE,TiS,-7.1268,0.173,Semiconductor,P4/nmm,,,TiS_id2641_E-7.13.cif
AFTER,TiS,-7.3332,0.0,Metal,P4/nmm,-0.2064,-0.173,TiS_id2641_Final_E-7.33.cif
,,,,,,,,
BEFORE,SrGa(SiO3)2,-3.289,1.236,Semiconductor,P-3m1,,,SrGa(SiO3)2_id1687_E-3.29.cif
AFTER,SrGa(SiO3)2,-7.3095,2.774,Semiconductor,P1,-4.0205,1.538,SrGa(SiO3)2_id1687_Final_E-7.31.cif
,,,,,,,,
BEFORE,NaCaSc2O6,-6.1627,3.061,Semiconductor,P2/m,,,NaCaSc2O6_id741_E-6.16.cif
AFTER,NaCaSc2O6,-7.2819,3.108,Semiconductor,P1,-1.1192,0.047,NaCaSc2O6_id741_Final_E-7.28.cif
,,,,,,,,
BEFORE,Ti3Al2C3,-6.1882,0.29,Semiconductor,Cmc2_1,,,Ti3Al2C3_id520_E-6.19.cif
AFTER,Ti3Al2C3,-7.2353,0.0,Metal,P2_1,-1.0471,-0.290,Ti3Al2C3_id520_Final_E-7.24.cif
,,,,,,,,
BEFORE,AlN,-6.3451,1.943,Semiconductor,Aea2,,,AlN_id2713_E-6.35.cif
AFTER,AlN,-7.2236,3.087,Semiconductor,Fmm2,-0.8785,1.144,AlN_id2713_Final_E-7.22.cif
,,,,,,,,
BEFORE,N2O,-6.3802,1.606,Semiconductor,Pca2_1,,,N2O_id759_E-6.38.cif
AFTER,N2O,-7.1944,0.987,Semiconductor,P2_1,-0.8142,-0.619,N2O_id759_Final_E-7.19.cif
,,,,,,,,
BEFORE,Ti2B7,-6.1766,1.433,Semiconductor,C222_1,,,Ti2B7_id3116_E-6.18.cif
AFTER,Ti2B7,-7.1411,1.448,Semiconductor,C222_1,-0.9645,0.015,Ti2B7_id3116_Final_E-7.14.cif
,,,,,,,,
BEFORE,LiTiN,-6.1301,1.4,Semiconductor,P2_12_12_1,,,LiTiN_id1437_E-6.13.cif
AFTER,LiTiN,-7.1331,1.48,Semiconductor,P2_12_12_1,-1.0030,0.080,LiTiN_id1437_Final_E-7.13.cif
,,,,,,,,
BEFORE,TiSeO3,-7.0216,2.432,Semiconductor,P6_3mc,,,TiSeO3_id842_E-7.02.cif
AFTER,TiSeO3,-7.1246,1.793,Semiconductor,P6_3mc,-0.1030,-0.639,TiSeO3_id842_Final_E-7.12.cif
,,,,,,,,
BEFORE,Ti12Zn6SbO12,-6.2972,0.949,Semiconductor,Im-3,,,Ti12Zn6SbO12_id2980_E-6.30.cif
AFTER,Ti12Zn6SbO12,-7.099,0.0,Metal,P1,-0.8018,-0.949,Ti12Zn6SbO12_id2980_Final_E-7.10.cif
,,,,,,,,
BEFORE,TiGaO,-6.5462,0.106,Semiconductor,Pbca,,,TiGaO_id2817_E-6.55.cif
AFTER,TiGaO,-7.082,0.893,Semiconductor,P2_1/c,-0.5358,0.787,TiGaO_id2817_Final_E-7.08.cif
,,,,,,,,
BEFORE,Al2C2O3,-6.399,0.27,Semiconductor,Pbcn,,,Al2C2O3_id359_E-6.40.cif
AFTER,Al2C2O3,-7.0459,0.295,Semiconductor,Pbcn,-0.6469,0.025,Al2C2O3_id359_Final_E-7.05.cif
,,,,,,,,
BEFORE,Ca2N5,-6.3239,1.49,Semiconductor,Pccn,,,Ca2N5_id2630_E-6.32.cif
AFTER,Ca2N5,-7.0287,0.453,Semiconductor,Pccn,-0.7048,-1.037,Ca2N5_id2630_Final_E-7.03.cif
,,,,,,,,
BEFORE,B2PC8,-6.4733,0.263,Semiconductor,I422,,,B2PC8_id2556_E-6.47.cif
AFTER,B2PC8,-6.9866,2.41,Semiconductor,C2,-0.5133,2.147,B2PC8_id2556_Final_E-6.99.cif
,,,,,,,,
BEFORE,B2C,-6.1733,1.646,Semiconductor,Pbcn,,,B2C_id1625_E-6.17.cif
AFTER,B2C,-6.9508,0.0,Metal,P2_1/c,-0.7775,-1.646,B2C_id1625_Final_E-6.95.cif
,,,,,,,,
BEFORE,TiS,-7.7805,2.747,Semiconductor,Im-3m,,,TiS_id3172_E-7.78.cif
AFTER,TiS,-6.9365,2.151,Semiconductor,Pm-3m,0.8440,-0.596,TiS_id3172_Final_E-6.94.cif
,,,,,,,,
BEFORE,LiTi2GeN,-4.2269,1.032,Semiconductor,Pm,,,LiTi2GeN_id802_E-4.23.cif
AFTER,LiTi2GeN,-6.8894,0.0,Metal,Pm,-2.6625,-1.032,LiTi2GeN_id802_Final_E-6.89.cif
,,,,,,,,
BEFORE,N12O7,-6.5414,1.625,Semiconductor,R-3,,,N12O7_id1711_E-6.54.cif
AFTER,N12O7,-6.8205,4.272,Insulator,R-3,-0.2791,2.647,N12O7_id1711_Final_E-6.82.cif
,,,,,,,,
BEFORE,K2Sc4CdO5,-5.7923,1.799,Semiconductor,I4/m,,,K2Sc4CdO5_id2115_E-5.79.cif
AFTER,K2Sc4CdO5,-6.7479,0.0,Metal,P-1,-0.9556,-1.799,K2Sc4CdO5_id2115_Final_E-6.75.cif
,,,,,,,,
BEFORE,InCO4,-6.2899,2.053,Semiconductor,I4_1/a,,,InCO4_id1566_E-6.29.cif
AFTER,InCO4,-6.7136,3.02,Semiconductor,I4_1/a,-0.4237,0.967,InCO4_id1566_Final_E-6.71.cif
,,,,,,,,
BEFORE,Ge2O3,-4.8105,1.4,Semiconductor,Pbcn,,,Ge2O3_id247_E-4.81.cif
AFTER,Ge2O3,-6.6057,0.556,Semiconductor,P2_1/c,-1.7952,-0.844,Ge2O3_id247_Final_E-6.61.cif
,,,,,,,,
BEFORE,NO,-5.9691,1.582,Semiconductor,Pbca,,,NO_id3379_E-5.97.cif
AFTER,NO,-6.6051,2.183,Semiconductor,Pbca,-0.6360,0.601,NO_id3379_Final_E-6.61.cif
,,,,,,,,
BEFORE,Mg5N12,-5.9662,1.913,Semiconductor,P-42_1c,,,Mg5N12_id2310_E-5.97.cif
AFTER,Mg5N12,-6.6024,1.504,Semiconductor,P-42_1c,-0.6362,-0.409,Mg5N12_id2310_Final_E-6.60.cif
,,,,,,,,
BEFORE,Ti7GaO6,-6.5309,1.13,Semiconductor,P1,,,Ti7GaO6_id1510_E-6.53.cif
AFTER,Ti7GaO6,-6.5927,1.491,Semiconductor,P1,-0.0618,0.361,Ti7GaO6_id1510_Final_E-6.59.cif
,,,,,,,,
BEFORE,Ca2Si2C15,-6.0119,0.114,Semiconductor,R-3,,,Ca2Si2C15_id2917_E-6.01.cif
AFTER,Ca2Si2C15,-6.5678,0.903,Semiconductor,P1,-0.5559,0.789,Ca2Si2C15_id2917_Final_E-6.57.cif
,,,,,,,,
BEFORE,B(P3N2)2,-5.4401,0.671,Semiconductor,P4/n,,,B(P3N2)2_id1631_E-5.44.cif
AFTER,B(P3N2)2,-6.5521,0.005,Metal,P1,-1.1120,-0.666,B(P3N2)2_id1631_Final_E-6.55.cif
,,,,,,,,
BEFORE,LiSiO2,-6.5397,0.797,Semiconductor,I4_122,,,LiSiO2_id2531_E-6.54.cif
AFTER,LiSiO2,-6.5508,3.878,Insulator,I4_122,-0.0111,3.081,LiSiO2_id2531_Final_E-6.55.cif
,,,,,,,,
BEFORE,MgN2,-5.9734,1.9,Semiconductor,P-6m2,,,MgN2_id2298_E-5.97.cif
AFTER,MgN2,-6.5083,2.782,Semiconductor,P-6m2,-0.5349,0.882,MgN2_id2298_Final_E-6.51.cif
,,,,,,,,
BEFORE,TiB5C14N,-4.9236,0.4,Semiconductor,P2_12_12_1,,,TiB5C14N_id3134_E-4.92.cif
AFTER,TiB5C14N,-6.4936,0.673,Semiconductor,P2_12_12_1,-1.5700,0.273,TiB5C14N_id3134_Final_E-6.49.cif
,,,,,,,,
BEFORE,AlB3PO16,-5.0074,1.098,Semiconductor,P2_1,,,AlB3PO16_id1635_E-5.01.cif
AFTER,AlB3PO16,-6.4836,0.569,Semiconductor,P2_1,-1.4762,-0.529,AlB3PO16_id1635_Final_E-6.48.cif
,,,,,,,,
BEFORE,InN3,-5.8212,1.396,Semiconductor,Cc,,,InN3_id1794_E-5.82.cif
AFTER,InN3,-6.439,0.0,Metal,Cc,-0.6178,-1.396,InN3_id1794_Final_E-6.44.cif
,,,,,,,,
BEFORE,Ca3Sc4In4O9,-5.4516,0.563,Semiconductor,I4/m,,,Ca3Sc4In4O9_id2823_E-5.45.cif
AFTER,Ca3Sc4In4O9,-6.4281,0.0,Metal,P1,-0.9765,-0.563,Ca3Sc4In4O9_id2823_Final_E-6.43.cif
,,,,,,,,
BEFORE,NaLi2TiO4,-5.7305,2.332,Semiconductor,Pnn2,,,NaLi2TiO4_id1572_E-5.73.cif
AFTER,NaLi2TiO4,-6.4222,2.594,Semiconductor,Pnn2,-0.6917,0.262,NaLi2TiO4_id1572_Final_E-6.42.cif
,,,,,,,,
BEFORE,Si(PO)2,-4.4196,1.412,Semiconductor,P6_522,,,Si(PO)2_id572_E-4.42.cif
AFTER,Si(PO)2,-6.4135,0.0,Metal,P1,-1.9939,-1.412,Si(PO)2_id572_Final_E-6.41.cif
,,,,,,,,
BEFORE,Sc3Se4,-6.208,0.932,Semiconductor,I-43d,,,Sc3Se4_id2748_E-6.21.cif
AFTER,Sc3Se4,-6.3804,0.546,Semiconductor,I-43d,-0.1724,-0.386,Sc3Se4_id2748_Final_E-6.38.cif
,,,,,,,,
BEFORE,GeO2,-5.4414,1.252,Semiconductor,P4/nnc,,,GeO2_id345_E-5.44.cif
AFTER,GeO2,-6.2981,1.04,Semiconductor,P4/nnc,-0.8567,-0.212,GeO2_id345_Final_E-6.30.cif
,,,,,,,,
BEFORE,Ca3MgNO3,-6.2438,2.222,Semiconductor,Pm-3m,,,Ca3MgNO3_id893_E-6.24.cif
AFTER,Ca3MgNO3,-6.2438,2.222,Semiconductor,Pm-3m,0.0000,0.000,Ca3MgNO3_id893_Final_E-6.24.cif
,,,,,,,,
BEFORE,BeC,-5.4601,0.059,Semiconductor,Pbca,,,BeC_id763_E-5.46.cif
AFTER,BeC,-6.1842,0.57,Semiconductor,Pbca,-0.7241,0.511,BeC_id763_Final_E-6.18.cif
,,,,,,,,
BEFORE,B2C6N2O,-3.6153,0.583,Semiconductor,P1,,,B2C6N2O_id2082_E-3.62.cif
AFTER,B2C6N2O,-6.1509,0.006,Metal,P1,-2.5356,-0.577,B2C6N2O_id2082_Final_E-6.15.cif
,,,,,,,,
BEFORE,Na2N3O2,-4.6936,1.238,Semiconductor,P2/c,,,Na2N3O2_id3001_E-4.69.cif
AFTER,Na2N3O2,-6.1498,0.0,Metal,P2/c,-1.4562,-1.238,Na2N3O2_id3001_Final_E-6.15.cif
,,,,,,,,
BEFORE,Ti2Be2B,-6.1086,1.948,Semiconductor,P6_422,,,Ti2Be2B_id2089_E-6.11.cif
AFTER,Ti2Be2B,-6.1396,2.011,Semiconductor,P6_422,-0.0310,0.063,Ti2Be2B_id2089_Final_E-6.14.cif
,,,,,,,,
BEFORE,Ti11Zn2,-6.0447,0.347,Semiconductor,P1,,,Ti11Zn2_id361_E-6.04.cif
AFTER,Ti11Zn2,-6.0924,0.318,Semiconductor,P1,-0.0477,-0.029,Ti11Zn2_id361_Final_E-6.09.cif
,,,,,,,,
BEFORE,Sc4GeSe3,-4.5109,2.289,Semiconductor,Pbam,,,Sc4GeSe3_id383_E-4.51.cif
AFTER,Sc4GeSe3,-6.0888,0.421,Semiconductor,P2_1/c,-1.5779,-1.868,Sc4GeSe3_id383_Final_E-6.09.cif
,,,,,,,,
BEFORE,BeSbCN,-5.1162,1.023,Semiconductor,Pca2_1,,,BeSbCN_id2793_E-5.12.cif
AFTER,BeSbCN,-6.0877,0.373,Semiconductor,Pca2_1,-0.9715,-0.650,BeSbCN_id2793_Final_E-6.09.cif
,,,,,,,,
BEFORE,ZnCd(S2N3)4,-5.8105,0.962,Semiconductor,R-3,,,ZnCd(S2N3)4_id2737_E-5.81.cif
AFTER,ZnCd(S2N3)4,-6.0712,0.362,Semiconductor,P-1,-0.2607,-0.600,ZnCd(S2N3)4_id2737_Final_E-6.07.cif
,,,,,,,,
BEFORE,Sc3B4,-5.7858,0.071,Semiconductor,P4_2/nnm,,,Sc3B4_id629_E-5.79.cif
AFTER,Sc3B4,-6.0666,0.051,Semiconductor,P4_2/nnm,-0.2808,-0.020,Sc3B4_id629_Final_E-6.07.cif
,,,,,,,,
BEFORE,TiO6,-5.5134,1.282,Semiconductor,P-1,,,TiO6_id2542_E-5.51.cif
AFTER,TiO6,-6.0537,1.695,Semiconductor,P-1,-0.5403,0.413,TiO6_id2542_Final_E-6.05.cif
,,,,,,,,
BEFORE,Ba2LiPO5,-4.4765,0.059,Semiconductor,Cmcm,,,Ba2LiPO5_id3151_E-4.48.cif
AFTER,Ba2LiPO5,-6.0169,1.997,Semiconductor,Cmcm,-1.5404,1.938,Ba2LiPO5_id3151_Final_E-6.02.cif
,,,,,,,,
BEFORE,CaSn2(GeO2)2,-4.9966,0.948,Semiconductor,P4_2/m,,,CaSn2(GeO2)2_id2709_E-5.00.cif
AFTER,CaSn2(GeO2)2,-6.0109,0.905,Semiconductor,P4_2/m,-1.0143,-0.043,CaSn2(GeO2)2_id2709_Final_E-6.01.cif
,,,,,,,,
BEFORE,AlNO,-5.3719,1.777,Semiconductor,Pca2_1,,,AlNO_id3146_E-5.37.cif
AFTER,AlNO,-6.0043,2.574,Semiconductor,Pca2_1,-0.6324,0.797,AlNO_id3146_Final_E-6.00.cif
,,,,,,,,
BEFORE,GeSbNO2,-5.5438,0.455,Semiconductor,Pca2_1,,,GeSbNO2_id2378_E-5.54.cif
AFTER,GeSbNO2,-5.9914,0.885,Semiconductor,Pca2_1,-0.4476,0.430,GeSbNO2_id2378_Final_E-5.99.cif
,,,,,,,,
BEFORE,CaInP2O9,-4.4248,0.134,Semiconductor,P1,,,CaInP2O9_id2574_E-4.42.cif
AFTER,CaInP2O9,-5.9754,1.662,Semiconductor,P1,-1.5506,1.528,CaInP2O9_id2574_Final_E-5.98.cif
,,,,,,,,
BEFORE,SrO,-5.9724,0.052,Semiconductor,P4_2/mmc,,,SrO_id2868_E-5.97.cif
AFTER,SrO,-5.9724,0.052,Semiconductor,P4_2/mmc,0.0000,0.000,SrO_id2868_Final_E-5.97.cif
,,,,,,,,
BEFORE,CaGeO4,-5.8425,0.068,Semiconductor,P4/nbm,,,CaGeO4_id1187_E-5.84.cif
AFTER,CaGeO4,-5.9515,0.0,Metal,P4/nbm,-0.1090,-0.068,CaGeO4_id1187_Final_E-5.95.cif
,,,,,,,,
BEFORE,TiZnGaO2,-4.671,1.444,Semiconductor,Cmme,,,TiZnGaO2_id2804_E-4.67.cif
AFTER,TiZnGaO2,-5.9331,0.0,Metal,Pmmm,-1.2621,-1.444,TiZnGaO2_id2804_Final_E-5.93.cif
,,,,,,,,
BEFORE,BaInGaO3,-5.2954,1.104,Semiconductor,Pcc2,,,BaInGaO3_id3354_E-5.30.cif
AFTER,BaInGaO3,-5.9262,1.095,Semiconductor,Pcc2,-0.6308,-0.009,BaInGaO3_id3354_Final_E-5.93.cif
,,,,,,,,
BEFORE,ZnBO4,-4.786,2.872,Semiconductor,P-42c,,,ZnBO4_id1311_E-4.79.cif
AFTER,ZnBO4,-5.9257,3.094,Semiconductor,Ccc2,-1.1397,0.222,ZnBO4_id1311_Final_E-5.93.cif
,,,,,,,,
BEFORE,Sc3Ga,-5.0043,2.259,Semiconductor,Pmmn,,,Sc3Ga_id2829_E-5.00.cif
AFTER,Sc3Ga,-5.9055,0.0,Metal,P2_1/m,-0.9012,-2.259,Sc3Ga_id2829_Final_E-5.91.cif
,,,,,,,,
BEFORE,P3O2,-5.5361,3.422,Semiconductor,P2_12_12_1,,,P3O2_id1169_E-5.54.cif
AFTER,P3O2,-5.9042,0.0,Metal,P1,-0.3681,-3.422,P3O2_id1169_Final_E-5.90.cif
,,,,,,,,
BEFORE,Ti6Se4S3,-4.5698,0.937,Semiconductor,Pm-3m,,,Ti6Se4S3_id775_E-4.57.cif
AFTER,Ti6Se4S3,-5.8988,0.0,Metal,Pm-3m,-1.3290,-0.937,Ti6Se4S3_id775_Final_E-5.90.cif
,,,,,,,,
BEFORE,N2O5,-5.545,3.326,Semiconductor,P4_2/nnm,,,N2O5_id2950_E-5.55.cif
AFTER,N2O5,-5.8807,0.897,Semiconductor,P1,-0.3357,-2.429,N2O5_id2950_Final_E-5.88.cif
,,,,,,,,
BEFORE,BaCaO4,-5.6109,3.48,Semiconductor,P4/nbm,,,BaCaO4_id1287_E-5.61.cif
AFTER,BaCaO4,-5.8283,2.169,Semiconductor,Pban,-0.2174,-1.311,BaCaO4_id1287_Final_E-5.83.cif
,,,,,,,,
BEFORE,Ga(GeO2)2,-5.6531,1.126,Semiconductor,P1,,,Ga(GeO2)2_id1277_E-5.65.cif
AFTER,Ga(GeO2)2,-5.8283,0.49,Semiconductor,P1,-0.1752,-0.636,Ga(GeO2)2_id1277_Final_E-5.83.cif
,,,,,,,,
BEFORE,N2O3,-5.4144,2.002,Semiconductor,Pccn,,,N2O3_id2019_E-5.41.cif
AFTER,N2O3,-5.8143,0.729,Semiconductor,Pccn,-0.3999,-1.273,N2O3_id2019_Final_E-5.81.cif
,,,,,,,,
BEFORE,K3Ti2(Ga3O5)2,-5.2592,0.096,Semiconductor,R-3,,,K3Ti2(Ga3O5)2_id311_E-5.26.cif
AFTER,K3Ti2(Ga3O5)2,-5.8064,1.892,Semiconductor,P1,-0.5472,1.796,K3Ti2(Ga3O5)2_id311_Final_E-5.81.cif
,,,,,,,,
BEFORE,Ca2TiSN2,-5.3666,1.712,Semiconductor,I4_122,,,Ca2TiSN2_id413_E-5.37.cif
AFTER,Ca2TiSN2,-5.7879,1.816,Semiconductor,C2,-0.4213,0.104,Ca2TiSN2_id413_Final_E-5.79.cif
,,,,,,,,
BEFORE,InGa(SnO2)2,-5.4421,1.431,Semiconductor,P-42_1c,,,InGa(SnO2)2_id1764_E-5.44.cif
AFTER,InGa(SnO2)2,-5.7634,0.0,Metal,Cc,-0.3213,-1.431,InGa(SnO2)2_id1764_Final_E-5.76.cif
,,,,,,,,
BEFORE,MgAsO2,-5.7182,0.874,Semiconductor,I4_122,,,MgAsO2_id1295_E-5.72.cif
AFTER,MgAsO2,-5.7614,0.045,Metal,I4_122,-0.0432,-0.829,MgAsO2_id1295_Final_E-5.76.cif
,,,,,,,,
BEFORE,PO3,-5.328,1.028,Semiconductor,P-62m,,,PO3_id393_E-5.33.cif
AFTER,PO3,-5.7536,0.257,Semiconductor,P-62m,-0.4256,-0.771,PO3_id393_Final_E-5.75.cif
,,,,,,,,
BEFORE,Ge(B2N)2,-3.1257,0.057,Semiconductor,I4/m,,,Ge(B2N)2_id731_E-3.13.cif
AFTER,Ge(B2N)2,-5.7529,1.935,Semiconductor,P1,-2.6272,1.878,Ge(B2N)2_id731_Final_E-5.75.cif
,,,,,,,,
BEFORE,B(AsN)12,-4.6912,1.158,Semiconductor,I432,,,B(AsN)12_id933_E-4.69.cif
AFTER,B(AsN)12,-5.747,2.325,Semiconductor,I432,-1.0558,1.167,B(AsN)12_id933_Final_E-5.75.cif
,,,,,,,,
BEFORE,Ge3PO2,-4.9685,0.393,Semiconductor,P-4n2,,,Ge3PO2_id3118_E-4.97.cif
AFTER,Ge3PO2,-5.6754,1.155,Semiconductor,Pc,-0.7069,0.762,Ge3PO2_id3118_Final_E-5.68.cif
,,,,,,,,
BEFORE,Sc4C15O2,-4.1059,0.661,Semiconductor,Pm,,,Sc4C15O2_id777_E-4.11.cif
AFTER,Sc4C15O2,-5.6737,0.0,Metal,Pm,-1.5678,-0.661,Sc4C15O2_id777_Final_E-5.67.cif
,,,,,,,,
BEFORE,Sc7Ti3Zn2,-3.9763,0.081,Semiconductor,P-31m,,,Sc7Ti3Zn2_id2663_E-3.98.cif
AFTER,Sc7Ti3Zn2,-5.6709,0.0,Metal,P-1,-1.6946,-0.081,Sc7Ti3Zn2_id2663_Final_E-5.67.cif
,,,,,,,,
BEFORE,Ba4CaO4,-3.6735,1.282,Semiconductor,P4_2/n,,,Ba4CaO4_id1379_E-3.67.cif
AFTER,Ba4CaO4,-5.666,0.0,Metal,P-1,-1.9925,-1.282,Ba4CaO4_id1379_Final_E-5.67.cif
,,,,,,,,
BEFORE,NaGeO2,-3.8162,1.37,Semiconductor,I4_122,,,NaGeO2_id1660_E-3.82.cif
AFTER,NaGeO2,-5.639,1.798,Semiconductor,I4_122,-1.8228,0.428,NaGeO2_id1660_Final_E-5.64.cif
,,,,,,,,
BEFORE,NaAl(C3O2)2,-5.0924,0.303,Semiconductor,Pban,,,NaAl(C3O2)2_id2570_E-5.09.cif
AFTER,NaAl(C3O2)2,-5.6272,1.56,Semiconductor,P222,-0.5348,1.257,NaAl(C3O2)2_id2570_Final_E-5.63.cif
,,,,,,,,
BEFORE,LiGaP2O13,-4.01,1.168,Semiconductor,C222,,,LiGaP2O13_id2782_E-4.01.cif
AFTER,LiGaP2O13,-5.6166,1.636,Semiconductor,P1,-1.6066,0.468,LiGaP2O13_id2782_Final_E-5.62.cif
,,,,,,,,
BEFORE,PNO4,-4.9718,2.756,Semiconductor,P1,,,PNO4_id267_E-4.97.cif
AFTER,PNO4,-5.6158,0.0,Metal,P1,-0.6440,-2.756,PNO4_id267_Final_E-5.62.cif
,,,,,,,,
BEFORE,KNa2PO5,-3.7966,0.056,Semiconductor,P2,,,KNa2PO5_id3011_E-3.80.cif
AFTER,KNa2PO5,-5.6137,4.336,Insulator,P1,-1.8171,4.280,KNa2PO5_id3011_Final_E-5.61.cif
,,,,,,,,
BEFORE,Si3(B2P)2,-4.4348,1.802,Semiconductor,P31m,,,Si3(B2P)2_id2161_E-4.43.cif
AFTER,Si3(B2P)2,-5.6136,0.092,Semiconductor,P1,-1.1788,-1.710,Si3(B2P)2_id2161_Final_E-5.61.cif
,,,,,,,,
BEFORE,Ti15(Zn2Ga)2,-2.3275,1.594,Semiconductor,P2,,,Ti15(Zn2Ga)2_id688_E-2.33.cif
AFTER,Ti15(Zn2Ga)2,-5.6122,0.0,Metal,P1,-3.2847,-1.594,Ti15(Zn2Ga)2_id688_Final_E-5.61.cif
,,,,,,,,
BEFORE,BaNO,-5.5963,1.008,Semiconductor,P4_2/mmc,,,BaNO_id3332_E-5.60.cif
AFTER,BaNO,-5.5963,1.008,Semiconductor,P4_2/mmc,0.0000,0.000,BaNO_id3332_Final_E-5.60.cif
,,,,,,,,
BEFORE,Li3Ca2SbO6,-4.587,2.477,Semiconductor,Pnn2,,,Li3Ca2SbO6_id2582_E-4.59.cif
AFTER,Li3Ca2SbO6,-5.5944,3.644,Insulator,Pc,-1.0074,1.167,Li3Ca2SbO6_id2582_Final_E-5.59.cif
,,,,,,,,
BEFORE,K2(SnO2)3,-5.1752,1.523,Semiconductor,P-31c,,,K2(SnO2)3_id2820_E-5.18.cif
AFTER,K2(SnO2)3,-5.5917,0.466,Semiconductor,P6_3/mmc,-0.4165,-1.057,K2(SnO2)3_id2820_Final_E-5.59.cif
,,,,,,,,
BEFORE,Sc4Ge3(PSe)3,-5.4285,0.229,Semiconductor,R-3c,,,Sc4Ge3(PSe)3_id2034_E-5.43.cif
AFTER,Sc4Ge3(PSe)3,-5.5875,0.0,Metal,P-1,-0.1590,-0.229,Sc4Ge3(PSe)3_id2034_Final_E-5.59.cif
,,,,,,,,
BEFORE,Li2As2N2O,-4.8795,1.178,Semiconductor,Pccn,,,Li2As2N2O_id813_E-4.88.cif
