file_name,original_file,formula,energy,bandgap,type,space_group
Ti2B7_id3116_Final_E-7.14.cif,Ti2B7_id3116_E-6.18.cif,Ti2B7,-7.1411,1.448,Semiconductor,C222_1
LiTiN_id1437_Final_E-7.13.cif,LiTiN_id1437_E-6.13.cif,LiTiN,-7.1331,1.48,Semiconductor,P2_12_12_1
TiSeO3_id842_Final_E-7.12.cif,TiSeO3_id842_E-7.02.cif,TiSeO3,-7.1246,1.793,Semiconductor,P6_3mc
Ti12Zn6SbO12_id2980_Final_E-7.10.cif,Ti12Zn6SbO12_id2980_E-6.30.cif,Ti12Zn6SbO12,-7.099,0.0,Metal,P1
TiGaO_id2817_Final_E-7.08.cif,TiGaO_id2817_E-6.55.cif,TiGaO,-7.082,0.893,Semiconductor,P2_1/c
Al2C2O3_id359_Final_E-7.05.cif,Al2C2O3_id359_E-6.40.cif,Al2C2O3,-7.0459,0.295,Semiconductor,Pbcn
Ca2N5_id2630_Final_E-7.03.cif,Ca2N5_id2630_E-6.32.cif,Ca2N5,-7.0287,0.453,Semiconductor,Pccn
B2PC8_id2556_Final_E-6.99.cif,B2PC8_id2556_E-6.47.cif,B2PC8,-6.9866,2.41,Semiconductor,C2
B2C_id1625_Final_E-6.95.cif,B2C_id1625_E-6.17.cif,B2C,-6.9508,0.0,Metal,P2_1/c
TiS_id3172_Final_E-6.94.cif,TiS_id3172_E-7.78.cif,TiS,-6.9365,2.151,Semiconductor,Pm-3m
LiTi2GeN_id802_Final_E-6.89.cif,LiTi2GeN_id802_E-4.23.cif,LiTi2GeN,-6.8894,0.0,Metal,Pm
N12O7_id1711_Final_E-6.82.cif,N12O7_id1711_E-6.54.cif,N12O7,-6.8205,4.272,Insulator,R-3
K2Sc4CdO5_id2115_Final_E-6.75.cif,K2Sc4CdO5_id2115_E-5.79.cif,K2Sc4CdO5,-6.7479,0.0,Metal,P-1
InCO4_id1566_Final_E-6.71.cif,InCO4_id1566_E-6.29.cif,InCO4,-6.7136,3.02,Semiconductor,I4_1/a
Ge2O3_id247_Final_E-6.61.cif,Ge2O3_id247_E-4.81.cif,Ge2O3,-6.6057,0.556,Semiconductor,P2_1/c
NO_id3379_Final_E-6.61.cif,NO_id3379_E-5.97.cif,NO,-6.6051,2.183,Semiconductor,Pbca
Mg5N12_id2310_Final_E-6.60.cif,Mg5N12_id2310_E-5.97.cif,Mg5N12,-6.6024,1.504,Semiconductor,P-42_1c
Ti7GaO6_id1510_Final_E-6.59.cif,Ti7GaO6_id1510_E-6.53.cif,Ti7GaO6,-6.5927,1.491,Semiconductor,P1
Ca2Si2C15_id2917_Final_E-6.57.cif,Ca2Si2C15_id2917_E-6.01.cif,Ca2Si2C15,-6.5678,0.903,Semiconductor,P1
B(P3N2)2_id1631_Final_E-6.55.cif,B(P3N2)2_id1631_E-5.44.cif,B(P3N2)2,-6.5521,0.005,Metal,P1
LiSiO2_id2531_Final_E-6.55.cif,LiSiO2_id2531_E-6.54.cif,LiSiO2,-6.5508,3.878,Insulator,I4_122
MgN2_id2298_Final_E-6.51.cif,MgN2_id2298_E-5.97.cif,MgN2,-6.5083,2.782,Semiconductor,P-6m2
TiB5C14N_id3134_Final_E-6.49.cif,TiB5C14N_id3134_E-4.92.cif,TiB5C14N,-6.4936,0.673,Semiconductor,P2_12_12_1
AlB3PO16_id1635_Final_E-6.48.cif,AlB3PO16_id1635_E-5.01.cif,AlB3PO16,-6.4836,0.569,Semiconductor,P2_1
InN3_id1794_Final_E-6.44.cif,InN3_id1794_E-5.82.cif,InN3,-6.439,0.0,Metal,Cc
Ca3Sc4In4O9_id2823_Final_E-6.43.cif,Ca3Sc4In4O9_id2823_E-5.45.cif,Ca3Sc4In4O9,-6.4281,0.0,Metal,P1
NaLi2TiO4_id1572_Final_E-6.42.cif,NaLi2TiO4_id1572_E-5.73.cif,NaLi2TiO4,-6.4222,2.594,Semiconductor,Pnn2
Si(PO)2_id572_Final_E-6.41.cif,Si(PO)2_id572_E-4.42.cif,Si(PO)2,-6.4135,0.0,Metal,P1
Sc3Se4_id2748_Final_E-6.38.cif,Sc3Se4_id2748_E-6.21.cif,Sc3Se4,-6.3804,0.546,Semiconductor,I-43d
GeO2_id345_Final_E-6.30.cif,GeO2_id345_E-5.44.cif,GeO2,-6.2981,1.04,Semiconductor,P4/nnc
Ca3MgNO3_id893_Final_E-6.24.cif,Ca3MgNO3_id893_E-6.24.cif,Ca3MgNO3,-6.2438,2.222,Semiconductor,Pm-3m
BeC_id763_Final_E-6.18.cif,BeC_id763_E-5.46.cif,BeC,-6.1842,0.57,Semiconductor,Pbca
B2C6N2O_id2082_Final_E-6.15.cif,B2C6N2O_id2082_E-3.62.cif,B2C6N2O,-6.1509,0.006,Metal,P1
Na2N3O2_id3001_Final_E-6.15.cif,Na2N3O2_id3001_E-4.69.cif,Na2N3O2,-6.1498,0.0,Metal,P2/c
Ti2Be2B_id2089_Final_E-6.14.cif,Ti2Be2B_id2089_E-6.11.cif,Ti2Be2B,-6.1396,2.011,Semiconductor,P6_422
Ti11Zn2_id361_Final_E-6.09.cif,Ti11Zn2_id361_E-6.04.cif,Ti11Zn2,-6.0924,0.318,Semiconductor,P1
Sc4GeSe3_id383_Final_E-6.09.cif,Sc4GeSe3_id383_E-4.51.cif,Sc4GeSe3,-6.0888,0.421,Semiconductor,P2_1/c
BeSbCN_id2793_Final_E-6.09.cif,BeSbCN_id2793_E-5.12.cif,BeSbCN,-6.0877,0.373,Semiconductor,Pca2_1
ZnCd(S2N3)4_id2737_Final_E-6.07.cif,ZnCd(S2N3)4_id2737_E-5.81.cif,ZnCd(S2N3)4,-6.0712,0.362,Semiconductor,P-1
Sc3B4_id629_Final_E-6.07.cif,Sc3B4_id629_E-5.79.cif,Sc3B4,-6.0666,0.051,Semiconductor,P4_2/nnm
TiO6_id2542_Final_E-6.05.cif,TiO6_id2542_E-5.51.cif,TiO6,-6.0537,1.695,Semiconductor,P-1
Ba2LiPO5_id3151_Final_E-6.02.cif,Ba2LiPO5_id3151_E-4.48.cif,Ba2LiPO5,-6.0169,1.997,Semiconductor,Cmcm
CaSn2(GeO2)2_id2709_Final_E-6.01.cif,CaSn2(GeO2)2_id2709_E-5.00.cif,CaSn2(GeO2)2,-6.0109,0.905,Semiconductor,P4_2/m
AlNO_id3146_Final_E-6.00.cif,AlNO_id3146_E-5.37.cif,AlNO,-6.0043,2.574,Semiconductor,Pca2_1
GeSbNO2_id2378_Final_E-5.99.cif,GeSbNO2_id2378_E-5.54.cif,GeSbNO2,-5.9914,0.885,Semiconductor,Pca2_1
CaInP2O9_id2574_Final_E-5.98.cif,CaInP2O9_id2574_E-4.42.cif,CaInP2O9,-5.9754,1.662,Semiconductor,P1
SrO_id2868_Final_E-5.97.cif,SrO_id2868_E-5.97.cif,SrO,-5.9724,0.052,Semiconductor,P4_2/mmc
CaGeO4_id1187_Final_E-5.95.cif,CaGeO4_id1187_E-5.84.cif,CaGeO4,-5.9515,0.0,Metal,P4/nbm
TiZnGaO2_id2804_Final_E-5.93.cif,TiZnGaO2_id2804_E-4.67.cif,TiZnGaO2,-5.9331,0.0,Metal,Pmmm
BaInGaO3_id3354_Final_E-5.93.cif,BaInGaO3_id3354_E-5.30.cif,BaInGaO3,-5.9262,1.095,Semiconductor,Pcc2
ZnBO4_id1311_Final_E-5.93.cif,ZnBO4_id1311_E-4.79.cif,ZnBO4,-5.9257,3.094,Semiconductor,Ccc2
Sc3Ga_id2829_Final_E-5.91.cif,Sc3Ga_id2829_E-5.00.cif,Sc3Ga,-5.9055,0.0,Metal,P2_1/m
P3O2_id1169_Final_E-5.90.cif,P3O2_id1169_E-5.54.cif,P3O2,-5.9042,0.0,Metal,P1
Ti6Se4S3_id775_Final_E-5.90.cif,Ti6Se4S3_id775_E-4.57.cif,Ti6Se4S3,-5.8988,0.0,Metal,Pm-3m
N2O5_id2950_Final_E-5.88.cif,N2O5_id2950_E-5.55.cif,N2O5,-5.8807,0.897,Semiconductor,P1
BaCaO4_id1287_Final_E-5.83.cif,BaCaO4_id1287_E-5.61.cif,BaCaO4,-5.8283,2.169,Semiconductor,Pban
Ga(GeO2)2_id1277_Final_E-5.83.cif,Ga(GeO2)2_id1277_E-5.65.cif,Ga(GeO2)2,-5.8283,0.49,Semiconductor,P1
N2O3_id2019_Final_E-5.81.cif,N2O3_id2019_E-5.41.cif,N2O3,-5.8143,0.729,Semiconductor,Pccn
K3Ti2(Ga3O5)2_id311_Final_E-5.81.cif,K3Ti2(Ga3O5)2_id311_E-5.26.cif,K3Ti2(Ga3O5)2,-5.8064,1.892,Semiconductor,P1
Ca2TiSN2_id413_Final_E-5.79.cif,Ca2TiSN2_id413_E-5.37.cif,Ca2TiSN2,-5.7879,1.816,Semiconductor,C2
InGa(SnO2)2_id1764_Final_E-5.76.cif,InGa(SnO2)2_id1764_E-5.44.cif,InGa(SnO2)2,-5.7634,0.0,Metal,Cc
MgAsO2_id1295_Final_E-5.76.cif,MgAsO2_id1295_E-5.72.cif,MgAsO2,-5.7614,0.045,Metal,I4_122
PO3_id393_Final_E-5.75.cif,PO3_id393_E-5.33.cif,PO3,-5.7536,0.257,Semiconductor,P-62m
Ge(B2N)2_id731_Final_E-5.75.cif,Ge(B2N)2_id731_E-3.13.cif,Ge(B2N)2,-5.7529,1.935,Semiconductor,P1
B(AsN)12_id933_Final_E-5.75.cif,B(AsN)12_id933_E-4.69.cif,B(AsN)12,-5.747,2.325,Semiconductor,I432
Ge3PO2_id3118_Final_E-5.68.cif,Ge3PO2_id3118_E-4.97.cif,Ge3PO2,-5.6754,1.155,Semiconductor,Pc
Sc4C15O2_id777_Final_E-5.67.cif,Sc4C15O2_id777_E-4.11.cif,Sc4C15O2,-5.6737,0.0,Metal,Pm
Sc7Ti3Zn2_id2663_Final_E-5.67.cif,Sc7Ti3Zn2_id2663_E-3.98.cif,Sc7Ti3Zn2,-5.6709,0.0,Metal,P-1
Ba4CaO4_id1379_Final_E-5.67.cif,Ba4CaO4_id1379_E-3.67.cif,Ba4CaO4,-5.666,0.0,Metal,P-1
NaGeO2_id1660_Final_E-5.64.cif,NaGeO2_id1660_E-3.82.cif,NaGeO2,-5.639,1.798,Semiconductor,I4_122
NaAl(C3O2)2_id2570_Final_E-5.63.cif,NaAl(C3O2)2_id2570_E-5.09.cif,NaAl(C3O2)2,-5.6272,1.56,Semiconductor,P222
LiGaP2O13_id2782_Final_E-5.62.cif,LiGaP2O13_id2782_E-4.01.cif,LiGaP2O13,-5.6166,1.636,Semiconductor,P1
PNO4_id267_Final_E-5.62.cif,PNO4_id267_E-4.97.cif,PNO4,-5.6158,0.0,Metal,P1
KNa2PO5_id3011_Final_E-5.61.cif,KNa2PO5_id3011_E-3.80.cif,KNa2PO5,-5.6137,4.336,Insulator,P1
Si3(B2P)2_id2161_Final_E-5.61.cif,Si3(B2P)2_id2161_E-4.43.cif,Si3(B2P)2,-5.6136,0.092,Semiconductor,P1
Ti15(Zn2Ga)2_id688_Final_E-5.61.cif,Ti15(Zn2Ga)2_id688_E-2.33.cif,Ti15(Zn2Ga)2,-5.6122,0.0,Metal,P1
BaNO_id3332_Final_E-5.60.cif,BaNO_id3332_E-5.60.cif,BaNO,-5.5963,1.008,Semiconductor,P4_2/mmc
Li3Ca2SbO6_id2582_Final_E-5.59.cif,Li3Ca2SbO6_id2582_E-4.59.cif,Li3Ca2SbO6,-5.5944,3.644,Insulator,Pc
K2(SnO2)3_id2820_Final_E-5.59.cif,K2(SnO2)3_id2820_E-5.18.cif,K2(SnO2)3,-5.5917,0.466,Semiconductor,P6_3/mmc
Sc4Ge3(PSe)3_id2034_Final_E-5.59.cif,Sc4Ge3(PSe)3_id2034_E-5.43.cif,Sc4Ge3(PSe)3,-5.5875,0.0,Metal,P-1
Li2As2N2O_id813_Final_E-5.58.cif,Li2As2N2O_id813_E-4.88.cif,Li2As2N2O,-5.5787,1.795,Semiconductor,P2_1/c
KZn2BO4_id1310_Final_E-5.58.cif,KZn2BO4_id1310_E-4.05.cif,KZn2BO4,-5.5756,2.478,Semiconductor,P1
PO6_id810_Final_E-5.56.cif,PO6_id810_E-5.27.cif,PO6,-5.5623,0.0,Metal,P1
P3NO5_id126_Final_E-5.56.cif,P3NO5_id126_E-5.30.cif,P3NO5,-5.56,1.88,Semiconductor,P1
Sc3SnTe4_id2764_Final_E-5.56.cif,Sc3SnTe4_id2764_E-5.56.cif,Sc3SnTe4,-5.5565,0.503,Semiconductor,Pm-3m
MgO2_id1179_Final_E-5.56.cif,MgO2_id1179_E-4.88.cif,MgO2,-5.5552,2.776,Semiconductor,Pbca
CaO4_id1205_Final_E-5.52.cif,CaO4_id1205_E-4.99.cif,CaO4,-5.5218,4.356,Insulator,P-42_1c
Ba2Ti3S4_id75_Final_E-5.50.cif,Ba2Ti3S4_id75_E-4.98.cif,Ba2Ti3S4,-5.4991,1.354,Semiconductor,I4/mmm
Li2Mg(AsO3)2_id958_Final_E-5.49.cif,Li2Mg(AsO3)2_id958_E-4.96.cif,Li2Mg(AsO3)2,-5.4885,1.761,Semiconductor,P4/mnc
Li7BSb2O11_id283_Final_E-5.49.cif,Li7BSb2O11_id283_E-4.08.cif,Li7BSb2O11,-5.4882,3.352,Semiconductor,P1
CdN2O5_id1701_Final_E-5.48.cif,CdN2O5_id1701_E-5.42.cif,CdN2O5,-5.4787,0.0,Metal,C222_1
ScGa3(AsO2)6_id2885_Final_E-5.47.cif,ScGa3(AsO2)6_id2885_E-5.08.cif,ScGa3(AsO2)6,-5.4747,1.335,Semiconductor,P6_3
SrCaO8_id2761_Final_E-5.47.cif,SrCaO8_id2761_E-5.33.cif,SrCaO8,-5.4731,4.2,Insulator,C2/m
Na2ScO2_id3260_Final_E-5.47.cif,Na2ScO2_id3260_E-4.97.cif,Na2ScO2,-5.4684,0.0,Metal,P6/mmm
MgGaN2_id1828_Final_E-5.43.cif,MgGaN2_id1828_E-5.33.cif,MgGaN2,-5.4283,1.809,Semiconductor,P4/mmm
ScTeS2_id2035_Final_E-5.43.cif,ScTeS2_id2035_E-4.77.cif,ScTeS2,-5.426,0.259,Semiconductor,P1
SiGe6O23_id3247_Final_E-5.42.cif,SiGe6O23_id3247_E-4.73.cif,SiGe6O23,-5.4204,2.32,Semiconductor,P1
MgSc3O18_id1067_Final_E-5.40.cif,MgSc3O18_id1067_E-5.31.cif,MgSc3O18,-5.4015,1.533,Semiconductor,P1
Sr2CSO_id1998_Final_E-5.40.cif,Sr2CSO_id1998_E-3.87.cif,Sr2CSO,-5.4009,2.004,Semiconductor,P1
KIn(TeO3)4_id2069_Final_E-5.38.cif,KIn(TeO3)4_id2069_E-3.06.cif,KIn(TeO3)4,-5.3815,2.432,Semiconductor,P-1
KScTiO_id2924_Final_E-5.37.cif,KScTiO_id2924_E-5.00.cif,KScTiO,-5.3654,0.0,Metal,P-1
Ba4LiIn3O6_id1476_Final_E-5.36.cif,Ba4LiIn3O6_id1476_E-5.36.cif,Ba4LiIn3O6,-5.3621,0.351,Semiconductor,Im-3m
LiSbCO_id2603_Final_E-5.36.cif,LiSbCO_id2603_E-4.60.cif,LiSbCO,-5.362,0.0,Metal,C2/m
Ti(InS2)2_id3364_Final_E-5.36.cif,Ti(InS2)2_id3364_E-5.30.cif,Ti(InS2)2,-5.3595,0.308,Semiconductor,Pban
B2As2S3_id2138_Final_E-5.35.cif,B2As2S3_id2138_E-4.90.cif,B2As2S3,-5.3497,1.712,Semiconductor,P4_2mc
Si6O19_id262_Final_E-5.33.cif,Si6O19_id262_E-4.62.cif,Si6O19,-5.3287,0.0,Metal,P-1
NaIn(SO4)3_id1773_Final_E-5.33.cif,NaIn(SO4)3_id1773_E-4.32.cif,NaIn(SO4)3,-5.3286,0.708,Semiconductor,P1
MgN6O11_id581_Final_E-5.32.cif,MgN6O11_id581_E-4.40.cif,MgN6O11,-5.3224,0.0,Metal,P1
TiO2_id269_Final_E-5.30.cif,TiO2_id269_E-3.56.cif,TiO2,-5.302,2.201,Semiconductor,Pm
Mg2Ti2CO2_id474_Final_E-5.30.cif,Mg2Ti2CO2_id474_E-4.60.cif,Mg2Ti2CO2,-5.3015,1.645,Semiconductor,P1
MgN_id873_Final_E-5.30.cif,MgN_id873_E-4.90.cif,MgN,-5.3014,0.313,Semiconductor,Cm
GaO_id1406_Final_E-5.25.cif,GaO_id1406_E-5.24.cif,GaO,-5.2507,1.81,Semiconductor,P4_2/ncm
ScSiO19_id990_Final_E-5.23.cif,ScSiO19_id990_E-4.07.cif,ScSiO19,-5.2318,2.276,Semiconductor,P1
ScAlSb_id1210_Final_E-5.22.cif,ScAlSb_id1210_E-5.07.cif,ScAlSb,-5.2246,0.0,Metal,P4/nmm
CaZn5(GaO2)6_id1896_Final_E-5.22.cif,CaZn5(GaO2)6_id1896_E-3.81.cif,CaZn5(GaO2)6,-5.2238,1.057,Semiconductor,P1
KAlZn2O6_id2493_Final_E-5.21.cif,KAlZn2O6_id2493_E-3.31.cif,KAlZn2O6,-5.2096,2.665,Semiconductor,P1
BaN20_id2964_Final_E-5.21.cif,BaN20_id2964_E-4.31.cif,BaN20,-5.206,1.782,Semiconductor,Pm
ScTiO18_id3079_Final_E-5.20.cif,ScTiO18_id3079_E-4.84.cif,ScTiO18,-5.1952,0.14,Semiconductor,P1
BaLi4O8_id1616_Final_E-5.19.cif,BaLi4O8_id1616_E-4.18.cif,BaLi4O8,-5.1889,3.197,Semiconductor,P-1
TiBO2_id2277_Final_E-5.19.cif,TiBO2_id2277_E-2.56.cif,TiBO2,-5.1875,3.596,Insulator,P1
K(AsO)2_id3386_Final_E-5.16.cif,K(AsO)2_id3386_E-5.07.cif,K(AsO)2,-5.1634,1.005,Semiconductor,P4/mnc
Be4Si2B4S3_id1373_Final_E-5.16.cif,Be4Si2B4S3_id1373_E-4.99.cif,Be4Si2B4S3,-5.1615,4.17,Insulator,Pccn
NaSn5(GeO2)2_id2614_Final_E-5.16.cif,NaSn5(GeO2)2_id2614_E-5.12.cif,NaSn5(GeO2)2,-5.1566,0.082,Semiconductor,P-4m2
K3As4(NO2)3_id1493_Final_E-5.14.cif,K3As4(NO2)3_id1493_E-4.06.cif,K3As4(NO2)3,-5.1415,0.0,Metal,P1
LiSO_id1782_Final_E-5.14.cif,LiSO_id1782_E-4.49.cif,LiSO,-5.1351,1.871,Semiconductor,P1
MgInO6_id843_Final_E-5.10.cif,MgInO6_id843_E-4.97.cif,MgInO6,-5.1049,1.87,Semiconductor,P-31c
K4Te13O24_id448_Final_E-5.10.cif,K4Te13O24_id448_E-4.19.cif,K4Te13O24,-5.1042,0.951,Semiconductor,Pn-3n
KLiPO14_id1475_Final_E-5.10.cif,KLiPO14_id1475_E-4.31.cif,KLiPO14,-5.1025,0.0,Metal,P1
LiAsO6_id3323_Final_E-5.10.cif,LiAsO6_id3323_E-4.99.cif,LiAsO6,-5.0989,3.379,Semiconductor,P6_322
Sr3Ca3N4_id2093_Final_E-5.10.cif,Sr3Ca3N4_id2093_E-4.07.cif,Sr3Ca3N4,-5.096,0.094,Semiconductor,P1
KCaO8_id3371_Final_E-5.10.cif,KCaO8_id3371_E-5.01.cif,KCaO8,-5.0953,0.218,Semiconductor,P4/nbm
CO20_id919_Final_E-5.08.cif,CO20_id919_E-4.79.cif,CO20,-5.0795,0.0,Metal,Pc
Ca4C7N3_id2002_Final_E-5.08.cif,Ca4C7N3_id2002_E-4.21.cif,Ca4C7N3,-5.0756,0.429,Semiconductor,P1
Ba3Li2AsO15_id2711_Final_E-5.07.cif,Ba3Li2AsO15_id2711_E-4.56.cif,Ba3Li2AsO15,-5.0651,2.704,Semiconductor,P1
MgSbO4_id2184_Final_E-5.06.cif,MgSbO4_id2184_E-5.04.cif,MgSbO4,-5.062,0.92,Semiconductor,Cmmm
NaAs(SO)4_id242_Final_E-5.06.cif,NaAs(SO)4_id242_E-4.60.cif,NaAs(SO)4,-5.0609,2.628,Semiconductor,P-1
BeAl2(SN)2_id1608_Final_E-5.05.cif,BeAl2(SN)2_id1608_E-4.72.cif,BeAl2(SN)2,-5.0493,1.89,Semiconductor,P1
Li3ZnBO9_id2644_Final_E-5.04.cif,Li3ZnBO9_id2644_E-4.55.cif,Li3ZnBO9,-5.0428,2.042,Semiconductor,Pc
Ca(SeO)3_id50_Final_E-5.04.cif,Ca(SeO)3_id50_E-5.00.cif,Ca(SeO)3,-5.0399,2.548,Semiconductor,P6_3
PS_id1223_Final_E-5.01.cif,PS_id1223_E-4.49.cif,PS,-5.0144,2.125,Semiconductor,P2_1/c
LiAlTe5O4_id350_Final_E-5.01.cif,LiAlTe5O4_id350_E-3.67.cif,LiAlTe5O4,-5.0086,1.091,Semiconductor,P2
MgTiGeAs2_id2803_Final_E-5.00.cif,MgTiGeAs2_id2803_E-4.94.cif,MgTiGeAs2,-4.9982,0.64,Semiconductor,Pmmm
Be(NO4)2_id2775_Final_E-5.00.cif,Be(NO4)2_id2775_E-4.28.cif,Be(NO4)2,-4.9963,1.814,Semiconductor,P1
SiSb(AsP8)2_id863_Final_E-4.99.cif,SiSb(AsP8)2_id863_E-4.65.cif,SiSb(AsP8)2,-4.9876,0.314,Semiconductor,P1
SbO11_id1039_Final_E-4.99.cif,SbO11_id1039_E-4.33.cif,SbO11,-4.9851,0.557,Semiconductor,P2
SrZnO4_id1917_Final_E-4.98.cif,SrZnO4_id1917_E-4.84.cif,SrZnO4,-4.9845,0.369,Semiconductor,P2_12_12
Li2Sc2SnSe6_id2354_Final_E-4.97.cif,Li2Sc2SnSe6_id2354_E-4.22.cif,Li2Sc2SnSe6,-4.9719,0.911,Semiconductor,C2/c
KP2O_id425_Final_E-4.97.cif,KP2O_id425_E-4.28.cif,KP2O,-4.967,2.544,Semiconductor,P-1
BaCdO6_id3208_Final_E-4.94.cif,BaCdO6_id3208_E-4.69.cif,BaCdO6,-4.9435,0.0,Metal,P6_322
NaLi2MgO4_id1590_Final_E-4.94.cif,NaLi2MgO4_id1590_E-4.89.cif,NaLi2MgO4,-4.9402,3.694,Insulator,Pccm
Te4AsO4_id2525_Final_E-4.93.cif,Te4AsO4_id2525_E-4.70.cif,Te4AsO4,-4.9342,1.891,Semiconductor,I4_1/a
LiO2_id1950_Final_E-4.93.cif,LiO2_id1950_E-4.45.cif,LiO2,-4.9338,0.301,Semiconductor,P2_1/c
BaZn2SnO18_id875_Final_E-4.93.cif,BaZn2SnO18_id875_E-4.49.cif,BaZn2SnO18,-4.9331,0.789,Semiconductor,P-3
SbAs3_id917_Final_E-4.93.cif,SbAs3_id917_E-4.84.cif,SbAs3,-4.9252,0.273,Semiconductor,P1
CaO6_id2759_Final_E-4.92.cif,CaO6_id2759_E-4.86.cif,CaO6,-4.9182,4.186,Insulator,P1
Na2CaO8_id442_Final_E-4.90.cif,Na2CaO8_id442_E-4.43.cif,Na2CaO8,-4.9029,0.0,Metal,C2/c
BaO7_id2175_Final_E-4.90.cif,BaO7_id2175_E-4.69.cif,BaO7,-4.8972,0.017,Metal,P6_322
GaO4_id1353_Final_E-4.89.cif,GaO4_id1353_E-4.60.cif,GaO4,-4.889,0.336,Semiconductor,P-1
LiMg(SO)2_id898_Final_E-4.88.cif,LiMg(SO)2_id898_E-4.62.cif,LiMg(SO)2,-4.8811,2.891,Semiconductor,C222_1
SrSi10_id25_Final_E-4.88.cif,SrSi10_id25_E-4.73.cif,SrSi10,-4.878,2.801,Semiconductor,P-1
Li2O2_id2344_Final_E-4.87.cif,Li2O2_id2344_E-4.35.cif,Li2O2,-4.8662,2.279,Semiconductor,Pna2_1
As4SO10_id1003_Final_E-4.86.cif,As4SO10_id1003_E-4.85.cif,As4SO10,-4.8642,0.991,Semiconductor,P1
BeBO2_id1673_Final_E-4.86.cif,BeBO2_id1673_E-4.86.cif,BeBO2,-4.8563,2.47,Semiconductor,P6_222
K2SbO5_id1613_Final_E-4.85.cif,K2SbO5_id1613_E-3.78.cif,K2SbO5,-4.8486,0.47,Semiconductor,P1
Li4O11_id204_Final_E-4.84.cif,Li4O11_id204_E-4.52.cif,Li4O11,-4.84,0.16,Semiconductor,P1
Sc3N5O13_id2262_Final_E-4.84.cif,Sc3N5O13_id2262_E-4.82.cif,Sc3N5O13,-4.8396,0.014,Metal,P1
KMgS2O3_id583_Final_E-4.83.cif,KMgS2O3_id583_E-3.61.cif,KMgS2O3,-4.8345,0.625,Semiconductor,P1
Ca4ScTiO_id915_Final_E-4.82.cif,Ca4ScTiO_id915_E-3.78.cif,Ca4ScTiO,-4.8204,0.835,Semiconductor,P1
LiO7_id1710_Final_E-4.82.cif,LiO7_id1710_E-3.50.cif,LiO7,-4.8202,0.0,Metal,P1
