file_name,formula,energy,bandgap,Application_Class,space_group,type
GeSbNO2_id2378_Final_E-5.99.cif,GeSbNO2,-5.9914,0.885,IR / Narrow-Gap,Pca2_1,Semiconductor
CaInP2O9_id2574_Final_E-5.98.cif,CaInP2O9,-5.9754,1.662,Solar / Visible,P1,Semiconductor
SrO_id2868_Final_E-5.97.cif,SrO,-5.9724,0.052,IR / Narrow-Gap,P4_2/mmc,Semiconductor
BaInGaO3_id3354_Final_E-5.93.cif,BaInGaO3,-5.9262,1.095,Solar / Visible,Pcc2,Semiconductor
ZnBO4_id1311_Final_E-5.93.cif,ZnBO4,-5.9257,3.094,Wide-Gap Power/LED,Ccc2,Semiconductor
N2O5_id2950_Final_E-5.88.cif,N2O5,-5.8807,0.897,IR / Narrow-Gap,P1,Semiconductor
BaCaO4_id1287_Final_E-5.83.cif,BaCaO4,-5.8283,2.169,Wide-Gap Power/LED,Pban,Semiconductor
Ga(GeO2)2_id1277_Final_E-5.83.cif,Ga(GeO2)2,-5.8283,0.49,IR / Narrow-Gap,P1,Semiconductor
N2O3_id2019_Final_E-5.81.cif,N2O3,-5.8143,0.729,IR / Narrow-Gap,Pccn,Semiconductor
K3Ti2(Ga3O5)2_id311_Final_E-5.81.cif,K3Ti2(Ga3O5)2,-5.8064,1.892,Solar / Visible,P1,Semiconductor
Ca2TiSN2_id413_Final_E-5.79.cif,Ca2TiSN2,-5.7879,1.816,Solar / Visible,C2,Semiconductor
PO3_id393_Final_E-5.75.cif,PO3,-5.7536,0.257,IR / Narrow-Gap,P-62m,Semiconductor
Ge(B2N)2_id731_Final_E-5.75.cif,Ge(B2N)2,-5.7529,1.935,Solar / Visible,P1,Semiconductor
B(AsN)12_id933_Final_E-5.75.cif,B(AsN)12,-5.747,2.325,Wide-Gap Power/LED,I432,Semiconductor
Ge3PO2_id3118_Final_E-5.68.cif,Ge3PO2,-5.6754,1.155,Solar / Visible,Pc,Semiconductor
NaGeO2_id1660_Final_E-5.64.cif,NaGeO2,-5.639,1.798,Solar / Visible,I4_122,Semiconductor
NaAl(C3O2)2_id2570_Final_E-5.63.cif,NaAl(C3O2)2,-5.6272,1.56,Solar / Visible,P222,Semiconductor
LiGaP2O13_id2782_Final_E-5.62.cif,LiGaP2O13,-5.6166,1.636,Solar / Visible,P1,Semiconductor
Si3(B2P)2_id2161_Final_E-5.61.cif,Si3(B2P)2,-5.6136,0.092,IR / Narrow-Gap,P1,Semiconductor
BaNO_id3332_Final_E-5.60.cif,BaNO,-5.5963,1.008,Solar / Visible,P4_2/mmc,Semiconductor
K2(SnO2)3_id2820_Final_E-5.59.cif,K2(SnO2)3,-5.5917,0.466,IR / Narrow-Gap,P6_3/mmc,Semiconductor
Li2As2N2O_id813_Final_E-5.58.cif,Li2As2N2O,-5.5787,1.795,Solar / Visible,P2_1/c,Semiconductor
KZn2BO4_id1310_Final_E-5.58.cif,KZn2BO4,-5.5756,2.478,Wide-Gap Power/LED,P1,Semiconductor
P3NO5_id126_Final_E-5.56.cif,P3NO5,-5.56,1.88,Solar / Visible,P1,Semiconductor
Sc3SnTe4_id2764_Final_E-5.56.cif,Sc3SnTe4,-5.5565,0.503,IR / Narrow-Gap,Pm-3m,Semiconductor
MgO2_id1179_Final_E-5.56.cif,MgO2,-5.5552,2.776,Wide-Gap Power/LED,Pbca,Semiconductor
Ba2Ti3S4_id75_Final_E-5.50.cif,Ba2Ti3S4,-5.4991,1.354,Solar / Visible,I4/mmm,Semiconductor
Li2Mg(AsO3)2_id958_Final_E-5.49.cif,Li2Mg(AsO3)2,-5.4885,1.761,Solar / Visible,P4/mnc,Semiconductor
Li7BSb2O11_id283_Final_E-5.49.cif,Li7BSb2O11,-5.4882,3.352,Wide-Gap Power/LED,P1,Semiconductor
ScGa3(AsO2)6_id2885_Final_E-5.47.cif,ScGa3(AsO2)6,-5.4747,1.335,Solar / Visible,P6_3,Semiconductor
MgGaN2_id1828_Final_E-5.43.cif,MgGaN2,-5.4283,1.809,Solar / Visible,P4/mmm,Semiconductor
ScTeS2_id2035_Final_E-5.43.cif,ScTeS2,-5.426,0.259,IR / Narrow-Gap,P1,Semiconductor
SiGe6O23_id3247_Final_E-5.42.cif,SiGe6O23,-5.4204,2.32,Wide-Gap Power/LED,P1,Semiconductor
MgSc3O18_id1067_Final_E-5.40.cif,MgSc3O18,-5.4015,1.533,Solar / Visible,P1,Semiconductor
Sr2CSO_id1998_Final_E-5.40.cif,Sr2CSO,-5.4009,2.004,Wide-Gap Power/LED,P1,Semiconductor
KIn(TeO3)4_id2069_Final_E-5.38.cif,KIn(TeO3)4,-5.3815,2.432,Wide-Gap Power/LED,P-1,Semiconductor
Ba4LiIn3O6_id1476_Final_E-5.36.cif,Ba4LiIn3O6,-5.3621,0.351,IR / Narrow-Gap,Im-3m,Semiconductor
Ti(InS2)2_id3364_Final_E-5.36.cif,Ti(InS2)2,-5.3595,0.308,IR / Narrow-Gap,Pban,Semiconductor
B2As2S3_id2138_Final_E-5.35.cif,B2As2S3,-5.3497,1.712,Solar / Visible,P4_2mc,Semiconductor
NaIn(SO4)3_id1773_Final_E-5.33.cif,NaIn(SO4)3,-5.3286,0.708,IR / Narrow-Gap,P1,Semiconductor
TiO2_id269_Final_E-5.30.cif,TiO2,-5.302,2.201,Wide-Gap Power/LED,Pm,Semiconductor
Mg2Ti2CO2_id474_Final_E-5.30.cif,Mg2Ti2CO2,-5.3015,1.645,Solar / Visible,P1,Semiconductor
MgN_id873_Final_E-5.30.cif,MgN,-5.3014,0.313,IR / Narrow-Gap,Cm,Semiconductor
GaO_id1406_Final_E-5.25.cif,GaO,-5.2507,1.81,Solar / Visible,P4_2/ncm,Semiconductor
ScSiO19_id990_Final_E-5.23.cif,ScSiO19,-5.2318,2.276,Wide-Gap Power/LED,P1,Semiconductor
CaZn5(GaO2)6_id1896_Final_E-5.22.cif,CaZn5(GaO2)6,-5.2238,1.057,Solar / Visible,P1,Semiconductor
KAlZn2O6_id2493_Final_E-5.21.cif,KAlZn2O6,-5.2096,2.665,Wide-Gap Power/LED,P1,Semiconductor
BaN20_id2964_Final_E-5.21.cif,BaN20,-5.206,1.782,Solar / Visible,Pm,Semiconductor
ScTiO18_id3079_Final_E-5.20.cif,ScTiO18,-5.1952,0.14,IR / Narrow-Gap,P1,Semiconductor
BaLi4O8_id1616_Final_E-5.19.cif,BaLi4O8,-5.1889,3.197,Wide-Gap Power/LED,P-1,Semiconductor
K(AsO)2_id3386_Final_E-5.16.cif,K(AsO)2,-5.1634,1.005,Solar / Visible,P4/mnc,Semiconductor
NaSn5(GeO2)2_id2614_Final_E-5.16.cif,NaSn5(GeO2)2,-5.1566,0.082,IR / Narrow-Gap,P-4m2,Semiconductor
LiSO_id1782_Final_E-5.14.cif,LiSO,-5.1351,1.871,Solar / Visible,P1,Semiconductor
MgInO6_id843_Final_E-5.10.cif,MgInO6,-5.1049,1.87,Solar / Visible,P-31c,Semiconductor
K4Te13O24_id448_Final_E-5.10.cif,K4Te13O24,-5.1042,0.951,IR / Narrow-Gap,Pn-3n,Semiconductor
LiAsO6_id3323_Final_E-5.10.cif,LiAsO6,-5.0989,3.379,Wide-Gap Power/LED,P6_322,Semiconductor
Sr3Ca3N4_id2093_Final_E-5.10.cif,Sr3Ca3N4,-5.096,0.094,IR / Narrow-Gap,P1,Semiconductor
KCaO8_id3371_Final_E-5.10.cif,KCaO8,-5.0953,0.218,IR / Narrow-Gap,P4/nbm,Semiconductor
Ca4C7N3_id2002_Final_E-5.08.cif,Ca4C7N3,-5.0756,0.429,IR / Narrow-Gap,P1,Semiconductor
Ba3Li2AsO15_id2711_Final_E-5.07.cif,Ba3Li2AsO15,-5.0651,2.704,Wide-Gap Power/LED,P1,Semiconductor
MgSbO4_id2184_Final_E-5.06.cif,MgSbO4,-5.062,0.92,IR / Narrow-Gap,Cmmm,Semiconductor
NaAs(SO)4_id242_Final_E-5.06.cif,NaAs(SO)4,-5.0609,2.628,Wide-Gap Power/LED,P-1,Semiconductor
BeAl2(SN)2_id1608_Final_E-5.05.cif,BeAl2(SN)2,-5.0493,1.89,Solar / Visible,P1,Semiconductor
Li3ZnBO9_id2644_Final_E-5.04.cif,Li3ZnBO9,-5.0428,2.042,Wide-Gap Power/LED,Pc,Semiconductor
Ca(SeO)3_id50_Final_E-5.04.cif,Ca(SeO)3,-5.0399,2.548,Wide-Gap Power/LED,P6_3,Semiconductor
PS_id1223_Final_E-5.01.cif,PS,-5.0144,2.125,Wide-Gap Power/LED,P2_1/c,Semiconductor
LiAlTe5O4_id350_Final_E-5.01.cif,LiAlTe5O4,-5.0086,1.091,Solar / Visible,P2,Semiconductor
MgTiGeAs2_id2803_Final_E-5.00.cif,MgTiGeAs2,-4.9982,0.64,IR / Narrow-Gap,Pmmm,Semiconductor
Be(NO4)2_id2775_Final_E-5.00.cif,Be(NO4)2,-4.9963,1.814,Solar / Visible,P1,Semiconductor
SiSb(AsP8)2_id863_Final_E-4.99.cif,SiSb(AsP8)2,-4.9876,0.314,IR / Narrow-Gap,P1,Semiconductor
SbO11_id1039_Final_E-4.99.cif,SbO11,-4.9851,0.557,IR / Narrow-Gap,P2,Semiconductor
SrZnO4_id1917_Final_E-4.98.cif,SrZnO4,-4.9845,0.369,IR / Narrow-Gap,P2_12_12,Semiconductor
Li2Sc2SnSe6_id2354_Final_E-4.97.cif,Li2Sc2SnSe6,-4.9719,0.911,IR / Narrow-Gap,C2/c,Semiconductor
KP2O_id425_Final_E-4.97.cif,KP2O,-4.967,2.544,Wide-Gap Power/LED,P-1,Semiconductor
Te4AsO4_id2525_Final_E-4.93.cif,Te4AsO4,-4.9342,1.891,Solar / Visible,I4_1/a,Semiconductor
LiO2_id1950_Final_E-4.93.cif,LiO2,-4.9338,0.301,IR / Narrow-Gap,P2_1/c,Semiconductor
BaZn2SnO18_id875_Final_E-4.93.cif,BaZn2SnO18,-4.9331,0.789,IR / Narrow-Gap,P-3,Semiconductor
SbAs3_id917_Final_E-4.93.cif,SbAs3,-4.9252,0.273,IR / Narrow-Gap,P1,Semiconductor
GaO4_id1353_Final_E-4.89.cif,GaO4,-4.889,0.336,IR / Narrow-Gap,P-1,Semiconductor
LiMg(SO)2_id898_Final_E-4.88.cif,LiMg(SO)2,-4.8811,2.891,Wide-Gap Power/LED,C222_1,Semiconductor
SrSi10_id25_Final_E-4.88.cif,SrSi10,-4.878,2.801,Wide-Gap Power/LED,P-1,Semiconductor
Li2O2_id2344_Final_E-4.87.cif,Li2O2,-4.8662,2.279,Wide-Gap Power/LED,Pna2_1,Semiconductor
As4SO10_id1003_Final_E-4.86.cif,As4SO10,-4.8642,0.991,IR / Narrow-Gap,P1,Semiconductor
BeBO2_id1673_Final_E-4.86.cif,BeBO2,-4.8563,2.47,Wide-Gap Power/LED,P6_222,Semiconductor
K2SbO5_id1613_Final_E-4.85.cif,K2SbO5,-4.8486,0.47,IR / Narrow-Gap,P1,Semiconductor
Li4O11_id204_Final_E-4.84.cif,Li4O11,-4.84,0.16,IR / Narrow-Gap,P1,Semiconductor
KMgS2O3_id583_Final_E-4.83.cif,KMgS2O3,-4.8345,0.625,IR / Narrow-Gap,P1,Semiconductor
Ca4ScTiO_id915_Final_E-4.82.cif,Ca4ScTiO,-4.8204,0.835,IR / Narrow-Gap,P1,Semiconductor
As2P4NO7_id42_Final_E-4.82.cif,As2P4NO7,-4.8166,1.208,Solar / Visible,P1,Semiconductor
SeSO2_id711_Final_E-4.82.cif,SeSO2,-4.8162,2.55,Wide-Gap Power/LED,P4_2/mmc,Semiconductor
KB3_id1483_Final_E-4.81.cif,KB3,-4.8148,1.265,Solar / Visible,P6/mmm,Semiconductor
KC14_id1243_Final_E-4.81.cif,KC14,-4.8131,0.448,IR / Narrow-Gap,P1,Semiconductor
BP2_id1000_Final_E-4.81.cif,BP2,-4.8084,1.102,Solar / Visible,F-43m,Semiconductor
NO19_id255_Final_E-4.81.cif,NO19,-4.8063,1.202,Solar / Visible,P2/c,Semiconductor
BP12_id3366_Final_E-4.80.cif,BP12,-4.7996,0.089,IR / Narrow-Gap,I432,Semiconductor
AlSi3_id2624_Final_E-4.79.cif,AlSi3,-4.7923,2.459,Wide-Gap Power/LED,P2/c,Semiconductor
BeSiGeP2_id2114_Final_E-4.79.cif,BeSiGeP2,-4.7909,1.013,Solar / Visible,P2_12_12_1,Semiconductor
BaLiGeO3_id2409_Final_E-4.78.cif,BaLiGeO3,-4.7824,1.573,Solar / Visible,P-6m2,Semiconductor
NaO8_id3327_Final_E-4.76.cif,NaO8,-4.7602,2.837,Wide-Gap Power/LED,Pba2,Semiconductor
Ba2S2N2O17_id2672_Final_E-4.75.cif,Ba2S2N2O17,-4.7547,1.897,Solar / Visible,P1,Semiconductor
KNaO19_id503_Final_E-4.75.cif,KNaO19,-4.7507,3.379,Wide-Gap Power/LED,P1,Semiconductor
SeO_id2320_Final_E-4.75.cif,SeO,-4.7489,1.427,Solar / Visible,Pbca,Semiconductor
NaCdSO5_id2438_Final_E-4.75.cif,NaCdSO5,-4.7478,2.42,Wide-Gap Power/LED,P1,Semiconductor
BaAs6_id1686_Final_E-4.75.cif,BaAs6,-4.7462,1.186,Solar / Visible,P1,Semiconductor
BaSeO4_id2687_Final_E-4.74.cif,BaSeO4,-4.7384,2.853,Wide-Gap Power/LED,Pnnn,Semiconductor
BaSc4O29_id683_Final_E-4.73.cif,BaSc4O29,-4.7332,1.645,Solar / Visible,P1,Semiconductor
Na4Cd(GaO2)3_id2472_Final_E-4.71.cif,Na4Cd(GaO2)3,-4.7053,0.847,IR / Narrow-Gap,Im-3m,Semiconductor
KBaO32_id1430_Final_E-4.70.cif,KBaO32,-4.6968,0.59,IR / Narrow-Gap,P-3,Semiconductor
KInO8_id2210_Final_E-4.70.cif,KInO8,-4.6964,1.678,Solar / Visible,P1,Semiconductor
LiP2SeO17_id1141_Final_E-4.69.cif,LiP2SeO17,-4.6901,0.189,IR / Narrow-Gap,P2_1,Semiconductor
BaAs5O8_id2600_Final_E-4.68.cif,BaAs5O8,-4.6836,1.16,Solar / Visible,P1,Semiconductor
Zn2SnO9_id1384_Final_E-4.68.cif,Zn2SnO9,-4.6792,0.445,IR / Narrow-Gap,P1,Semiconductor
Ba3SbSe3_id2434_Final_E-4.68.cif,Ba3SbSe3,-4.6778,1.272,Solar / Visible,P1,Semiconductor
Ge(AsS2)2_id730_Final_E-4.67.cif,Ge(AsS2)2,-4.6702,1.421,Solar / Visible,I-42d,Semiconductor
K(SeO2)2_id381_Final_E-4.67.cif,K(SeO2)2,-4.6693,1.375,Solar / Visible,I4_1/a,Semiconductor
AsS_id785_Final_E-4.67.cif,AsS,-4.6663,2.098,Wide-Gap Power/LED,Pca2_1,Semiconductor
MgCdO4_id1817_Final_E-4.66.cif,MgCdO4,-4.6588,1.288,Solar / Visible,P-4m2,Semiconductor
As(P3S7)2_id548_Final_E-4.65.cif,As(P3S7)2,-4.6543,1.798,Solar / Visible,Pc,Semiconductor
MgN_id364_Final_E-4.65.cif,MgN,-4.6489,1.243,Solar / Visible,P-1,Semiconductor
LiTi2(GaO5)2_id2181_Final_E-4.64.cif,LiTi2(GaO5)2,-4.6438,2.339,Wide-Gap Power/LED,C222_1,Semiconductor
KNaGeO3_id1266_Final_E-4.64.cif,KNaGeO3,-4.6386,2.008,Wide-Gap Power/LED,P2_1,Semiconductor
ZnO_id2693_Final_E-4.63.cif,ZnO,-4.6331,0.639,IR / Narrow-Gap,Pccn,Semiconductor
Sn(GeS)2_id2983_Final_E-4.62.cif,Sn(GeS)2,-4.6232,0.548,IR / Narrow-Gap,P1,Semiconductor
SbS4_id3149_Final_E-4.62.cif,SbS4,-4.6198,3.39,Wide-Gap Power/LED,I4_1/a,Semiconductor
C(SO9)2_id435_Final_E-4.61.cif,C(SO9)2,-4.6148,2.376,Wide-Gap Power/LED,Pm,Semiconductor
KO2_id1861_Final_E-4.61.cif,KO2,-4.6072,0.783,IR / Narrow-Gap,P2_1/c,Semiconductor
SiS2_id2849_Final_E-4.60.cif,SiS2,-4.6041,0.084,IR / Narrow-Gap,I4_1/amd,Semiconductor
Ti2Be3Al2B_id2512_Final_E-4.60.cif,Ti2Be3Al2B,-4.6021,0.276,IR / Narrow-Gap,P1,Semiconductor
As4P_id1772_Final_E-4.58.cif,As4P,-4.5785,0.374,IR / Narrow-Gap,I4_1/a,Semiconductor
PS6_id2853_Final_E-4.58.cif,PS6,-4.5778,1.481,Solar / Visible,P1,Semiconductor
CN3_id3265_Final_E-4.57.cif,CN3,-4.5709,0.135,IR / Narrow-Gap,Fm-3m,Semiconductor
GeS2_id817_Final_E-4.56.cif,GeS2,-4.5637,0.797,IR / Narrow-Gap,P3_221,Semiconductor
Ba3O11_id3119_Final_E-4.56.cif,Ba3O11,-4.5627,1.974,Solar / Visible,P1,Semiconductor
NaO2_id408_Final_E-4.55.cif,NaO2,-4.551,2.006,Wide-Gap Power/LED,Pbca,Semiconductor
Sn2SbS4_id2610_Final_E-4.55.cif,Sn2SbS4,-4.5479,0.299,IR / Narrow-Gap,Fdd2,Semiconductor
Li7B(AsO2)2_id1838_Final_E-4.54.cif,Li7B(AsO2)2,-4.5435,3.04,Wide-Gap Power/LED,P2_12_12,Semiconductor
Zn5GaO21_id1330_Final_E-4.54.cif,Zn5GaO21,-4.5393,1.425,Solar / Visible,I4,Semiconductor
NaPN2_id3352_Final_E-4.53.cif,NaPN2,-4.5303,1.893,Solar / Visible,I4_122,Semiconductor
LiZnO2_id1251_Final_E-4.52.cif,LiZnO2,-4.5244,0.968,IR / Narrow-Gap,Cmc2_1,Semiconductor
ScSiO19_id923_Final_E-4.52.cif,ScSiO19,-4.523,0.591,IR / Narrow-Gap,P1,Semiconductor
BaCdSO7_id2109_Final_E-4.50.cif,BaCdSO7,-4.4974,2.361,Wide-Gap Power/LED,Pm,Semiconductor
MgSiPSe_id1396_Final_E-4.48.cif,MgSiPSe,-4.4759,1.236,Solar / Visible,Pca2_1,Semiconductor
BaP_id316_Final_E-4.47.cif,BaP,-4.4747,0.676,IR / Narrow-Gap,P6_3/mmc,Semiconductor
LiSeS3O2_id326_Final_E-4.47.cif,LiSeS3O2,-4.4712,2.23,Wide-Gap Power/LED,P1,Semiconductor
CaSiO5_id1863_Final_E-4.47.cif,CaSiO5,-4.4709,1.419,Solar / Visible,Pm,Semiconductor
Ba2Sc4SnTe5_id1466_Final_E-4.47.cif,Ba2Sc4SnTe5,-4.4665,1.582,Solar / Visible,P2/m,Semiconductor
AsPSe2_id1874_Final_E-4.45.cif,AsPSe2,-4.4496,1.322,Solar / Visible,P1,Semiconductor
SeS3O_id2536_Final_E-4.44.cif,SeS3O,-4.4395,1.529,Solar / Visible,P6_4,Semiconductor
Li3Ca2O2_id2_Final_E-4.44.cif,Li3Ca2O2,-4.4359,1.179,Solar / Visible,P1,Semiconductor
K2BaS8_id1103_Final_E-4.43.cif,K2BaS8,-4.4279,0.897,IR / Narrow-Gap,P1,Semiconductor
InSe(N2O5)2_id3075_Final_E-4.42.cif,InSe(N2O5)2,-4.4201,0.669,IR / Narrow-Gap,Pm,Semiconductor
ZnO2_id2152_Final_E-4.41.cif,ZnO2,-4.4146,1.523,Solar / Visible,Pbca,Semiconductor
S4O_id2372_Final_E-4.41.cif,S4O,-4.4134,1.475,Solar / Visible,Pc,Semiconductor
SiS9_id28_Final_E-4.40.cif,SiS9,-4.3998,1.321,Solar / Visible,P2,Semiconductor
Ca2Mg2InO18_id1257_Final_E-4.40.cif,Ca2Mg2InO18,-4.3993,1.881,Solar / Visible,P1,Semiconductor
LiGe6(AsO2)2_id540_Final_E-4.40.cif,LiGe6(AsO2)2,-4.3964,1.322,Solar / Visible,P3_121,Semiconductor
NaZn2GaO4_id2281_Final_E-4.39.cif,NaZn2GaO4,-4.3899,3.05,Wide-Gap Power/LED,P4/mmm,Semiconductor
Sb4As7PS6_id972_Final_E-4.39.cif,Sb4As7PS6,-4.3853,3.084,Wide-Gap Power/LED,Ima2,Semiconductor
Li3ScSb3S4_id1992_Final_E-4.38.cif,Li3ScSb3S4,-4.3785,0.221,IR / Narrow-Gap,Pm-3n,Semiconductor
ZnO2_id2989_Final_E-4.36.cif,ZnO2,-4.36,1.255,Solar / Visible,Fm-3m,Semiconductor
MgZnGa2S13_id1157_Final_E-4.36.cif,MgZnGa2S13,-4.3592,3.375,Wide-Gap Power/LED,P1,Semiconductor
AlSi_id1487_Final_E-4.36.cif,AlSi,-4.3586,0.639,IR / Narrow-Gap,Pbca,Semiconductor
AlAs2_id478_Final_E-4.36.cif,AlAs2,-4.358,0.144,IR / Narrow-Gap,I4_1cd,Semiconductor
Li2Be2Si5P_id3065_Final_E-4.35.cif,Li2Be2Si5P,-4.3547,2.802,Wide-Gap Power/LED,P1,Semiconductor
As2Se_id3038_Final_E-4.32.cif,As2Se,-4.3222,1.016,Solar / Visible,Pbcn,Semiconductor
LiAs4(Se2S)2_id3237_Final_E-4.32.cif,LiAs4(Se2S)2,-4.319,0.243,IR / Narrow-Gap,I4/m,Semiconductor
BaP_id1447_Final_E-4.32.cif,BaP,-4.3155,0.857,IR / Narrow-Gap,P1,Semiconductor
Na(PSe2)2_id1955_Final_E-4.31.cif,Na(PSe2)2,-4.3138,0.963,IR / Narrow-Gap,P-42m,Semiconductor
Ba2Li(SnSe)2_id871_Final_E-4.31.cif,Ba2Li(SnSe)2,-4.3113,0.691,IR / Narrow-Gap,P-42_1m,Semiconductor
SeS4O_id2233_Final_E-4.31.cif,SeS4O,-4.3051,1.481,Solar / Visible,Pm,Semiconductor
Ca2In2PS7_id340_Final_E-4.29.cif,Ca2In2PS7,-4.2888,1.937,Solar / Visible,Pm,Semiconductor
