file_name,formula,energy,bandgap,Application_Class,Origin_Campaign,type,space_group_symbol,space_group_number,num_atoms
TiB5C14N_id3134_Final_E-6.49.cif,TiB5C14N,-6.4936,0.673,IR / Narrow-Gap,SOLAR,Semiconductor,P2_12_12_1,19,84
AlB3PO16_id1635_Final_E-6.48.cif,AlB3PO16,-6.4836,0.569,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1,4,42
NaLi2TiO4_id1572_Final_E-6.42.cif,NaLi2TiO4,-6.4222,2.594,Wide-Gap Power/LED,SOLAR,Semiconductor,Pnn2,34,16
Sc3Se4_id2748_Final_E-6.38.cif,Sc3Se4,-6.3804,0.546,IR / Narrow-Gap,SOLAR,Semiconductor,I-43d,220,28
GeO2_id345_Final_E-6.30.cif,GeO2,-6.2981,1.04,Solar / Visible,SOLAR,Semiconductor,P4/nnc,126,24
Ca3MgNO3_id893_Final_E-6.24.cif,Ca3MgNO3,-6.2438,2.222,Wide-Gap Power/LED,SOLAR,Semiconductor,Pm-3m,221,8
BeC_id763_Final_E-6.18.cif,BeC,-6.1842,0.57,IR / Narrow-Gap,SOLAR,Semiconductor,Pbca,61,16
Ti2Be2B_id2089_Final_E-6.14.cif,Ti2Be2B,-6.1396,2.011,Wide-Gap Power/LED,SOLAR,Semiconductor,P6_422,181,15
Ti11Zn2_id361_Final_E-6.09.cif,Ti11Zn2,-6.0924,0.318,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,26
Sc4GeSe3_id383_Final_E-6.09.cif,Sc4GeSe3,-6.0888,0.421,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1/c,14,16
BeSbCN_id2793_Final_E-6.09.cif,BeSbCN,-6.0877,0.373,IR / Narrow-Gap,SOLAR,Semiconductor,Pca2_1,29,16
ZnCd(S2N3)4_id2737_Final_E-6.07.cif,ZnCd(S2N3)4,-6.0712,0.362,IR / Narrow-Gap,SOLAR,Semiconductor,P-1,2,66
Sc3B4_id629_Final_E-6.07.cif,Sc3B4,-6.0666,0.051,IR / Narrow-Gap,SOLAR,Semiconductor,P4_2/nnm,134,28
TiO6_id2542_Final_E-6.05.cif,TiO6,-6.0537,1.695,Solar / Visible,SOLAR,Semiconductor,P-1,2,7
Ba2LiPO5_id3151_Final_E-6.02.cif,Ba2LiPO5,-6.0169,1.997,Solar / Visible,SOLAR,Semiconductor,Cmcm,63,36
CaSn2(GeO2)2_id2709_Final_E-6.01.cif,CaSn2(GeO2)2,-6.0109,0.905,IR / Narrow-Gap,SOLAR,Semiconductor,P4_2/m,84,18
AlNO_id3146_Final_E-6.00.cif,AlNO,-6.0043,2.574,Wide-Gap Power/LED,SOLAR,Semiconductor,Pca2_1,29,12
GeSbNO2_id2378_Final_E-5.99.cif,GeSbNO2,-5.9914,0.885,IR / Narrow-Gap,SOLAR,Semiconductor,Pca2_1,29,20
CaInP2O9_id2574_Final_E-5.98.cif,CaInP2O9,-5.9754,1.662,Solar / Visible,SOLAR,Semiconductor,P1,1,52
SrO_id2868_Final_E-5.97.cif,SrO,-5.9724,0.052,IR / Narrow-Gap,SOLAR,Semiconductor,P4_2/mmc,131,4
BaInGaO3_id3354_Final_E-5.93.cif,BaInGaO3,-5.9262,1.095,Solar / Visible,SOLAR,Semiconductor,Pcc2,27,24
ZnBO4_id1311_Final_E-5.93.cif,ZnBO4,-5.9257,3.094,Wide-Gap Power/LED,SOLAR,Semiconductor,Ccc2,37,24
N2O5_id2950_Final_E-5.88.cif,N2O5,-5.8807,0.897,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,56
BaCaO4_id1287_Final_E-5.83.cif,BaCaO4,-5.8283,2.169,Wide-Gap Power/LED,SOLAR,Semiconductor,Pban,50,12
Ga(GeO2)2_id1277_Final_E-5.83.cif,Ga(GeO2)2,-5.8283,0.49,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,28
N2O3_id2019_Final_E-5.81.cif,N2O3,-5.8143,0.729,IR / Narrow-Gap,SOLAR,Semiconductor,Pccn,56,20
K3Ti2(Ga3O5)2_id311_Final_E-5.81.cif,K3Ti2(Ga3O5)2,-5.8064,1.892,Solar / Visible,SOLAR,Semiconductor,P1,1,63
Ca2TiSN2_id413_Final_E-5.79.cif,Ca2TiSN2,-5.7879,1.816,Solar / Visible,SOLAR,Semiconductor,C2,5,24
PO3_id393_Final_E-5.75.cif,PO3,-5.7536,0.257,IR / Narrow-Gap,SOLAR,Semiconductor,P-62m,189,12
Ge(B2N)2_id731_Final_E-5.75.cif,Ge(B2N)2,-5.7529,1.935,Solar / Visible,SOLAR,Semiconductor,P1,1,14
B(AsN)12_id933_Final_E-5.75.cif,B(AsN)12,-5.747,2.325,Wide-Gap Power/LED,SOLAR,Semiconductor,I432,211,50
Ge3PO2_id3118_Final_E-5.68.cif,Ge3PO2,-5.6754,1.155,Solar / Visible,SOLAR,Semiconductor,Pc,7,12
NaGeO2_id1660_Final_E-5.64.cif,NaGeO2,-5.639,1.798,Solar / Visible,SOLAR,Semiconductor,I4_122,98,16
NaAl(C3O2)2_id2570_Final_E-5.63.cif,NaAl(C3O2)2,-5.6272,1.56,Solar / Visible,SOLAR,Semiconductor,P222,16,24
LiGaP2O13_id2782_Final_E-5.62.cif,LiGaP2O13,-5.6166,1.636,Solar / Visible,SOLAR,Semiconductor,P1,1,34
Si3(B2P)2_id2161_Final_E-5.61.cif,Si3(B2P)2,-5.6136,0.092,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,18
BaNO_id3332_Final_E-5.60.cif,BaNO,-5.5963,1.008,Solar / Visible,SOLAR,Semiconductor,P4_2/mmc,131,6
K2(SnO2)3_id2820_Final_E-5.59.cif,K2(SnO2)3,-5.5917,0.466,IR / Narrow-Gap,SOLAR,Semiconductor,P6_3/mmc,194,22
Li2As2N2O_id813_Final_E-5.58.cif,Li2As2N2O,-5.5787,1.795,Solar / Visible,SOLAR,Semiconductor,P2_1/c,14,28
KZn2BO4_id1310_Final_E-5.58.cif,KZn2BO4,-5.5756,2.478,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,24
P3NO5_id126_Final_E-5.56.cif,P3NO5,-5.56,1.88,Solar / Visible,SOLAR,Semiconductor,P1,1,36
Sc3SnTe4_id2764_Final_E-5.56.cif,Sc3SnTe4,-5.5565,0.503,IR / Narrow-Gap,SOLAR,Semiconductor,Pm-3m,221,8
MgO2_id1179_Final_E-5.56.cif,MgO2,-5.5552,2.776,Wide-Gap Power/LED,SOLAR,Semiconductor,Pbca,61,12
Ba2Ti3S4_id75_Final_E-5.50.cif,Ba2Ti3S4,-5.4991,1.354,Solar / Visible,SOLAR,Semiconductor,I4/mmm,139,36
Li2Mg(AsO3)2_id958_Final_E-5.49.cif,Li2Mg(AsO3)2,-5.4885,1.761,Solar / Visible,SOLAR,Semiconductor,P4/mnc,128,44
Li7BSb2O11_id283_Final_E-5.49.cif,Li7BSb2O11,-5.4882,3.352,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,84
ScGa3(AsO2)6_id2885_Final_E-5.47.cif,ScGa3(AsO2)6,-5.4747,1.335,Solar / Visible,SOLAR,Semiconductor,P6_3,173,44
MgGaN2_id1828_Final_E-5.43.cif,MgGaN2,-5.4283,1.809,Solar / Visible,SOLAR,Semiconductor,P4/mmm,123,8
ScTeS2_id2035_Final_E-5.43.cif,ScTeS2,-5.426,0.259,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,4
SiGe6O23_id3247_Final_E-5.42.cif,SiGe6O23,-5.4204,2.32,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,30
MgSc3O18_id1067_Final_E-5.40.cif,MgSc3O18,-5.4015,1.533,Solar / Visible,SOLAR,Semiconductor,P1,1,44
Sr2CSO_id1998_Final_E-5.40.cif,Sr2CSO,-5.4009,2.004,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,5
KIn(TeO3)4_id2069_Final_E-5.38.cif,KIn(TeO3)4,-5.3815,2.432,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,36
Ba4LiIn3O6_id1476_Final_E-5.36.cif,Ba4LiIn3O6,-5.3621,0.351,IR / Narrow-Gap,SOLAR,Semiconductor,Im-3m,229,28
Ti(InS2)2_id3364_Final_E-5.36.cif,Ti(InS2)2,-5.3595,0.308,IR / Narrow-Gap,SOLAR,Semiconductor,Pban,50,14
B2As2S3_id2138_Final_E-5.35.cif,B2As2S3,-5.3497,1.712,Solar / Visible,SOLAR,Semiconductor,P4_2mc,105,14
NaIn(SO4)3_id1773_Final_E-5.33.cif,NaIn(SO4)3,-5.3286,0.708,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,34
TiO2_id269_Final_E-5.30.cif,TiO2,-5.302,2.201,Wide-Gap Power/LED,SOLAR,Semiconductor,Pm,6,12
Mg2Ti2CO2_id474_Final_E-5.30.cif,Mg2Ti2CO2,-5.3015,1.645,Solar / Visible,SOLAR,Semiconductor,P1,1,28
MgN_id873_Final_E-5.30.cif,MgN,-5.3014,0.313,IR / Narrow-Gap,SOLAR,Semiconductor,Cm,8,8
GaO_id1406_Final_E-5.25.cif,GaO,-5.2507,1.81,Solar / Visible,SOLAR,Semiconductor,P4_2/ncm,138,8
ScSiO19_id990_Final_E-5.23.cif,ScSiO19,-5.2318,2.276,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,42
CaZn5(GaO2)6_id1896_Final_E-5.22.cif,CaZn5(GaO2)6,-5.2238,1.057,Solar / Visible,SOLAR,Semiconductor,P1,1,24
KAlZn2O6_id2493_Final_E-5.21.cif,KAlZn2O6,-5.2096,2.665,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,10
BaN20_id2964_Final_E-5.21.cif,BaN20,-5.206,1.782,Solar / Visible,SOLAR,Semiconductor,Pm,6,84
ScTiO18_id3079_Final_E-5.20.cif,ScTiO18,-5.1952,0.14,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,40
BaLi4O8_id1616_Final_E-5.19.cif,BaLi4O8,-5.1889,3.197,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,26
K(AsO)2_id3386_Final_E-5.16.cif,K(AsO)2,-5.1634,1.005,Solar / Visible,SOLAR,Semiconductor,P4/mnc,128,20
NaSn5(GeO2)2_id2614_Final_E-5.16.cif,NaSn5(GeO2)2,-5.1566,0.082,IR / Narrow-Gap,SOLAR,Semiconductor,P-4m2,115,12
LiSO_id1782_Final_E-5.14.cif,LiSO,-5.1351,1.871,Solar / Visible,SOLAR,Semiconductor,P1,1,12
MgInO6_id843_Final_E-5.10.cif,MgInO6,-5.1049,1.87,Solar / Visible,SOLAR,Semiconductor,P-31c,163,16
K4Te13O24_id448_Final_E-5.10.cif,K4Te13O24,-5.1042,0.951,IR / Narrow-Gap,SOLAR,Semiconductor,Pn-3n,222,82
LiAsO6_id3323_Final_E-5.10.cif,LiAsO6,-5.0989,3.379,Wide-Gap Power/LED,SOLAR,Semiconductor,P6_322,182,16
Sr3Ca3N4_id2093_Final_E-5.10.cif,Sr3Ca3N4,-5.096,0.094,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,40
KCaO8_id3371_Final_E-5.10.cif,KCaO8,-5.0953,0.218,IR / Narrow-Gap,SOLAR,Semiconductor,P4/nbm,125,20
Ca4C7N3_id2002_Final_E-5.08.cif,Ca4C7N3,-5.0756,0.429,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,42
Ba3Li2AsO15_id2711_Final_E-5.07.cif,Ba3Li2AsO15,-5.0651,2.704,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,21
MgSbO4_id2184_Final_E-5.06.cif,MgSbO4,-5.062,0.92,IR / Narrow-Gap,SOLAR,Semiconductor,Cmmm,65,12
NaAs(SO)4_id242_Final_E-5.06.cif,NaAs(SO)4,-5.0609,2.628,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,20
BeAl2(SN)2_id1608_Final_E-5.05.cif,BeAl2(SN)2,-5.0493,1.89,Solar / Visible,SOLAR,Semiconductor,P1,1,28
Li3ZnBO9_id2644_Final_E-5.04.cif,Li3ZnBO9,-5.0428,2.042,Wide-Gap Power/LED,SOLAR,Semiconductor,Pc,7,56
Ca(SeO)3_id50_Final_E-5.04.cif,Ca(SeO)3,-5.0399,2.548,Wide-Gap Power/LED,SOLAR,Semiconductor,P6_3,173,14
PS_id1223_Final_E-5.01.cif,PS,-5.0144,2.125,Wide-Gap Power/LED,SOLAR,Semiconductor,P2_1/c,14,16
LiAlTe5O4_id350_Final_E-5.01.cif,LiAlTe5O4,-5.0086,1.091,Solar / Visible,SOLAR,Semiconductor,P2,3,11
MgTiGeAs2_id2803_Final_E-5.00.cif,MgTiGeAs2,-4.9982,0.64,IR / Narrow-Gap,SOLAR,Semiconductor,Pmmm,47,10
Be(NO4)2_id2775_Final_E-5.00.cif,Be(NO4)2,-4.9963,1.814,Solar / Visible,SOLAR,Semiconductor,P1,1,44
SiSb(AsP8)2_id863_Final_E-4.99.cif,SiSb(AsP8)2,-4.9876,0.314,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,20
SbO11_id1039_Final_E-4.99.cif,SbO11,-4.9851,0.557,IR / Narrow-Gap,SOLAR,Semiconductor,P2,3,24
SrZnO4_id1917_Final_E-4.98.cif,SrZnO4,-4.9845,0.369,IR / Narrow-Gap,SOLAR,Semiconductor,P2_12_12,18,12
Li2Sc2SnSe6_id2354_Final_E-4.97.cif,Li2Sc2SnSe6,-4.9719,0.911,IR / Narrow-Gap,SOLAR,Semiconductor,C2/c,15,44
KP2O_id425_Final_E-4.97.cif,KP2O,-4.967,2.544,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,16
Te4AsO4_id2525_Final_E-4.93.cif,Te4AsO4,-4.9342,1.891,Solar / Visible,SOLAR,Semiconductor,I4_1/a,88,36
LiO2_id1950_Final_E-4.93.cif,LiO2,-4.9338,0.301,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1/c,14,12
BaZn2SnO18_id875_Final_E-4.93.cif,BaZn2SnO18,-4.9331,0.789,IR / Narrow-Gap,SOLAR,Semiconductor,P-3,147,22
SbAs3_id917_Final_E-4.93.cif,SbAs3,-4.9252,0.273,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,32
GaO4_id1353_Final_E-4.89.cif,GaO4,-4.889,0.336,IR / Narrow-Gap,SOLAR,Semiconductor,P-1,2,10
LiMg(SO)2_id898_Final_E-4.88.cif,LiMg(SO)2,-4.8811,2.891,Wide-Gap Power/LED,SOLAR,Semiconductor,C222_1,20,24
SrSi10_id25_Final_E-4.88.cif,SrSi10,-4.878,2.801,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,44
Li2O2_id2344_Final_E-4.87.cif,Li2O2,-4.8662,2.279,Wide-Gap Power/LED,SOLAR,Semiconductor,Pna2_1,33,8
As4SO10_id1003_Final_E-4.86.cif,As4SO10,-4.8642,0.991,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,120
BeBO2_id1673_Final_E-4.86.cif,BeBO2,-4.8563,2.47,Wide-Gap Power/LED,SOLAR,Semiconductor,P6_222,180,12
K2SbO5_id1613_Final_E-4.85.cif,K2SbO5,-4.8486,0.47,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,8
Li4O11_id204_Final_E-4.84.cif,Li4O11,-4.84,0.16,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,15
KMgS2O3_id583_Final_E-4.83.cif,KMgS2O3,-4.8345,0.625,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,21
Ca4ScTiO_id915_Final_E-4.82.cif,Ca4ScTiO,-4.8204,0.835,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,21
As2P4NO7_id42_Final_E-4.82.cif,As2P4NO7,-4.8166,1.208,Solar / Visible,SOLAR,Semiconductor,P1,1,56
SeSO2_id711_Final_E-4.82.cif,SeSO2,-4.8162,2.55,Wide-Gap Power/LED,SOLAR,Semiconductor,P4_2/mmc,131,16
KB3_id1483_Final_E-4.81.cif,KB3,-4.8148,1.265,Solar / Visible,SOLAR,Semiconductor,P6/mmm,191,4
KC14_id1243_Final_E-4.81.cif,KC14,-4.8131,0.448,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,15
BP2_id1000_Final_E-4.81.cif,BP2,-4.8084,1.102,Solar / Visible,SOLAR,Semiconductor,F-43m,216,12
NO19_id255_Final_E-4.81.cif,NO19,-4.8063,1.202,Solar / Visible,SOLAR,Semiconductor,P2/c,13,80
BP12_id3366_Final_E-4.80.cif,BP12,-4.7996,0.089,IR / Narrow-Gap,SOLAR,Semiconductor,I432,211,26
AlSi3_id2624_Final_E-4.79.cif,AlSi3,-4.7923,2.459,Wide-Gap Power/LED,SOLAR,Semiconductor,P2/c,13,32
BeSiGeP2_id2114_Final_E-4.79.cif,BeSiGeP2,-4.7909,1.013,Solar / Visible,SOLAR,Semiconductor,P2_12_12_1,19,20
BaLiGeO3_id2409_Final_E-4.78.cif,BaLiGeO3,-4.7824,1.573,Solar / Visible,SOLAR,Semiconductor,P-6m2,187,6
NaO8_id3327_Final_E-4.76.cif,NaO8,-4.7602,2.837,Wide-Gap Power/LED,SOLAR,Semiconductor,Pba2,32,36
Ba2S2N2O17_id2672_Final_E-4.75.cif,Ba2S2N2O17,-4.7547,1.897,Solar / Visible,SOLAR,Semiconductor,P1,1,46
KNaO19_id503_Final_E-4.75.cif,KNaO19,-4.7507,3.379,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,21
SeO_id2320_Final_E-4.75.cif,SeO,-4.7489,1.427,Solar / Visible,SOLAR,Semiconductor,Pbca,61,16
NaCdSO5_id2438_Final_E-4.75.cif,NaCdSO5,-4.7478,2.42,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,16
BaAs6_id1686_Final_E-4.75.cif,BaAs6,-4.7462,1.186,Solar / Visible,SOLAR,Semiconductor,P1,1,28
BaSeO4_id2687_Final_E-4.74.cif,BaSeO4,-4.7384,2.853,Wide-Gap Power/LED,SOLAR,Semiconductor,Pnnn,48,24
BaSc4O29_id683_Final_E-4.73.cif,BaSc4O29,-4.7332,1.645,Solar / Visible,SOLAR,Semiconductor,P1,1,68
Na4Cd(GaO2)3_id2472_Final_E-4.71.cif,Na4Cd(GaO2)3,-4.7053,0.847,IR / Narrow-Gap,SOLAR,Semiconductor,Im-3m,229,28
KBaO32_id1430_Final_E-4.70.cif,KBaO32,-4.6968,0.59,IR / Narrow-Gap,SOLAR,Semiconductor,P-3,147,34
KInO8_id2210_Final_E-4.70.cif,KInO8,-4.6964,1.678,Solar / Visible,SOLAR,Semiconductor,P1,1,40
LiP2SeO17_id1141_Final_E-4.69.cif,LiP2SeO17,-4.6901,0.189,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1,4,42
BaAs5O8_id2600_Final_E-4.68.cif,BaAs5O8,-4.6836,1.16,Solar / Visible,SOLAR,Semiconductor,P1,1,28
Zn2SnO9_id1384_Final_E-4.68.cif,Zn2SnO9,-4.6792,0.445,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,24
Ba3SbSe3_id2434_Final_E-4.68.cif,Ba3SbSe3,-4.6778,1.272,Solar / Visible,SOLAR,Semiconductor,P1,1,42
Ge(AsS2)2_id730_Final_E-4.67.cif,Ge(AsS2)2,-4.6702,1.421,Solar / Visible,SOLAR,Semiconductor,I-42d,122,28
K(SeO2)2_id381_Final_E-4.67.cif,K(SeO2)2,-4.6693,1.375,Solar / Visible,SOLAR,Semiconductor,I4_1/a,88,28
AsS_id785_Final_E-4.67.cif,AsS,-4.6663,2.098,Wide-Gap Power/LED,SOLAR,Semiconductor,Pca2_1,29,8
MgCdO4_id1817_Final_E-4.66.cif,MgCdO4,-4.6588,1.288,Solar / Visible,SOLAR,Semiconductor,P-4m2,115,12
As(P3S7)2_id548_Final_E-4.65.cif,As(P3S7)2,-4.6543,1.798,Solar / Visible,SOLAR,Semiconductor,Pc,7,42
MgN_id364_Final_E-4.65.cif,MgN,-4.6489,1.243,Solar / Visible,SOLAR,Semiconductor,P-1,2,128
LiTi2(GaO5)2_id2181_Final_E-4.64.cif,LiTi2(GaO5)2,-4.6438,2.339,Wide-Gap Power/LED,SOLAR,Semiconductor,C222_1,20,60
KNaGeO3_id1266_Final_E-4.64.cif,KNaGeO3,-4.6386,2.008,Wide-Gap Power/LED,SOLAR,Semiconductor,P2_1,4,12
ZnO_id2693_Final_E-4.63.cif,ZnO,-4.6331,0.639,IR / Narrow-Gap,SOLAR,Semiconductor,Pccn,56,8
Sn(GeS)2_id2983_Final_E-4.62.cif,Sn(GeS)2,-4.6232,0.548,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,20
SbS4_id3149_Final_E-4.62.cif,SbS4,-4.6198,3.39,Wide-Gap Power/LED,SOLAR,Semiconductor,I4_1/a,88,20
C(SO9)2_id435_Final_E-4.61.cif,C(SO9)2,-4.6148,2.376,Wide-Gap Power/LED,SOLAR,Semiconductor,Pm,6,42
KO2_id1861_Final_E-4.61.cif,KO2,-4.6072,0.783,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1/c,14,12
SiS2_id2849_Final_E-4.60.cif,SiS2,-4.6041,0.084,IR / Narrow-Gap,SOLAR,Semiconductor,I4_1/amd,141,12
Ti2Be3Al2B_id2512_Final_E-4.60.cif,Ti2Be3Al2B,-4.6021,0.276,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,24
As4P_id1772_Final_E-4.58.cif,As4P,-4.5785,0.374,IR / Narrow-Gap,SOLAR,Semiconductor,I4_1/a,88,20
PS6_id2853_Final_E-4.58.cif,PS6,-4.5778,1.481,Solar / Visible,SOLAR,Semiconductor,P1,1,7
CN3_id3265_Final_E-4.57.cif,CN3,-4.5709,0.135,IR / Narrow-Gap,SOLAR,Semiconductor,Fm-3m,225,16
GeS2_id817_Final_E-4.56.cif,GeS2,-4.5637,0.797,IR / Narrow-Gap,SOLAR,Semiconductor,P3_221,154,9
Ba3O11_id3119_Final_E-4.56.cif,Ba3O11,-4.5627,1.974,Solar / Visible,SOLAR,Semiconductor,P1,1,14
NaO2_id408_Final_E-4.55.cif,NaO2,-4.551,2.006,Wide-Gap Power/LED,SOLAR,Semiconductor,Pbca,61,24
Sn2SbS4_id2610_Final_E-4.55.cif,Sn2SbS4,-4.5479,0.299,IR / Narrow-Gap,SOLAR,Semiconductor,Fdd2,43,28
Li7B(AsO2)2_id1838_Final_E-4.54.cif,Li7B(AsO2)2,-4.5435,3.04,Wide-Gap Power/LED,SOLAR,Semiconductor,P2_12_12,18,28
Zn5GaO21_id1330_Final_E-4.54.cif,Zn5GaO21,-4.5393,1.425,Solar / Visible,SOLAR,Semiconductor,I4,79,54
NaPN2_id3352_Final_E-4.53.cif,NaPN2,-4.5303,1.893,Solar / Visible,SOLAR,Semiconductor,I4_122,98,16
LiZnO2_id1251_Final_E-4.52.cif,LiZnO2,-4.5244,0.968,IR / Narrow-Gap,SOLAR,Semiconductor,Cmc2_1,36,32
ScSiO19_id923_Final_E-4.52.cif,ScSiO19,-4.523,0.591,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,42
BaCdSO7_id2109_Final_E-4.50.cif,BaCdSO7,-4.4974,2.361,Wide-Gap Power/LED,SOLAR,Semiconductor,Pm,6,20
