file_name,formula,energy,bandgap,Application_Class,type,space_group_symbol,space_group_number,num_atoms
Sc3AlGa3N8_id2978_Final_E-7.42.cif,Sc3AlGa3N8,-7.4236,0.261,IR / Narrow-Gap,Semiconductor,P-1,2,15
Ti3O10_id3682_Final_E-7.31.cif,Ti3O10,-7.3148,0.384,IR / Narrow-Gap,Semiconductor,P31c,159,26
C2SeO4_id305_Final_E-7.31.cif,C2SeO4,-7.3054,0.301,IR / Narrow-Gap,Semiconductor,P1,1,14
Ca2Si2C17S2(N2O)2_id3958_Final_E-7.26.cif,Ca2Si2C17S2(N2O)2,-7.2574,0.374,IR / Narrow-Gap,Semiconductor,P2/c,13,58
Sc5O4_id403_Final_E-7.22.cif,Sc5O4,-7.2176,0.498,IR / Narrow-Gap,Semiconductor,P4_2/n,86,18
Sc5C2_id345_Final_E-7.19.cif,Sc5C2,-7.1901,0.716,IR / Narrow-Gap,Semiconductor,P4_22_12,94,28
Si4O11_id565_Final_E-7.14.cif,Si4O11,-7.1371,1.767,Solar / Visible,Semiconductor,Pba2,32,30
Sc2P_id1371_Final_E-7.07.cif,Sc2P,-7.0686,0.784,IR / Narrow-Gap,Semiconductor,Pa-3,205,12
BaLiCa8B12(NO2)6_id3556_Final_E-7.06.cif,BaLiCa8B12(NO2)6,-7.0552,0.185,IR / Narrow-Gap,Semiconductor,P321,150,40
BN24_id2321_Final_E-7.05.cif,BN24,-7.0525,1.682,Solar / Visible,Semiconductor,I432,211,50
Ca2Ti(NO)2_id624_Final_E-7.03.cif,Ca2Ti(NO)2,-7.0295,1.22,Solar / Visible,Semiconductor,Cmce,64,28
KTi4Te3O4_id4010_Final_E-7.02.cif,KTi4Te3O4,-7.0183,0.724,IR / Narrow-Gap,Semiconductor,C2/c,15,48
KSc3N7_id4195_Final_E-7.01.cif,KSc3N7,-7.0102,0.482,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Be2AsN8_id2490_Final_E-6.99.cif,Be2AsN8,-6.9933,1.52,Solar / Visible,Semiconductor,Immm,71,22
K2Ti3O6_id1770_Final_E-6.95.cif,K2Ti3O6,-6.9458,1.096,Solar / Visible,Semiconductor,P-1,2,44
AsPCNO2_id3195_Final_E-6.90.cif,AsPCNO2,-6.9009,1.414,Solar / Visible,Semiconductor,C222_1,20,48
MgTi3O5_id3516_Final_E-6.87.cif,MgTi3O5,-6.8726,1.578,Solar / Visible,Semiconductor,C2/c,15,36
InN4_id1482_Final_E-6.87.cif,InN4,-6.865,0.226,IR / Narrow-Gap,Semiconductor,Ccce,68,20
SrBN2_id1247_Final_E-6.86.cif,SrBN2,-6.862,2.941,Wide-Gap Power/LED,Semiconductor,P6_222,180,12
Al2SnB2O5_id1937_Final_E-6.82.cif,Al2SnB2O5,-6.8202,2.035,Solar / Visible,Semiconductor,P2_1/c,14,40
Li2Be(N3O)2_id2105_Final_E-6.78.cif,Li2Be(N3O)2,-6.7806,2.58,Wide-Gap Power/LED,Semiconductor,P2_1/c,14,44
TiSeSN_id3126_Final_E-6.77.cif,TiSeSN,-6.7704,1.26,Solar / Visible,Semiconductor,P1,1,24
AlTeN4_id1380_Final_E-6.75.cif,AlTeN4,-6.7482,2.546,Wide-Gap Power/LED,Semiconductor,Pccn,56,24
BaPN2_id736_Final_E-6.74.cif,BaPN2,-6.741,1.415,Solar / Visible,Semiconductor,I4_122,98,16
Sr2TiPO2_id3092_Final_E-6.69.cif,Sr2TiPO2,-6.6909,1.169,Solar / Visible,Semiconductor,P3_221,154,18
Ca4N9_id166_Final_E-6.67.cif,Ca4N9,-6.6718,1.479,Solar / Visible,Semiconductor,I4/m,87,26
GaSiO2_id4361_Final_E-6.64.cif,GaSiO2,-6.6415,1.578,Solar / Visible,Semiconductor,I4_122,98,16
As2SeN4_id4118_Final_E-6.63.cif,As2SeN4,-6.6311,1.528,Solar / Visible,Semiconductor,P2_1/c,14,28
Ba(NO)6_id2724_Final_E-6.60.cif,Ba(NO)6,-6.6048,0.875,IR / Narrow-Gap,Semiconductor,P1,1,13
ScGa3O4_id1667_Final_E-6.60.cif,ScGa3O4,-6.6022,1.84,Solar / Visible,Semiconductor,P-6,174,8
ScZnO3_id310_Final_E-6.60.cif,ScZnO3,-6.5998,2.625,Wide-Gap Power/LED,Semiconductor,Cmcm,63,20
BaBN2_id2382_Final_E-6.59.cif,BaBN2,-6.5868,2.379,Wide-Gap Power/LED,Semiconductor,P6_222,180,12
BaGe3O8_id2290_Final_E-6.59.cif,BaGe3O8,-6.5867,2.499,Wide-Gap Power/LED,Semiconductor,C2,5,24
NaTiO4_id817_Final_E-6.55.cif,NaTiO4,-6.5458,0.47,IR / Narrow-Gap,Semiconductor,I-42m,121,24
SrCS2(NO)2_id342_Final_E-6.53.cif,SrCS2(NO)2,-6.5266,2.449,Wide-Gap Power/LED,Semiconductor,Cmc2_1,36,48
BPCS3NO2_id1616_Final_E-6.49.cif,BPCS3NO2,-6.4889,3.093,Wide-Gap Power/LED,Semiconductor,P2/c,13,36
TiCdO4_id3902_Final_E-6.42.cif,TiCdO4,-6.4228,0.81,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
MgTi2CdGaO6_id1852_Final_E-6.38.cif,MgTi2CdGaO6,-6.3788,1.19,Solar / Visible,Semiconductor,P1,1,33
Ca2TiO6_id401_Final_E-6.38.cif,Ca2TiO6,-6.376,2.588,Wide-Gap Power/LED,Semiconductor,Cmce,64,36
Sc5N2O_id1302_Final_E-6.37.cif,Sc5N2O,-6.3731,0.537,IR / Narrow-Gap,Semiconductor,Pn-3m,224,16
TiP6N_id1868_Final_E-6.33.cif,TiP6N,-6.3298,0.382,IR / Narrow-Gap,Semiconductor,P1,1,48
LiGa(BO4)2_id4917_Final_E-6.32.cif,LiGa(BO4)2,-6.3213,3.007,Wide-Gap Power/LED,Semiconductor,P-42_1c,114,24
GeO_id913_Final_E-6.31.cif,GeO,-6.3102,1.735,Solar / Visible,Semiconductor,Pbca,61,16
MgTiO6_id3948_Final_E-6.28.cif,MgTiO6,-6.2813,2.638,Wide-Gap Power/LED,Semiconductor,P-31c,163,16
Li12C43_id1088_Final_E-6.27.cif,Li12C43,-6.2745,1.034,Solar / Visible,Semiconductor,P1,1,55
S(NO2)2_id4335_Final_E-6.25.cif,S(NO2)2,-6.2534,2.102,Solar / Visible,Semiconductor,P1,1,56
Zn(CO4)2_id2287_Final_E-6.25.cif,Zn(CO4)2,-6.2526,1.184,Solar / Visible,Semiconductor,P-42_1m,113,22
ScBeGa2SnPO9_id883_Final_E-6.23.cif,ScBeGa2SnPO9,-6.227,1.408,Solar / Visible,Semiconductor,Cc,9,60
B(PO)12_id763_Final_E-6.22.cif,B(PO)12,-6.225,2.035,Solar / Visible,Semiconductor,I432,211,50
Li3TiNO8_id3246_Final_E-6.22.cif,Li3TiNO8,-6.224,2.488,Wide-Gap Power/LED,Semiconductor,P1,1,52
KAl6Zn(BO12)2_id215_Final_E-6.20.cif,KAl6Zn(BO12)2,-6.1998,2.976,Wide-Gap Power/LED,Semiconductor,P321,150,34
P3S2N4O11_id4333_Final_E-6.19.cif,P3S2N4O11,-6.1949,0.154,IR / Narrow-Gap,Semiconductor,P1,1,40
Ca2N3_id3640_Final_E-6.18.cif,Ca2N3,-6.178,0.703,IR / Narrow-Gap,Semiconductor,P1,1,30
Ge3N3O_id1218_Final_E-6.16.cif,Ge3N3O,-6.1569,0.801,IR / Narrow-Gap,Semiconductor,P6_3mc,186,14
SrCa2O4_id2386_Final_E-6.16.cif,SrCa2O4,-6.1554,0.073,IR / Narrow-Gap,Semiconductor,P-1,2,14
K(PN)4_id3335_Final_E-6.15.cif,K(PN)4,-6.1529,0.294,IR / Narrow-Gap,Semiconductor,Fmmm,69,36
ScCdO4_id1141_Final_E-6.14.cif,ScCdO4,-6.1417,0.123,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
Be6Sn4O9_id3383_Final_E-6.14.cif,Be6Sn4O9,-6.1385,1.817,Solar / Visible,Semiconductor,P1,1,38
CaAl(Si3O2)2_id1118_Final_E-6.13.cif,CaAl(Si3O2)2,-6.1291,1.144,Solar / Visible,Semiconductor,I222,23,24
SrNO3_id4156_Final_E-6.13.cif,SrNO3,-6.1271,0.448,IR / Narrow-Gap,Semiconductor,P1,1,20
KMgScO6_id3869_Final_E-6.10.cif,KMgScO6,-6.104,2.028,Solar / Visible,Semiconductor,P-31c,163,18
TiO6_id2073_Final_E-6.06.cif,TiO6,-6.0566,1.312,Solar / Visible,Semiconductor,P4/n,85,14
KCaB6Sb(TeO2)3_id3007_Final_E-6.04.cif,KCaB6Sb(TeO2)3,-6.0445,2.956,Wide-Gap Power/LED,Semiconductor,P1,1,36
SeN_id173_Final_E-6.03.cif,SeN,-6.0255,0.589,IR / Narrow-Gap,Semiconductor,P4/m,83,8
NaGaTe(NO4)3_id3194_Final_E-6.02.cif,NaGaTe(NO4)3,-6.0222,2.723,Wide-Gap Power/LED,Semiconductor,P1,1,36
AsO3_id2126_Final_E-6.00.cif,AsO3,-5.9968,2.724,Wide-Gap Power/LED,Semiconductor,R-3c,167,24
BaAl2SnGe2(SO)4_id4393_Final_E-5.99.cif,BaAl2SnGe2(SO)4,-5.9948,1.001,Solar / Visible,Semiconductor,P1,1,28
LiMg(PN)4_id4177_Final_E-5.98.cif,LiMg(PN)4,-5.9773,1.067,Solar / Visible,Semiconductor,C2/c,15,40
Ba3Sn2(BO10)2_id1547_Final_E-5.97.cif,Ba3Sn2(BO10)2,-5.9727,3.337,Wide-Gap Power/LED,Semiconductor,P-1,2,27
BaSbO4_id1182_Final_E-5.97.cif,BaSbO4,-5.9682,1.122,Solar / Visible,Semiconductor,P4/nbm,125,12
LiPO2_id2453_Final_E-5.97.cif,LiPO2,-5.9659,2.45,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
LiSe2N5O3_id2196_Final_E-5.96.cif,LiSe2N5O3,-5.9585,2.344,Wide-Gap Power/LED,Semiconductor,P-1,2,22
Ba2NaTi2O3_id843_Final_E-5.94.cif,Ba2NaTi2O3,-5.9392,0.256,IR / Narrow-Gap,Semiconductor,I4_122,98,32
Ba4AlO4_id2830_Final_E-5.93.cif,Ba4AlO4,-5.9337,2.277,Wide-Gap Power/LED,Semiconductor,I4_1/a,88,36
Ca3TeO3_id2357_Final_E-5.92.cif,Ca3TeO3,-5.92,0.118,IR / Narrow-Gap,Semiconductor,P-1,2,42
Ba2Ca2AsSeO8_id2087_Final_E-5.92.cif,Ba2Ca2AsSeO8,-5.9165,2.879,Wide-Gap Power/LED,Semiconductor,P3_221,154,42
Ba3P(SeO2)4_id4079_Final_E-5.92.cif,Ba3P(SeO2)4,-5.9156,1.413,Solar / Visible,Semiconductor,P1,1,32
Ti(GaO)4_id4003_Final_E-5.91.cif,Ti(GaO)4,-5.9139,0.248,IR / Narrow-Gap,Semiconductor,P-43m,215,9
Mg4Be4B2P4NO9_id3969_Final_E-5.91.cif,Mg4Be4B2P4NO9,-5.9109,2.37,Wide-Gap Power/LED,Semiconductor,P4bm,100,48
LiGeO2_id258_Final_E-5.90.cif,LiGeO2,-5.8968,2.978,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
LiGeO2_id3932_Final_E-5.90.cif,LiGeO2,-5.8968,2.959,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
LiGeO2_id3436_Final_E-5.90.cif,LiGeO2,-5.8967,2.909,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
NaSiBSb4As2N5O6_id2749_Final_E-5.87.cif,NaSiBSb4As2N5O6,-5.8722,1.881,Solar / Visible,Semiconductor,P1,1,60
SrCaO4_id3030_Final_E-5.87.cif,SrCaO4,-5.8705,1.95,Solar / Visible,Semiconductor,Pban,50,12
SrCaO4_id163_Final_E-5.87.cif,SrCaO4,-5.8701,1.961,Solar / Visible,Semiconductor,Pban,50,12
TiInO8_id2862_Final_E-5.85.cif,TiInO8,-5.8536,1.019,Solar / Visible,Semiconductor,P4/nbm,125,20
KNa2C2NO2_id738_Final_E-5.84.cif,KNa2C2NO2,-5.8377,1.156,Solar / Visible,Semiconductor,Aea2,41,32
KSn(PO10)2_id2583_Final_E-5.83.cif,KSn(PO10)2,-5.8258,2.356,Wide-Gap Power/LED,Semiconductor,P-1,2,24
BaN4O5_id3473_Final_E-5.83.cif,BaN4O5,-5.8253,1.123,Solar / Visible,Semiconductor,P1,1,20
Sr2P4O3_id1556_Final_E-5.82.cif,Sr2P4O3,-5.8208,0.982,IR / Narrow-Gap,Semiconductor,P4_32_12,96,36
KTi2Si6SbO50_id4235_Final_E-5.82.cif,KTi2Si6SbO50,-5.8158,1.179,Solar / Visible,Semiconductor,P-3,147,60
MgSbO2_id2354_Final_E-5.81.cif,MgSbO2,-5.8136,0.073,IR / Narrow-Gap,Semiconductor,P3_221,154,12
SrSnGeO3_id2810_Final_E-5.81.cif,SrSnGeO3,-5.8055,2.822,Wide-Gap Power/LED,Semiconductor,P-6m2,187,6
BAs3P12N5_id1527_Final_E-5.79.cif,BAs3P12N5,-5.7927,0.807,IR / Narrow-Gap,Semiconductor,P2_1,4,42
SrAs4PO4_id1613_Final_E-5.78.cif,SrAs4PO4,-5.7756,1.144,Solar / Visible,Semiconductor,P1,1,20
SnSb7O8_id4511_Final_E-5.77.cif,SnSb7O8,-5.7703,0.657,IR / Narrow-Gap,Semiconductor,P2_12_12,18,32
P2S2N_id3847_Final_E-5.75.cif,P2S2N,-5.751,1.847,Solar / Visible,Semiconductor,Aea2,41,20
NaPO2_id4919_Final_E-5.74.cif,NaPO2,-5.743,3.192,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
TeN_id4620_Final_E-5.74.cif,TeN,-5.7428,0.952,IR / Narrow-Gap,Semiconductor,C222_1,20,16
Li(GeO)2_id3295_Final_E-5.74.cif,Li(GeO)2,-5.7397,1.72,Solar / Visible,Semiconductor,Ibam,72,40
BaSrO6_id948_Final_E-5.74.cif,BaSrO6,-5.7362,2.923,Wide-Gap Power/LED,Semiconductor,P-1,2,24
Ba3GeO3_id2784_Final_E-5.71.cif,Ba3GeO3,-5.7127,0.059,IR / Narrow-Gap,Semiconductor,P6_3,173,14
Sb3(TeO3)2_id1295_Final_E-5.71.cif,Sb3(TeO3)2,-5.7116,1.527,Solar / Visible,Semiconductor,P1,1,11
LiAsO2_id4071_Final_E-5.71.cif,LiAsO2,-5.7097,2.294,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
Li2Si2S2N3_id2446_Final_E-5.71.cif,Li2Si2S2N3,-5.7084,2.694,Wide-Gap Power/LED,Semiconductor,P1,1,27
MgAlZn2O4_id2210_Final_E-5.71.cif,MgAlZn2O4,-5.7084,2.338,Wide-Gap Power/LED,Semiconductor,P-42c,112,16
SbO_id52_Final_E-5.70.cif,SbO,-5.7026,1.623,Solar / Visible,Semiconductor,P2,3,12
AsPO9_id4549_Final_E-5.70.cif,AsPO9,-5.699,2.644,Wide-Gap Power/LED,Semiconductor,P1,1,11
BaSnO6_id4044_Final_E-5.68.cif,BaSnO6,-5.6795,1.201,Solar / Visible,Semiconductor,P6_322,182,16
NaLiMgPCNO2_id772_Final_E-5.67.cif,NaLiMgPCNO2,-5.6749,1.5,Solar / Visible,Semiconductor,Pc,7,32
MgGaSi2SO16_id538_Final_E-5.66.cif,MgGaSi2SO16,-5.664,3.012,Wide-Gap Power/LED,Semiconductor,P1,1,42
BaCaAs2O11_id270_Final_E-5.65.cif,BaCaAs2O11,-5.655,1.831,Solar / Visible,Semiconductor,P1,1,15
SrCaO4_id2752_Final_E-5.65.cif,SrCaO4,-5.652,1.878,Solar / Visible,Semiconductor,P4/nbm,125,12
Mg3InO4_id252_Final_E-5.64.cif,Mg3InO4,-5.6386,0.075,IR / Narrow-Gap,Semiconductor,Pm-3n,223,16
Ca2ScS4_id2233_Final_E-5.64.cif,Ca2ScS4,-5.6366,2.142,Solar / Visible,Semiconductor,P-1,2,28
BaO2_id3006_Final_E-5.63.cif,BaO2,-5.6347,3.013,Wide-Gap Power/LED,Semiconductor,P4_2/mmc,131,12
BaSn4GeO4_id644_Final_E-5.62.cif,BaSn4GeO4,-5.6182,0.601,IR / Narrow-Gap,Semiconductor,I4/m,87,20
Sb2Te2O5_id798_Final_E-5.62.cif,Sb2Te2O5,-5.6162,1.523,Solar / Visible,Semiconductor,P2_1,4,18
BeZn2SiO8_id4514_Final_E-5.61.cif,BeZn2SiO8,-5.6113,3.452,Wide-Gap Power/LED,Semiconductor,Ccc2,37,24
SrLiIn2Ga2(SO2)6_id652_Final_E-5.61.cif,SrLiIn2Ga2(SO2)6,-5.6105,3.025,Wide-Gap Power/LED,Semiconductor,P321,150,24
Sb3O7_id3584_Final_E-5.61.cif,Sb3O7,-5.6102,0.507,IR / Narrow-Gap,Semiconductor,P1,1,10
Al2Zn2InO10_id990_Final_E-5.61.cif,Al2Zn2InO10,-5.6086,1.492,Solar / Visible,Semiconductor,P-1,2,60
AsPO_id399_Final_E-5.61.cif,AsPO,-5.6081,1.623,Solar / Visible,Semiconductor,Pbca,61,24
Ga6NO6_id4448_Final_E-5.60.cif,Ga6NO6,-5.6045,1.485,Solar / Visible,Semiconductor,P1,1,26
LiSbO2_id919_Final_E-5.60.cif,LiSbO2,-5.5987,1.133,Solar / Visible,Semiconductor,P1,1,16
Li3TiO8_id1100_Final_E-5.59.cif,Li3TiO8,-5.5904,2.823,Wide-Gap Power/LED,Semiconductor,C2,5,48
Ge2N_id2_Final_E-5.58.cif,Ge2N,-5.5826,0.063,IR / Narrow-Gap,Semiconductor,Pbcn,60,12
GaO2_id2892_Final_E-5.58.cif,GaO2,-5.576,1.806,Solar / Visible,Semiconductor,I4_122,98,12
Ba12SrO32_id3079_Final_E-5.57.cif,Ba12SrO32,-5.5691,0.246,IR / Narrow-Gap,Semiconductor,P-3,147,45
Na3Be4BN12_id521_Final_E-5.57.cif,Na3Be4BN12,-5.5662,2.115,Solar / Visible,Semiconductor,I432,211,40
GaO_id3674_Final_E-5.57.cif,GaO,-5.566,2.052,Solar / Visible,Semiconductor,Aea2,41,16
ZnInC2SN2_id1982_Final_E-5.56.cif,ZnInC2SN2,-5.5632,0.147,IR / Narrow-Gap,Semiconductor,P3_1,144,21
Mg4InO4_id1060_Final_E-5.56.cif,Mg4InO4,-5.5614,2.183,Solar / Visible,Semiconductor,P4_2/n,86,18
Al2CdGa2SnO12_id3057_Final_E-5.55.cif,Al2CdGa2SnO12,-5.5528,0.803,IR / Narrow-Gap,Semiconductor,Pnn2,34,36
BaSbO6_id4342_Final_E-5.55.cif,BaSbO6,-5.5527,3.374,Wide-Gap Power/LED,Semiconductor,P1,1,16
BaCdSnO4_id2334_Final_E-5.55.cif,BaCdSnO4,-5.5468,1.836,Solar / Visible,Semiconductor,P1,1,14
Ge3S2(NO)2_id3626_Final_E-5.55.cif,Ge3S2(NO)2,-5.5455,1.385,Solar / Visible,Semiconductor,Pnn2,34,18
KSe6(SN3)3_id2757_Final_E-5.54.cif,KSe6(SN3)3,-5.5413,0.887,IR / Narrow-Gap,Semiconductor,P6_3,173,38
BaSrO4_id4881_Final_E-5.54.cif,BaSrO4,-5.5393,0.258,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
PSeSN2O_id969_Final_E-5.53.cif,PSeSN2O,-5.5319,0.739,IR / Narrow-Gap,Semiconductor,P4_12_12,92,24
K3TiO6_id3627_Final_E-5.53.cif,K3TiO6,-5.527,0.074,IR / Narrow-Gap,Semiconductor,P6_3/m,176,20
K3Ga2(BO2)6_id2776_Final_E-5.52.cif,K3Ga2(BO2)6,-5.5192,3.436,Wide-Gap Power/LED,Semiconductor,P1,1,46
LiSc3TeS3_id4932_Final_E-5.52.cif,LiSc3TeS3,-5.5179,0.173,IR / Narrow-Gap,Semiconductor,Pm-3m,221,8
Be2InPN4_id535_Final_E-5.52.cif,Be2InPN4,-5.5151,0.759,IR / Narrow-Gap,Semiconductor,P4bm,100,32
Li3SO6_id2006_Final_E-5.51.cif,Li3SO6,-5.5149,2.91,Wide-Gap Power/LED,Semiconductor,Pc,7,40
BaAsS2NO_id3692_Final_E-5.50.cif,BaAsS2NO,-5.4996,1.793,Solar / Visible,Semiconductor,P1,1,36
K2(GeO2)3_id676_Final_E-5.50.cif,K2(GeO2)3,-5.4961,1.46,Solar / Visible,Semiconductor,P1,1,33
P2O_id1773_Final_E-5.49.cif,P2O,-5.4868,0.422,IR / Narrow-Gap,Semiconductor,Aea2,41,12
NaAsO2_id4507_Final_E-5.48.cif,NaAsO2,-5.4847,2.271,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
NaAsO2_id3307_Final_E-5.48.cif,NaAsO2,-5.4846,2.261,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
BAs3PN_id2758_Final_E-5.47.cif,BAs3PN,-5.4693,0.623,IR / Narrow-Gap,Semiconductor,Pca2_1,29,24
K2Sr(NO2)3_id1995_Final_E-5.43.cif,K2Sr(NO2)3,-5.4328,2.488,Wide-Gap Power/LED,Semiconductor,C2/c,15,48
SrZn2(SbO3)2_id483_Final_E-5.42.cif,SrZn2(SbO3)2,-5.4202,0.765,IR / Narrow-Gap,Semiconductor,P6_3/mmc,194,22
Li(CdN2)2_id41_Final_E-5.42.cif,Li(CdN2)2,-5.4175,2.178,Solar / Visible,Semiconductor,P1,1,28
Mg7ZnNO6_id1121_Final_E-5.41.cif,Mg7ZnNO6,-5.4073,1.105,Solar / Visible,Semiconductor,P6_322,182,30
Zn2As2P2O5_id777_Final_E-5.40.cif,Zn2As2P2O5,-5.3979,1.086,Solar / Visible,Semiconductor,Pbcn,60,44
Ba2SeO10_id4390_Final_E-5.39.cif,Ba2SeO10,-5.3937,0.261,IR / Narrow-Gap,Semiconductor,P3_2,145,39
Na2Li2MgGa2(NO4)2_id949_Final_E-5.39.cif,Na2Li2MgGa2(NO4)2,-5.3937,3.325,Wide-Gap Power/LED,Semiconductor,P4_2,77,34
MgTi2Cd3O3_id3463_Final_E-5.39.cif,MgTi2Cd3O3,-5.3855,0.404,IR / Narrow-Gap,Semiconductor,P222_1,17,36
KSrLiSb2Te4(AsO6)2_id902_Final_E-5.38.cif,KSrLiSb2Te4(AsO6)2,-5.3842,1.432,Solar / Visible,Semiconductor,I222,23,46
Na4Ti(Si2O3)2_id1984_Final_E-5.38.cif,Na4Ti(Si2O3)2,-5.3798,0.717,IR / Narrow-Gap,Semiconductor,P-1,2,30
NaSn(N2O)2_id2056_Final_E-5.38.cif,NaSn(N2O)2,-5.3794,0.893,IR / Narrow-Gap,Semiconductor,I4_1/a,88,32
BaCdSb2O11_id585_Final_E-5.38.cif,BaCdSb2O11,-5.3756,0.287,IR / Narrow-Gap,Semiconductor,P3m1,156,15
PO10_id434_Final_E-5.37.cif,PO10,-5.3685,1.119,Solar / Visible,Semiconductor,Pcca,54,44
Ti2(GaO)3_id4412_Final_E-5.36.cif,Ti2(GaO)3,-5.3562,0.061,IR / Narrow-Gap,Semiconductor,Pn-3m,224,16
Li3CaO4_id2636_Final_E-5.35.cif,Li3CaO4,-5.3506,3.232,Wide-Gap Power/LED,Semiconductor,P1,1,32
SiS_id1321_Final_E-5.35.cif,SiS,-5.3485,1.132,Solar / Visible,Semiconductor,P6_522,179,12
Si3P_id4260_Final_E-5.34.cif,Si3P,-5.3369,1.445,Solar / Visible,Semiconductor,P2_1,4,16
BPSeO18_id4585_Final_E-5.34.cif,BPSeO18,-5.3367,3.202,Wide-Gap Power/LED,Semiconductor,P2_1,4,42
SrCaO8_id3713_Final_E-5.32.cif,SrCaO8,-5.3236,1.554,Solar / Visible,Semiconductor,P4/nbm,125,20
SrSnO8_id934_Final_E-5.32.cif,SrSnO8,-5.3219,2.787,Wide-Gap Power/LED,Semiconductor,P4/nbm,125,20
GaTeO2_id1286_Final_E-5.32.cif,GaTeO2,-5.3182,1.8,Solar / Visible,Semiconductor,P1,1,8
SNO_id2112_Final_E-5.30.cif,SNO,-5.3029,2.407,Wide-Gap Power/LED,Semiconductor,P6_522,179,18
Mg2CdIn4GaO8_id2171_Final_E-5.30.cif,Mg2CdIn4GaO8,-5.3009,0.597,IR / Narrow-Gap,Semiconductor,Cc,9,32
SrAl3O16_id2569_Final_E-5.30.cif,SrAl3O16,-5.2973,1.422,Solar / Visible,Semiconductor,Im-3,204,40
Ba4Mg3GaO6_id1464_Final_E-5.29.cif,Ba4Mg3GaO6,-5.2897,0.23,IR / Narrow-Gap,Semiconductor,Im-3m,229,28
Ba5(AsO)6_id1943_Final_E-5.28.cif,Ba5(AsO)6,-5.279,2.283,Wide-Gap Power/LED,Semiconductor,P6/mmm,191,17
MgZnO2_id4207_Final_E-5.28.cif,MgZnO2,-5.2776,1.135,Solar / Visible,Semiconductor,I4_122,98,16
P_id2114_Final_E-5.26.cif,P,-5.2629,1.472,Solar / Visible,Semiconductor,P2_12_12_1,19,12
ZnSNO_id2920_Final_E-5.26.cif,ZnSNO,-5.2618,2.005,Solar / Visible,Semiconductor,Pca2_1,29,16
P_id4190_Final_E-5.26.cif,P,-5.2557,0.877,IR / Narrow-Gap,Semiconductor,I2_12_12_1,24,32
Na2Li3Mg2(SbO4)3_id4636_Final_E-5.25.cif,Na2Li3Mg2(SbO4)3,-5.2524,2.834,Wide-Gap Power/LED,Semiconductor,P31c,159,44
BaO3_id2802_Final_E-5.25.cif,BaO3,-5.2482,1.336,Solar / Visible,Semiconductor,P6_522,179,24
SO5_id1752_Final_E-5.25.cif,SO5,-5.2463,0.163,IR / Narrow-Gap,Semiconductor,P1,1,36
