file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms,Application_Class
KCaO8_id3371_Final_E-5.10.cif,KCaO8,-5.0953,0.218,Semiconductor,P4/nbm,125,20,IR / Narrow-Gap
Ca4C7N3_id2002_Final_E-5.08.cif,Ca4C7N3,-5.0756,0.429,Semiconductor,P1,1,42,IR / Narrow-Gap
Ba3Li2AsO15_id2711_Final_E-5.07.cif,Ba3Li2AsO15,-5.0651,2.704,Semiconductor,P1,1,21,Wide-Gap Power/LED
MgSbO4_id2184_Final_E-5.06.cif,MgSbO4,-5.062,0.92,Semiconductor,Cmmm,65,12,IR / Narrow-Gap
NaAs(SO)4_id242_Final_E-5.06.cif,NaAs(SO)4,-5.0609,2.628,Semiconductor,P-1,2,20,Wide-Gap Power/LED
BeAl2(SN)2_id1608_Final_E-5.05.cif,BeAl2(SN)2,-5.0493,1.89,Semiconductor,P1,1,28,Solar / Visible
Li3ZnBO9_id2644_Final_E-5.04.cif,Li3ZnBO9,-5.0428,2.042,Semiconductor,Pc,7,56,Wide-Gap Power/LED
Ca(SeO)3_id50_Final_E-5.04.cif,Ca(SeO)3,-5.0399,2.548,Semiconductor,P6_3,173,14,Wide-Gap Power/LED
PS_id1223_Final_E-5.01.cif,PS,-5.0144,2.125,Semiconductor,P2_1/c,14,16,Wide-Gap Power/LED
LiAlTe5O4_id350_Final_E-5.01.cif,LiAlTe5O4,-5.0086,1.091,Semiconductor,P2,3,11,Solar / Visible
MgTiGeAs2_id2803_Final_E-5.00.cif,MgTiGeAs2,-4.9982,0.64,Semiconductor,Pmmm,47,10,IR / Narrow-Gap
Be(NO4)2_id2775_Final_E-5.00.cif,Be(NO4)2,-4.9963,1.814,Semiconductor,P1,1,44,Solar / Visible
SiSb(AsP8)2_id863_Final_E-4.99.cif,SiSb(AsP8)2,-4.9876,0.314,Semiconductor,P1,1,20,IR / Narrow-Gap
SbO11_id1039_Final_E-4.99.cif,SbO11,-4.9851,0.557,Semiconductor,P2,3,24,IR / Narrow-Gap
SrZnO4_id1917_Final_E-4.98.cif,SrZnO4,-4.9845,0.369,Semiconductor,P2_12_12,18,12,IR / Narrow-Gap
Li2Sc2SnSe6_id2354_Final_E-4.97.cif,Li2Sc2SnSe6,-4.9719,0.911,Semiconductor,C2/c,15,44,IR / Narrow-Gap
KP2O_id425_Final_E-4.97.cif,KP2O,-4.967,2.544,Semiconductor,P-1,2,16,Wide-Gap Power/LED
Te4AsO4_id2525_Final_E-4.93.cif,Te4AsO4,-4.9342,1.891,Semiconductor,I4_1/a,88,36,Solar / Visible
LiO2_id1950_Final_E-4.93.cif,LiO2,-4.9338,0.301,Semiconductor,P2_1/c,14,12,IR / Narrow-Gap
BaZn2SnO18_id875_Final_E-4.93.cif,BaZn2SnO18,-4.9331,0.789,Semiconductor,P-3,147,22,IR / Narrow-Gap
SbAs3_id917_Final_E-4.93.cif,SbAs3,-4.9252,0.273,Semiconductor,P1,1,32,IR / Narrow-Gap
GaO4_id1353_Final_E-4.89.cif,GaO4,-4.889,0.336,Semiconductor,P-1,2,10,IR / Narrow-Gap
LiMg(SO)2_id898_Final_E-4.88.cif,LiMg(SO)2,-4.8811,2.891,Semiconductor,C222_1,20,24,Wide-Gap Power/LED
SrSi10_id25_Final_E-4.88.cif,SrSi10,-4.878,2.801,Semiconductor,P-1,2,44,Wide-Gap Power/LED
Li2O2_id2344_Final_E-4.87.cif,Li2O2,-4.8662,2.279,Semiconductor,Pna2_1,33,8,Wide-Gap Power/LED
As4SO10_id1003_Final_E-4.86.cif,As4SO10,-4.8642,0.991,Semiconductor,P1,1,120,IR / Narrow-Gap
BeBO2_id1673_Final_E-4.86.cif,BeBO2,-4.8563,2.47,Semiconductor,P6_222,180,12,Wide-Gap Power/LED
K2SbO5_id1613_Final_E-4.85.cif,K2SbO5,-4.8486,0.47,Semiconductor,P1,1,8,IR / Narrow-Gap
Li4O11_id204_Final_E-4.84.cif,Li4O11,-4.84,0.16,Semiconductor,P1,1,15,IR / Narrow-Gap
KMgS2O3_id583_Final_E-4.83.cif,KMgS2O3,-4.8345,0.625,Semiconductor,P1,1,21,IR / Narrow-Gap
Ca4ScTiO_id915_Final_E-4.82.cif,Ca4ScTiO,-4.8204,0.835,Semiconductor,P1,1,21,IR / Narrow-Gap
As2P4NO7_id42_Final_E-4.82.cif,As2P4NO7,-4.8166,1.208,Semiconductor,P1,1,56,Solar / Visible
SeSO2_id711_Final_E-4.82.cif,SeSO2,-4.8162,2.55,Semiconductor,P4_2/mmc,131,16,Wide-Gap Power/LED
KB3_id1483_Final_E-4.81.cif,KB3,-4.8148,1.265,Semiconductor,P6/mmm,191,4,Solar / Visible
KC14_id1243_Final_E-4.81.cif,KC14,-4.8131,0.448,Semiconductor,P1,1,15,IR / Narrow-Gap
BP2_id1000_Final_E-4.81.cif,BP2,-4.8084,1.102,Semiconductor,F-43m,216,12,Solar / Visible
NO19_id255_Final_E-4.81.cif,NO19,-4.8063,1.202,Semiconductor,P2/c,13,80,Solar / Visible
BP12_id3366_Final_E-4.80.cif,BP12,-4.7996,0.089,Semiconductor,I432,211,26,IR / Narrow-Gap
AlSi3_id2624_Final_E-4.79.cif,AlSi3,-4.7923,2.459,Semiconductor,P2/c,13,32,Wide-Gap Power/LED
BeSiGeP2_id2114_Final_E-4.79.cif,BeSiGeP2,-4.7909,1.013,Semiconductor,P2_12_12_1,19,20,Solar / Visible
BaLiGeO3_id2409_Final_E-4.78.cif,BaLiGeO3,-4.7824,1.573,Semiconductor,P-6m2,187,6,Solar / Visible
NaO8_id3327_Final_E-4.76.cif,NaO8,-4.7602,2.837,Semiconductor,Pba2,32,36,Wide-Gap Power/LED
Ba2S2N2O17_id2672_Final_E-4.75.cif,Ba2S2N2O17,-4.7547,1.897,Semiconductor,P1,1,46,Solar / Visible
KNaO19_id503_Final_E-4.75.cif,KNaO19,-4.7507,3.379,Semiconductor,P1,1,21,Wide-Gap Power/LED
SeO_id2320_Final_E-4.75.cif,SeO,-4.7489,1.427,Semiconductor,Pbca,61,16,Solar / Visible
NaCdSO5_id2438_Final_E-4.75.cif,NaCdSO5,-4.7478,2.42,Semiconductor,P1,1,16,Wide-Gap Power/LED
BaAs6_id1686_Final_E-4.75.cif,BaAs6,-4.7462,1.186,Semiconductor,P1,1,28,Solar / Visible
BaSeO4_id2687_Final_E-4.74.cif,BaSeO4,-4.7384,2.853,Semiconductor,Pnnn,48,24,Wide-Gap Power/LED
BaSc4O29_id683_Final_E-4.73.cif,BaSc4O29,-4.7332,1.645,Semiconductor,P1,1,68,Solar / Visible
Na4Cd(GaO2)3_id2472_Final_E-4.71.cif,Na4Cd(GaO2)3,-4.7053,0.847,Semiconductor,Im-3m,229,28,IR / Narrow-Gap
KBaO32_id1430_Final_E-4.70.cif,KBaO32,-4.6968,0.59,Semiconductor,P-3,147,34,IR / Narrow-Gap
KInO8_id2210_Final_E-4.70.cif,KInO8,-4.6964,1.678,Semiconductor,P1,1,40,Solar / Visible
LiP2SeO17_id1141_Final_E-4.69.cif,LiP2SeO17,-4.6901,0.189,Semiconductor,P2_1,4,42,IR / Narrow-Gap
BaAs5O8_id2600_Final_E-4.68.cif,BaAs5O8,-4.6836,1.16,Semiconductor,P1,1,28,Solar / Visible
Zn2SnO9_id1384_Final_E-4.68.cif,Zn2SnO9,-4.6792,0.445,Semiconductor,P1,1,24,IR / Narrow-Gap
Ba3SbSe3_id2434_Final_E-4.68.cif,Ba3SbSe3,-4.6778,1.272,Semiconductor,P1,1,42,Solar / Visible
Ge(AsS2)2_id730_Final_E-4.67.cif,Ge(AsS2)2,-4.6702,1.421,Semiconductor,I-42d,122,28,Solar / Visible
K(SeO2)2_id381_Final_E-4.67.cif,K(SeO2)2,-4.6693,1.375,Semiconductor,I4_1/a,88,28,Solar / Visible
AsS_id785_Final_E-4.67.cif,AsS,-4.6663,2.098,Semiconductor,Pca2_1,29,8,Wide-Gap Power/LED
MgCdO4_id1817_Final_E-4.66.cif,MgCdO4,-4.6588,1.288,Semiconductor,P-4m2,115,12,Solar / Visible
As(P3S7)2_id548_Final_E-4.65.cif,As(P3S7)2,-4.6543,1.798,Semiconductor,Pc,7,42,Solar / Visible
MgN_id364_Final_E-4.65.cif,MgN,-4.6489,1.243,Semiconductor,P-1,2,128,Solar / Visible
LiTi2(GaO5)2_id2181_Final_E-4.64.cif,LiTi2(GaO5)2,-4.6438,2.339,Semiconductor,C222_1,20,60,Wide-Gap Power/LED
KNaGeO3_id1266_Final_E-4.64.cif,KNaGeO3,-4.6386,2.008,Semiconductor,P2_1,4,12,Wide-Gap Power/LED
ZnO_id2693_Final_E-4.63.cif,ZnO,-4.6331,0.639,Semiconductor,Pccn,56,8,IR / Narrow-Gap
Sn(GeS)2_id2983_Final_E-4.62.cif,Sn(GeS)2,-4.6232,0.548,Semiconductor,P1,1,20,IR / Narrow-Gap
SbS4_id3149_Final_E-4.62.cif,SbS4,-4.6198,3.39,Semiconductor,I4_1/a,88,20,Wide-Gap Power/LED
C(SO9)2_id435_Final_E-4.61.cif,C(SO9)2,-4.6148,2.376,Semiconductor,Pm,6,42,Wide-Gap Power/LED
KO2_id1861_Final_E-4.61.cif,KO2,-4.6072,0.783,Semiconductor,P2_1/c,14,12,IR / Narrow-Gap
SiS2_id2849_Final_E-4.60.cif,SiS2,-4.6041,0.084,Semiconductor,I4_1/amd,141,12,IR / Narrow-Gap
Ti2Be3Al2B_id2512_Final_E-4.60.cif,Ti2Be3Al2B,-4.6021,0.276,Semiconductor,P1,1,24,IR / Narrow-Gap
As4P_id1772_Final_E-4.58.cif,As4P,-4.5785,0.374,Semiconductor,I4_1/a,88,20,IR / Narrow-Gap
PS6_id2853_Final_E-4.58.cif,PS6,-4.5778,1.481,Semiconductor,P1,1,7,Solar / Visible
CN3_id3265_Final_E-4.57.cif,CN3,-4.5709,0.135,Semiconductor,Fm-3m,225,16,IR / Narrow-Gap
GeS2_id817_Final_E-4.56.cif,GeS2,-4.5637,0.797,Semiconductor,P3_221,154,9,IR / Narrow-Gap
Ba3O11_id3119_Final_E-4.56.cif,Ba3O11,-4.5627,1.974,Semiconductor,P1,1,14,Solar / Visible
NaO2_id408_Final_E-4.55.cif,NaO2,-4.551,2.006,Semiconductor,Pbca,61,24,Wide-Gap Power/LED
Sn2SbS4_id2610_Final_E-4.55.cif,Sn2SbS4,-4.5479,0.299,Semiconductor,Fdd2,43,28,IR / Narrow-Gap
Li7B(AsO2)2_id1838_Final_E-4.54.cif,Li7B(AsO2)2,-4.5435,3.04,Semiconductor,P2_12_12,18,28,Wide-Gap Power/LED
Zn5GaO21_id1330_Final_E-4.54.cif,Zn5GaO21,-4.5393,1.425,Semiconductor,I4,79,54,Solar / Visible
NaPN2_id3352_Final_E-4.53.cif,NaPN2,-4.5303,1.893,Semiconductor,I4_122,98,16,Solar / Visible
LiZnO2_id1251_Final_E-4.52.cif,LiZnO2,-4.5244,0.968,Semiconductor,Cmc2_1,36,32,IR / Narrow-Gap
ScSiO19_id923_Final_E-4.52.cif,ScSiO19,-4.523,0.591,Semiconductor,P1,1,42,IR / Narrow-Gap
BaCdSO7_id2109_Final_E-4.50.cif,BaCdSO7,-4.4974,2.361,Semiconductor,Pm,6,20,Wide-Gap Power/LED
MgSiPSe_id1396_Final_E-4.48.cif,MgSiPSe,-4.4759,1.236,Semiconductor,Pca2_1,29,16,Solar / Visible
BaP_id316_Final_E-4.47.cif,BaP,-4.4747,0.676,Semiconductor,P6_3/mmc,194,4,IR / Narrow-Gap
LiSeS3O2_id326_Final_E-4.47.cif,LiSeS3O2,-4.4712,2.23,Semiconductor,P1,1,28,Wide-Gap Power/LED
CaSiO5_id1863_Final_E-4.47.cif,CaSiO5,-4.4709,1.419,Semiconductor,Pm,6,28,Solar / Visible
Ba2Sc4SnTe5_id1466_Final_E-4.47.cif,Ba2Sc4SnTe5,-4.4665,1.582,Semiconductor,P2/m,10,24,Solar / Visible
AsPSe2_id1874_Final_E-4.45.cif,AsPSe2,-4.4496,1.322,Semiconductor,P1,1,16,Solar / Visible
SeS3O_id2536_Final_E-4.44.cif,SeS3O,-4.4395,1.529,Semiconductor,P6_4,172,30,Solar / Visible
Li3Ca2O2_id2_Final_E-4.44.cif,Li3Ca2O2,-4.4359,1.179,Semiconductor,P1,1,14,Solar / Visible
K2BaS8_id1103_Final_E-4.43.cif,K2BaS8,-4.4279,0.897,Semiconductor,P1,1,22,IR / Narrow-Gap
InSe(N2O5)2_id3075_Final_E-4.42.cif,InSe(N2O5)2,-4.4201,0.669,Semiconductor,Pm,6,32,IR / Narrow-Gap
ZnO2_id2152_Final_E-4.41.cif,ZnO2,-4.4146,1.523,Semiconductor,Pbca,61,12,Solar / Visible
S4O_id2372_Final_E-4.41.cif,S4O,-4.4134,1.475,Semiconductor,Pc,7,10,Solar / Visible
SiS9_id28_Final_E-4.40.cif,SiS9,-4.3998,1.321,Semiconductor,P2,3,10,Solar / Visible
Ca2Mg2InO18_id1257_Final_E-4.40.cif,Ca2Mg2InO18,-4.3993,1.881,Semiconductor,P1,1,46,Solar / Visible
LiGe6(AsO2)2_id540_Final_E-4.40.cif,LiGe6(AsO2)2,-4.3964,1.322,Semiconductor,P3_121,152,39,Solar / Visible
NaZn2GaO4_id2281_Final_E-4.39.cif,NaZn2GaO4,-4.3899,3.05,Semiconductor,P4/mmm,123,16,Wide-Gap Power/LED
Sb4As7PS6_id972_Final_E-4.39.cif,Sb4As7PS6,-4.3853,3.084,Semiconductor,Ima2,46,72,Wide-Gap Power/LED
