file_name,original_file,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
LiSiO2_id1931_Final_E-6.55.cif,LiSiO2_id1931_E-5.51.cif,LiSiO2,-6.5505,3.955,Insulator,I4_122,98,16
Sr3CaN12_id2867_Final_E-6.54.cif,Sr3CaN12_id2867_E-6.22.cif,Sr3CaN12,-6.5406,1.416,Semiconductor,Cmc2_1,36,32
Sc3GeSe2_id798_Final_E-6.48.cif,Sc3GeSe2_id798_E-5.61.cif,Sc3GeSe2,-6.4849,0.0,Metal,P2_1/c,14,24
Ba2NaSn(NO)4_id1374_Final_E-6.48.cif,Ba2NaSn(NO)4_id1374_E-5.90.cif,Ba2NaSn(NO)4,-6.4808,1.068,Semiconductor,I-42d,122,48
Sr3Ca2N12_id2214_Final_E-6.46.cif,Sr3Ca2N12_id2214_E-3.58.cif,Sr3Ca2N12,-6.4632,0.03,Metal,Pn-3,201,34
Mg3Sc8C5_id4479_Final_E-6.46.cif,Mg3Sc8C5_id4479_E-4.80.cif,Mg3Sc8C5,-6.4613,0.977,Semiconductor,P-1,2,32
ScAsS2N_id4570_Final_E-6.44.cif,ScAsS2N_id4570_E-5.60.cif,ScAsS2N,-6.4448,1.915,Semiconductor,Pca2_1,29,20
Te(NO)3_id1634_Final_E-6.44.cif,Te(NO)3_id1634_E-5.10.cif,Te(NO)3,-6.4419,1.79,Semiconductor,P6_4,172,21
CdN3_id1780_Final_E-6.42.cif,CdN3_id1780_E-5.23.cif,CdN3,-6.4229,0.555,Semiconductor,R-3,148,24
KTi2BP2_id1890_Final_E-6.42.cif,KTi2BP2_id1890_E-3.69.cif,KTi2BP2,-6.4188,0.634,Semiconductor,P-1,2,12
As2O3_id4736_Final_E-6.40.cif,As2O3_id4736_E-5.71.cif,As2O3,-6.4006,2.101,Semiconductor,Pccn,56,20
ScO5_id2227_Final_E-6.37.cif,ScO5_id2227_E-5.89.cif,ScO5,-6.3669,0.004,Metal,P1,1,24
K2Sc2GaO8_id934_Final_E-6.36.cif,K2Sc2GaO8_id934_E-3.29.cif,K2Sc2GaO8,-6.3582,2.784,Semiconductor,P-1,2,52
Be3BO8_id3475_Final_E-6.33.cif,Be3BO8_id3475_E-5.04.cif,Be3BO8,-6.3291,4.372,Insulator,I-42d,122,48
MgSiO2_id621_Final_E-6.33.cif,MgSiO2_id621_E-6.25.cif,MgSiO2,-6.3263,0.674,Semiconductor,I4_122,98,16
Ba(SiO)2_id3734_Final_E-6.32.cif,Ba(SiO)2_id3734_E-5.78.cif,Ba(SiO)2,-6.3187,0.019,Metal,Pbca,61,20
Sb2O5_id1692_Final_E-6.30.cif,Sb2O5_id1692_E-4.28.cif,Sb2O5,-6.3045,2.096,Semiconductor,P1,1,14
Li2Be2O3_id4193_Final_E-6.30.cif,Li2Be2O3_id4193_E-3.82.cif,Li2Be2O3,-6.3044,4.47,Insulator,P2_1/c,14,28
KNa2Ca2TiO6_id2008_Final_E-6.29.cif,KNa2Ca2TiO6_id2008_E-5.37.cif,KNa2Ca2TiO6,-6.2851,2.046,Semiconductor,P-1,2,24
N3O_id4098_Final_E-6.28.cif,N3O_id4098_E-5.93.cif,N3O,-6.2817,2.062,Semiconductor,R-3c,167,24
Ba(SbO2)2_id3423_Final_E-6.28.cif,Ba(SbO2)2_id3423_E-5.22.cif,Ba(SbO2)2,-6.2781,1.361,Semiconductor,Pnnm,58,14
BaCa(SO2)4_id1494_Final_E-6.27.cif,BaCa(SO2)4_id1494_E-6.09.cif,BaCa(SO2)4,-6.2669,0.58,Semiconductor,P4/nbm,125,28
Sr2LiSb(N2O3)2_id2444_Final_E-6.24.cif,Sr2LiSb(N2O3)2_id2444_E-5.80.cif,Sr2LiSb(N2O3)2,-6.2449,1.482,Semiconductor,P1,1,56
BaMgGeO3_id3446_Final_E-6.23.cif,BaMgGeO3_id3446_E-5.05.cif,BaMgGeO3,-6.2263,1.792,Semiconductor,Cm,8,12
PO_id3916_Final_E-6.22.cif,PO_id3916_E-5.90.cif,PO,-6.2226,0.0,Metal,Pbca,61,16
Li2TiSi2BO15_id1764_Final_E-6.19.cif,Li2TiSi2BO15_id1764_E-5.05.cif,Li2TiSi2BO15,-6.1939,0.128,Semiconductor,Pc,7,42
Ba2Sr2LiP2S2(N2O3)2_id4751_Final_E-6.19.cif,Ba2Sr2LiP2S2(N2O3)2_id4751_E-5.55.cif,Ba2Sr2LiP2S2(N2O3)2,-6.1938,2.26,Semiconductor,P3_121,152,57
Li2Ga2Si3(SO3)2_id1380_Final_E-6.19.cif,Li2Ga2Si3(SO3)2_id1380_E-4.99.cif,Li2Ga2Si3(SO3)2,-6.1932,2.017,Semiconductor,P1,1,30
CdInC6_id983_Final_E-6.18.cif,CdInC6_id983_E-3.46.cif,CdInC6,-6.1822,0.618,Semiconductor,P1,1,24
Ga6C(N2O)3_id1609_Final_E-6.18.cif,Ga6C(N2O)3_id1609_E-5.16.cif,Ga6C(N2O)3,-6.1821,0.401,Semiconductor,P1,1,48
Ti5O8_id3201_Final_E-6.15.cif,Ti5O8_id3201_E-6.03.cif,Ti5O8,-6.1459,1.103,Semiconductor,P4_2/n,86,26
KMg2Be6InGa6(GeO9)2_id799_Final_E-6.11.cif,KMg2Be6InGa6(GeO9)2_id799_E-4.84.cif,KMg2Be6InGa6(GeO9)2,-6.1103,1.707,Semiconductor,P321,150,36
Ti(GaN)4_id2504_Final_E-6.11.cif,Ti(GaN)4_id2504_E-5.31.cif,Ti(GaN)4,-6.1081,0.794,Semiconductor,Ccce,68,36
TiGeSbS2O_id4885_Final_E-6.11.cif,TiGeSbS2O_id4885_E-5.40.cif,TiGeSbS2O,-6.1064,1.256,Semiconductor,C2,5,36
SbO2_id4593_Final_E-6.09.cif,SbO2_id4593_E-6.09.cif,SbO2,-6.0928,1.404,Semiconductor,Pa-3,205,12
KCaSb2O5_id3777_Final_E-6.09.cif,KCaSb2O5_id3777_E-4.08.cif,KCaSb2O5,-6.0873,1.208,Semiconductor,P1,1,9
Mg(SnO2)2_id1968_Final_E-6.08.cif,Mg(SnO2)2_id1968_E-5.59.cif,Mg(SnO2)2,-6.0844,1.738,Semiconductor,P4_2/mcm,132,14
K2Na(BO)6_id3717_Final_E-6.07.cif,K2Na(BO)6_id3717_E-5.51.cif,K2Na(BO)6,-6.0708,2.658,Semiconductor,P6_322,182,30
NaTiO6_id4392_Final_E-6.05.cif,NaTiO6_id4392_E-5.17.cif,NaTiO6,-6.0531,3.289,Semiconductor,P-31c,163,16
Sr3(CO3)2_id4082_Final_E-6.05.cif,Sr3(CO3)2_id4082_E-5.21.cif,Sr3(CO3)2,-6.0522,3.54,Insulator,P1,1,22
TiSi4_id2908_Final_E-6.05.cif,TiSi4_id2908_E-5.79.cif,TiSi4,-6.0463,0.0,Metal,Ccce,68,20
Ba2O3_id3551_Final_E-6.02.cif,Ba2O3_id3551_E-4.69.cif,Ba2O3,-6.0187,0.0,Metal,P1,1,10
Ca4N4O_id4294_Final_E-6.01.cif,Ca4N4O_id4294_E-3.30.cif,Ca4N4O,-6.0063,1.69,Semiconductor,P1,1,18
Sn3GeC12_id3737_Final_E-6.00.cif,Sn3GeC12_id3737_E-5.53.cif,Sn3GeC12,-5.9991,0.018,Metal,P1,1,48
Li2SiBN2_id1965_Final_E-5.99.cif,Li2SiBN2_id1965_E-4.07.cif,Li2SiBN2,-5.9938,0.159,Semiconductor,Pc,7,24
SrGaSiPN4O13_id802_Final_E-5.99.cif,SrGaSiPN4O13_id802_E-4.95.cif,SrGaSiPN4O13,-5.9929,1.586,Semiconductor,P2_1,4,42
CaGaO2_id3326_Final_E-5.99.cif,CaGaO2_id3326_E-5.88.cif,CaGaO2,-5.9896,0.042,Metal,I4_122,98,16
CdSiN2_id1027_Final_E-5.98.cif,CdSiN2_id1027_E-5.98.cif,CdSiN2,-5.9793,0.712,Semiconductor,I4_122,98,16
LiAsO2_id4455_Final_E-5.98.cif,LiAsO2_id4455_E-4.21.cif,LiAsO2,-5.9768,1.823,Semiconductor,P1,1,16
BaO2_id4697_Final_E-5.95.cif,BaO2_id4697_E-5.59.cif,BaO2,-5.9508,0.0,Metal,Pca2_1,29,12
Ba5InGa(SiO2)4_id252_Final_E-5.94.cif,Ba5InGa(SiO2)4_id252_E-4.09.cif,Ba5InGa(SiO2)4,-5.9435,0.0,Metal,P1,1,38
MgGeO2_id1320_Final_E-5.93.cif,MgGeO2_id1320_E-5.84.cif,MgGeO2,-5.928,0.0,Metal,I4_122,98,16
BaPO8_id170_Final_E-5.92.cif,BaPO8_id170_E-4.21.cif,BaPO8,-5.9234,0.485,Semiconductor,P2,3,20
Ti2CdInO2_id4665_Final_E-5.92.cif,Ti2CdInO2_id4665_E-5.68.cif,Ti2CdInO2,-5.9159,0.351,Semiconductor,P4_12_12,92,24
Mg4O5_id2589_Final_E-5.91.cif,Mg4O5_id2589_E-4.24.cif,Mg4O5,-5.9101,3.239,Semiconductor,P1,1,18
KTiGeSbAsP(SO2)3_id539_Final_E-5.90.cif,KTiGeSbAsP(SO2)3_id539_E-4.56.cif,KTiGeSbAsP(SO2)3,-5.9009,1.594,Semiconductor,P3_1,144,45
LiGeO2_id3753_Final_E-5.90.cif,LiGeO2_id3753_E-5.69.cif,LiGeO2,-5.8963,2.821,Semiconductor,I4_122,98,16
KGa4(AsO4)3_id3117_Final_E-5.90.cif,KGa4(AsO4)3_id3117_E-4.29.cif,KGa4(AsO4)3,-5.8955,1.925,Semiconductor,P1,1,40
SrSn(PO)4_id3096_Final_E-5.89.cif,SrSn(PO)4_id3096_E-5.78.cif,SrSn(PO)4,-5.8924,0.04,Metal,I4_1/a,88,40
AsO_id4255_Final_E-5.89.cif,AsO_id4255_E-5.50.cif,AsO,-5.8923,0.0,Metal,Pca2_1,29,8
Si2B9_id4616_Final_E-5.88.cif,Si2B9_id4616_E-5.02.cif,Si2B9,-5.8803,0.166,Semiconductor,P4bm,100,44
BaLi2TiSO7_id4094_Final_E-5.88.cif,BaLi2TiSO7_id4094_E-4.44.cif,BaLi2TiSO7,-5.8768,2.297,Semiconductor,P-1,2,24
K2SrS2(NO2)2_id1394_Final_E-5.87.cif,K2SrS2(NO2)2_id1394_E-4.57.cif,K2SrS2(NO2)2,-5.872,1.939,Semiconductor,P1,1,11
SrCaO4_id1701_Final_E-5.87.cif,SrCaO4_id1701_E-5.60.cif,SrCaO4,-5.8701,1.954,Semiconductor,Pban,50,12
SrGa2GeO4_id1678_Final_E-5.86.cif,SrGa2GeO4_id1678_E-5.66.cif,SrGa2GeO4,-5.8626,0.503,Semiconductor,I222,23,16
Sc2Be6Al6In3N5O6_id2530_Final_E-5.86.cif,Sc2Be6Al6In3N5O6_id2530_E-4.42.cif,Sc2Be6Al6In3N5O6,-5.8623,2.598,Semiconductor,P6,168,28
As2NO_id2676_Final_E-5.86.cif,As2NO_id2676_E-5.63.cif,As2NO,-5.8589,1.709,Semiconductor,Pca2_1,29,16
BaO2_id2462_Final_E-5.86.cif,BaO2_id2462_E-2.68.cif,BaO2,-5.8576,1.78,Semiconductor,P1,1,9
Ba2GeS3O5_id1301_Final_E-5.86.cif,Ba2GeS3O5_id1301_E-4.90.cif,Ba2GeS3O5,-5.856,2.895,Semiconductor,P2_1/c,14,44
Sr3O4_id3928_Final_E-5.85.cif,Sr3O4_id3928_E-5.82.cif,Sr3O4,-5.847,2.418,Semiconductor,P6_3,173,14
SbPSe2S2(NO2)3_id2648_Final_E-5.85.cif,SbPSe2S2(NO2)3_id2648_E-5.01.cif,SbPSe2S2(NO2)3,-5.8469,2.299,Semiconductor,P2/c,13,60
ScTe_id1426_Final_E-5.83.cif,ScTe_id1426_E-5.74.cif,ScTe,-5.8331,0.0,Metal,I4/mcm,140,16
SrLi(AsO4)2_id1625_Final_E-5.81.cif,SrLi(AsO4)2_id1625_E-4.19.cif,SrLi(AsO4)2,-5.8083,0.923,Semiconductor,P1,1,12
LiAlSO_id2381_Final_E-5.80.cif,LiAlSO_id2381_E-4.03.cif,LiAlSO,-5.8019,2.755,Semiconductor,Pc,7,16
ScO6_id4241_Final_E-5.80.cif,ScO6_id4241_E-5.04.cif,ScO6,-5.7995,2.886,Semiconductor,P1,1,21
BaSrCaO8_id40_Final_E-5.79.cif,BaSrCaO8_id40_E-5.48.cif,BaSrCaO8,-5.7901,0.0,Metal,P-1,2,22
Ca2O5_id3224_Final_E-5.79.cif,Ca2O5_id3224_E-4.79.cif,Ca2O5,-5.7893,2.562,Semiconductor,Pccn,56,28
ScS4_id3820_Final_E-5.79.cif,ScS4_id3820_E-5.19.cif,ScS4,-5.7874,1.677,Semiconductor,Pcca,54,20
KZnSiO3_id3574_Final_E-5.78.cif,KZnSiO3_id3574_E-3.94.cif,KZnSiO3,-5.7848,3.461,Semiconductor,P1,1,18
LiTiS2_id4743_Final_E-5.77.cif,LiTiS2_id4743_E-5.53.cif,LiTiS2,-5.7718,1.269,Semiconductor,I-42d,122,32
BePSeN_id3152_Final_E-5.76.cif,BePSeN_id3152_E-4.89.cif,BePSeN,-5.7617,1.677,Semiconductor,Pca2_1,29,16
NaAl(SO2)2_id2010_Final_E-5.75.cif,NaAl(SO2)2_id2010_E-4.27.cif,NaAl(SO2)2,-5.7522,3.165,Semiconductor,P1,1,32
Si2GeAs2(PO)2_id3149_Final_E-5.75.cif,Si2GeAs2(PO)2_id3149_E-4.96.cif,Si2GeAs2(PO)2,-5.7517,0.089,Semiconductor,P4_2mc,105,18
TiO7_id2386_Final_E-5.75.cif,TiO7_id2386_E-4.48.cif,TiO7,-5.7478,1.993,Semiconductor,P6_322,182,16
NaIn(SbO3)2_id2651_Final_E-5.74.cif,NaIn(SbO3)2_id2651_E-4.33.cif,NaIn(SbO3)2,-5.7446,1.717,Semiconductor,P1,1,40
KB2SeSO_id4407_Final_E-5.74.cif,KB2SeSO_id4407_E-5.01.cif,KB2SeSO,-5.7415,2.504,Semiconductor,Pca2_1,29,24
Li2Sb2O7_id1834_Final_E-5.74.cif,Li2Sb2O7_id1834_E-4.66.cif,Li2Sb2O7,-5.7405,2.002,Semiconductor,Pc,7,22
BaTeN3_id2796_Final_E-5.74.cif,BaTeN3_id2796_E-5.00.cif,BaTeN3,-5.7379,1.327,Semiconductor,P-1,2,30
NaLiAsN2O5_id1181_Final_E-5.73.cif,NaLiAsN2O5_id1181_E-5.10.cif,NaLiAsN2O5,-5.7346,0.082,Semiconductor,P1,1,60
GaO_id3166_Final_E-5.73.cif,GaO_id3166_E-5.40.cif,GaO,-5.7324,1.933,Semiconductor,Pbca,61,16
ZnSiPO2_id3506_Final_E-5.73.cif,ZnSiPO2_id3506_E-3.40.cif,ZnSiPO2,-5.7321,0.0,Metal,P2_1,4,20
Ba2Na7Ge2B2As2(PO12)2_id3478_Final_E-5.73.cif,Ba2Na7Ge2B2As2(PO12)2_id3478_E-5.24.cif,Ba2Na7Ge2B2As2(PO12)2,-5.7298,0.0,Metal,P1,1,41
ScTiSn_id4898_Final_E-5.72.cif,ScTiSn_id4898_E-5.72.cif,ScTiSn,-5.7205,0.144,Semiconductor,P4/mmm,123,12
ScGa3O7_id707_Final_E-5.72.cif,ScGa3O7_id707_E-5.72.cif,ScGa3O7,-5.716,1.329,Semiconductor,Pm-3n,223,22
Ba2Li4N4O3_id1086_Final_E-5.71.cif,Ba2Li4N4O3_id1086_E-3.68.cif,Ba2Li4N4O3,-5.7056,0.199,Semiconductor,P1,1,52
KMg2GaO4_id3159_Final_E-5.70.cif,KMg2GaO4_id3159_E-3.23.cif,KMg2GaO4,-5.7016,2.865,Semiconductor,Ccc2,37,16
Sr2N2O_id4096_Final_E-5.68.cif,Sr2N2O_id4096_E-5.30.cif,Sr2N2O,-5.6809,0.816,Semiconductor,Aea2,41,40
Mg(TeO2)4_id484_Final_E-5.67.cif,Mg(TeO2)4_id484_E-4.51.cif,Mg(TeO2)4,-5.669,2.098,Semiconductor,C2/c,15,52
BaN2O_id2286_Final_E-5.67.cif,BaN2O_id2286_E-5.67.cif,BaN2O,-5.6676,0.512,Semiconductor,I4_122,98,16
Li3Ca6NO6_id3236_Final_E-5.66.cif,Li3Ca6NO6_id3236_E-3.72.cif,Li3Ca6NO6,-5.6575,0.294,Semiconductor,P1,1,48
As2SN3O2_id3448_Final_E-5.65.cif,As2SN3O2_id3448_E-4.88.cif,As2SN3O2,-5.6511,0.0,Metal,C2,5,24
BS2_id1789_Final_E-5.65.cif,BS2_id1789_E-5.26.cif,BS2,-5.6469,2.007,Semiconductor,Pbca,61,24
InGaSnO3_id3167_Final_E-5.64.cif,InGaSnO3_id3167_E-3.28.cif,InGaSnO3,-5.6444,1.021,Semiconductor,P1,1,6
